Squad,#_Pl,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial_Duels_Won,Aerial_Duels_Lost,Aerial_Duels_Won%
be Anderlecht,20,6.0,6,,0,69,58,17,86,88,69,0,1,0,377,74,83,47.1
cy APOEL FC,21,6.0,13,,0,63,67,20,62,104,63,0,1,0,274,67,73,47.9
es Atlético Madrid,20,6.0,7,,1,79,70,20,117,90,80,1,0,1,347,84,86,49.4
es Barcelona,22,10.0,19,,1,103,136,28,104,108,115,0,1,0,568,86,84,50.6
ch Basel,21,8.0,14,,0,99,80,26,88,131,81,1,0,0,466,89,120,42.6
de Bayern Munich,22,12.0,23,,0,139,130,26,363,137,138,1,0,0,710,175,148,54.2
pt Benfica,25,6.0,13,,1,65,82,7,138,77,60,0,4,2,343,65,85,43.3
tr Beşiktaş,23,8.0,20,,0,101,117,16,130,140,101,2,0,2,463,113,119,48.7
sct Celtic,20,6.0,6,,0,50,49,11,52,102,72,0,1,2,317,36,60,37.5
eng Chelsea,19,8.0,10,,0,95,72,23,104,111,97,2,1,0,431,70,82,46.1
ru CSKA Moscow,20,6.0,13,,0,79,62,10,59,89,58,0,1,0,408,114,95,54.5
de Dortmund,22,6.0,10,,0,53,61,12,124,78,68,0,0,0,296,68,69,49.6
nl Feyenoord,23,6.0,17,,1,90,70,12,79,100,80,1,0,0,321,49,74,39.8
it Juventus,23,10.0,27,,1,143,131,20,160,110,103,2,1,1,526,126,112,52.9
eng Liverpool,24,13.0,22,,1,157,108,30,225,155,143,3,3,1,756,216,236,47.8
eng Manchester City,25,10.0,19,,0,92,90,38,172,129,102,2,3,0,614,116,92,55.8
eng Manchester Utd,25,8.0,10,,0,97,82,16,139,98,87,2,0,0,476,132,97,57.6
fr Monaco,23,6.0,14,,0,87,76,14,119,72,66,0,2,1,373,117,101,53.7
it Napoli,20,6.0,13,,0,70,74,27,105,81,59,4,1,0,351,52,38,57.8
si NK Maribor,17,6.0,9,,0,61,58,8,51,70,68,0,2,0,297,44,82,34.9
gr Olympiacos,22,6.0,15,,0,88,70,11,83,89,66,0,0,1,275,40,54,42.6
fr Paris S-G,19,8.0,13,,1,82,91,22,106,83,81,1,1,0,460,77,64,54.6
pt Porto,25,8.0,14,,0,111,95,10,118,120,117,0,1,0,445,126,125,50.2
az Qarabağ,20,6.0,14,,1,73,59,14,39,78,93,0,2,1,294,60,78,43.5
de RB Leipzig,19,6.0,11,,1,88,82,27,89,76,90,1,1,0,403,86,102,45.7
es Real Madrid,23,13.0,21,,0,129,149,51,282,149,152,3,0,1,702,131,135,49.2
it Roma,20,12.0,17,,1,114,132,23,253,140,134,1,0,2,646,186,116,61.6
es Sevilla,22,10.0,19,,0,99,118,27,193,119,102,2,1,1,584,142,159,47.2
ua Shakhtar,20,8.0,17,,1,85,97,15,88,103,84,0,3,0,371,62,68,47.7
ru Spartak Moscow,20,6.0,12,,0,66,63,10,77,91,66,0,1,0,324,78,60,56.5
pt Sporting CP,21,6.0,19,,0,95,80,12,74,83,75,0,0,2,318,85,75,53.1
eng Tottenham,26,8.0,13,,1,116,76,13,140,92,85,0,3,0,400,97,91,51.6
