Squad,#_Pl,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_npG-xG
be Anderlecht,20,6.0,1,58,21,36.2,9.67,3.50,0.02,0.05,19.0,4,0,0,5.4,5.4,0.09,-4.4,-4.4
cy APOEL FC,21,6.0,2,50,13,26.0,8.33,2.17,0.04,0.15,19.1,2,0,0,3.9,3.9,0.08,-1.9,-1.9
es Atlético Madrid,20,6.0,5,105,33,31.4,17.50,5.50,0.04,0.12,19.1,3,1,1,11.3,10.5,0.10,-6.3,-6.5
es Barcelona,22,10.0,12,129,53,41.1,12.90,5.30,0.09,0.23,18.4,14,0,0,13.7,13.7,0.11,-1.7,-1.7
ch Basel,21,8.0,13,82,35,42.7,10.25,4.37,0.15,0.34,18.3,8,1,1,10.4,9.6,0.12,+2.6,+2.4
de Bayern Munich,22,12.0,24,225,82,36.4,18.75,6.83,0.10,0.28,16.2,12,1,1,27.4,26.6,0.12,-3.4,-3.6
pt Benfica,25,6.0,1,88,17,19.3,14.67,2.83,0.01,0.06,20.5,3,0,0,6.2,6.2,0.07,-5.2,-5.2
tr Beşiktaş,23,8.0,12,80,34,42.5,10.00,4.25,0.13,0.29,19.1,4,2,2,8.6,7.0,0.09,+3.4,+3.0
sct Celtic,20,6.0,5,53,21,39.6,8.83,3.50,0.09,0.24,19.1,2,0,0,4.7,4.7,0.09,+0.3,+0.3
eng Chelsea,19,8.0,15,123,41,33.3,15.37,5.12,0.11,0.32,17.8,3,2,2,15.5,13.9,0.12,-0.5,-0.9
ru CSKA Moscow,20,6.0,7,71,22,31.0,11.83,3.67,0.08,0.27,19.6,2,1,1,5.7,5.1,0.07,+1.3,+0.9
de Dortmund,22,6.0,7,86,23,26.7,14.33,3.83,0.08,0.30,17.5,4,0,0,9.6,9.6,0.12,-2.6,-2.6
nl Feyenoord,23,6.0,5,54,23,42.6,9.00,3.83,0.09,0.22,20.5,3,0,1,5.4,4.6,0.09,-0.4,+0.4
it Juventus,23,10.0,14,125,48,38.4,12.50,4.80,0.10,0.27,17.2,7,1,2,16.9,15.3,0.13,-2.9,-2.3
eng Liverpool,24,13.0,41,201,87,43.3,15.46,6.69,0.20,0.46,16.1,4,1,3,33.0,30.6,0.16,+8.0,+9.4
eng Manchester City,25,10.0,20,133,43,32.3,13.30,4.30,0.14,0.44,17.9,4,1,2,15.7,14.2,0.11,+4.3,+4.8
eng Manchester Utd,25,8.0,12,109,38,34.9,13.62,4.75,0.09,0.26,17.8,11,2,3,18.0,15.6,0.15,-6.0,-5.6
fr Monaco,23,6.0,6,67,21,31.3,11.17,3.50,0.07,0.24,18.6,2,1,1,5.9,5.2,0.09,+0.1,-0.2
it Napoli,20,6.0,11,69,27,39.1,11.50,4.50,0.12,0.30,20.0,3,3,4,10.1,6.9,0.10,+0.9,+1.1
si NK Maribor,17,6.0,3,62,16,25.8,10.33,2.67,0.05,0.19,21.5,1,0,0,4.1,4.1,0.07,-1.1,-1.1
gr Olympiacos,22,6.0,4,46,13,28.3,7.67,2.17,0.09,0.31,19.9,2,0,0,3.4,3.4,0.08,+0.6,+0.6
fr Paris S-G,19,8.0,26,121,52,43.0,15.12,6.50,0.21,0.48,17.0,7,1,1,17.2,16.4,0.14,+8.8,+8.6
pt Porto,25,8.0,14,101,33,32.7,12.62,4.12,0.14,0.42,17.6,2,0,0,10.9,10.9,0.12,+3.1,+3.1
az Qarabağ,20,6.0,2,38,10,26.3,6.33,1.67,0.05,0.20,22.1,3,0,0,2.4,2.4,0.06,-0.4,-0.4
de RB Leipzig,19,6.0,9,90,27,30.0,15.00,4.50,0.09,0.30,19.7,3,1,1,9.6,8.8,0.10,-0.6,-0.8
es Real Madrid,23,13.0,33,221,85,38.5,17.00,6.54,0.13,0.34,16.5,4,4,4,33.0,29.9,0.14,0.0,-0.9
it Roma,20,12.0,20,171,61,35.7,14.25,5.08,0.10,0.28,18.4,8,3,3,19.1,16.7,0.10,+0.9,+0.3
es Sevilla,22,10.0,15,157,52,33.1,15.70,5.20,0.08,0.25,17.9,2,2,2,16.1,14.5,0.09,-1.1,-1.5
ua Shakhtar,20,8.0,11,86,33,38.4,10.75,4.12,0.13,0.33,17.7,3,0,0,9.9,9.9,0.12,+1.1,+1.1
ru Spartak Moscow,20,6.0,9,76,24,31.6,12.67,4.00,0.12,0.38,19.9,5,0,0,6.8,6.8,0.09,+2.2,+2.2
pt Sporting CP,21,6.0,7,57,20,35.1,9.50,3.33,0.12,0.35,19.1,3,0,0,7.3,7.3,0.13,-0.3,-0.3
eng Tottenham,26,8.0,17,117,46,39.3,14.63,5.75,0.15,0.37,17.7,5,0,0,13.1,13.1,0.12,+3.9,+3.9
