Squad,#_Pl,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP
be Anderlecht,20,6.0,2413,3007,80.2,42668,15984,1142,1287,88.7,840,991,84.8,312,507,61.5,1,4.2,4.9,-3.2,44,171,40,17,244
cy APOEL FC,21,6.0,1467,2034,72.1,28161,13195,656,780,84.1,518,672,77.1,236,438,53.9,1,2.9,2.4,-1.9,39,107,29,12,126
es Atlético Madrid,20,6.0,2732,3367,81.1,43826,15314,1433,1581,90.6,931,1103,84.4,245,451,54.3,4,8.2,7.9,-4.2,81,252,62,14,295
es Barcelona,22,10.0,6340,7313,86.7,106167,31741,3134,3402,92.1,2390,2635,90.7,614,889,69.1,11,9.1,10.2,+1.9,90,487,85,2,512
ch Basel,21,8.0,2308,3124,73.9,40627,14890,1055,1231,85.7,947,1187,79.8,249,545,45.7,6,6.6,4.0,-0.6,49,143,33,11,198
de Bayern Munich,22,12.0,6375,7631,83.5,112519,36572,2890,3182,90.8,2601,2942,88.4,692,1080,64.1,17,20.7,22.1,-3.7,177,493,156,36,728
pt Benfica,25,6.0,2990,3652,81.9,50149,16905,1444,1595,90.5,1066,1250,85.3,325,522,62.3,1,4.9,5.8,-3.9,66,227,45,16,250
tr Beşiktaş,23,8.0,2703,3638,74.3,50189,20308,1233,1421,86.8,1027,1271,80.8,369,749,49.3,8,6.1,5.8,+1.9,66,196,53,11,262
sct Celtic,20,6.0,2586,3091,83.7,46775,15350,1081,1200,90.1,1181,1302,90.7,260,446,58.3,4,4.4,3.1,-0.4,43,103,23,5,159
eng Chelsea,19,8.0,3490,4221,82.7,60039,19935,1645,1834,89.7,1368,1559,87.7,364,579,62.9,9,12.1,10.5,-3.1,103,287,75,15,343
ru CSKA Moscow,20,6.0,2158,2860,75.5,37337,14181,1038,1215,85.4,867,1054,82.3,211,447,47.2,4,3.3,3.7,+0.7,54,150,42,10,201
de Dortmund,22,6.0,3295,3912,84.2,57715,19232,1489,1633,91.2,1339,1508,88.8,362,579,62.5,6,7.7,8.5,-1.7,68,282,57,8,316
nl Feyenoord,23,6.0,1965,2605,75.4,35804,12543,878,1003,87.5,728,877,83.0,279,541,51.6,4,3.4,1.9,+0.6,36,87,24,7,140
it Juventus,23,10.0,4434,5379,82.4,82764,27402,1880,2120,88.7,1908,2168,88.0,566,854,66.3,9,11.5,10.8,-2.5,98,310,66,17,400
eng Liverpool,24,13.0,5831,7361,79.2,104703,35233,2516,2882,87.3,2529,2938,86.1,619,1129,54.8,35,25.4,19.5,+9.6,153,425,154,26,612
eng Manchester City,25,10.0,7053,8064,87.5,110990,32341,3424,3723,92.0,2631,2882,91.3,540,763,70.8,16,12.0,14.6,+4.0,103,381,98,18,568
eng Manchester Utd,25,8.0,4103,4961,82.7,68291,22947,2026,2242,90.4,1461,1668,87.6,409,693,59.0,7,12.0,10.5,-5.0,77,254,69,17,346
fr Monaco,23,6.0,1967,2716,72.4,36852,15096,805,990,81.3,870,1102,78.9,246,486,50.6,4,4.4,4.5,-0.4,54,190,35,12,277
it Napoli,20,6.0,3262,3905,83.5,50276,17517,1730,1908,90.7,1098,1273,86.3,251,401,62.6,6,4.4,5.2,+1.6,51,202,47,9,318
si NK Maribor,17,6.0,1855,2388,77.7,33369,13102,894,1037,86.2,688,846,81.3,233,404,57.7,3,3.9,3.4,-0.9,54,97,20,6,150
gr Olympiacos,22,6.0,1841,2357,78.1,33453,12103,831,941,88.3,687,819,83.9,260,454,57.3,3,2.9,2.6,+0.1,30,139,29,6,168
fr Paris S-G,19,8.0,4458,5108,87.3,67362,23393,2376,2545,93.4,1399,1555,90.0,366,512,71.5,18,11.8,11.2,+6.2,90,266,91,12,366
pt Porto,25,8.0,2748,3641,75.5,50660,20497,1152,1364,84.5,1199,1447,82.9,323,617,52.4,13,8.0,8.1,+5.0,74,197,58,16,277
az Qarabağ,20,6.0,2330,2906,80.2,41633,14745,1067,1198,89.1,924,1065,86.8,272,492,55.3,2,1.7,1.2,+0.3,22,130,19,5,147
de RB Leipzig,19,6.0,2534,3298,76.8,41054,16722,1335,1559,85.6,870,1077,80.8,222,433,51.3,5,7.1,5.1,-2.1,73,199,40,2,269
es Real Madrid,23,13.0,7204,8371,86.1,125582,40827,3521,3773,93.3,2662,2968,89.7,837,1215,68.9,19,23.7,20.3,-4.7,177,621,146,40,733
it Roma,20,12.0,5042,6270,80.4,93890,35027,2154,2466,87.3,2137,2517,84.9,640,1005,63.7,15,14.4,13.3,+0.6,140,458,97,27,560
es Sevilla,22,10.0,5197,6304,82.4,85565,30734,2609,2874,90.8,2024,2358,85.8,409,722,56.6,11,13.0,12.6,-2.0,130,439,94,16,601
ua Shakhtar,20,8.0,3370,4082,82.6,63603,22563,1407,1577,89.2,1435,1597,89.9,452,715,63.2,7,8.1,5.7,-1.1,65,199,40,5,233
ru Spartak Moscow,20,6.0,2458,3058,80.4,44163,17177,1027,1198,85.7,996,1151,86.5,313,502,62.4,7,5.7,4.7,+1.3,55,193,46,12,264
pt Sporting CP,21,6.0,2014,2594,77.6,35499,13656,941,1084,86.8,775,938,82.6,229,421,54.4,7,5.2,3.6,+1.8,41,142,26,8,190
eng Tottenham,26,8.0,3492,4286,81.5,62118,22849,1623,1827,88.8,1365,1555,87.8,394,667,59.1,15,11.5,9.9,+3.5,91,290,67,14,348
