Rk,Squad,Comp,#_Pl,90s,SCA_SCA,SCA_SCA90,SCA_Types_PassLive,SCA_Types_PassDead,SCA_Types_TO,SCA_Types_Sh,SCA_Types_Fld,SCA_Types_Def,GCA_GCA,GCA_GCA90,GCA_Types_PassLive,GCA_Types_PassDead,GCA_Types_TO,GCA_Types_Sh,GCA_Types_Fld,GCA_Types_Def
1,Alavés,es La Liga,33,38.0,628,16.53,392,88,38,46,53,11,48,1.26,27,6,4,5,6,0
2,Angers,fr Ligue 1,30,38.0,671,17.66,439,76,58,36,45,17,71,1.87,38,6,6,9,10,2
3,Arminia,de Bundesliga,26,34.0,586,17.24,410,52,41,39,34,10,42,1.24,32,2,1,4,3,0
4,Arsenal,eng Premier League,27,38.0,1030,27.11,788,68,57,66,39,12,99,2.61,69,8,4,13,4,1
5,Aston Villa,eng Premier League,31,38.0,837,22.03,608,85,49,41,48,6,93,2.45,65,9,9,7,3,0
6,Atalanta,it Serie A,32,38.0,1078,28.37,776,98,69,87,32,16,110,2.89,88,2,8,8,3,1
7,Athletic Club,es La Liga,26,38.0,821,21.61,581,94,46,42,47,11,72,1.89,52,9,1,2,5,3
8,Atlético Madrid,es La Liga,26,38.0,828,21.79,593,86,56,41,40,12,111,2.92,86,6,5,8,3,3
9,Augsburg,de Bundesliga,26,34.0,608,17.88,433,70,24,35,29,17,59,1.74,37,8,2,8,4,0
10,Barcelona,es La Liga,38,38.0,942,24.79,728,62,68,34,41,9,123,3.24,95,5,7,8,6,2
11,Bayern Munich,de Bundesliga,30,34.0,1170,34.41,874,93,64,84,36,19,161,4.74,122,13,9,10,5,2
12,Betis,es La Liga,31,38.0,902,23.74,670,75,55,46,41,15,94,2.47,65,5,10,5,8,1
13,Bochum,de Bundesliga,28,34.0,662,19.47,451,75,27,39,56,14,60,1.76,38,5,4,5,6,2
14,Bologna,it Serie A,36,38.0,777,20.45,599,71,26,41,34,6,76,2.0,59,7,2,5,3,0
15,Bordeaux,fr Ligue 1,39,38.0,768,20.21,539,73,53,48,32,23,91,2.39,61,12,9,5,3,1
16,Brentford,eng Premier League,29,38.0,739,19.45,487,96,37,62,43,14,78,2.05,46,11,4,8,9,0
17,Brest,fr Ligue 1,25,38.0,698,18.37,490,75,40,43,36,14,78,2.05,49,7,7,7,6,2
18,Brighton,eng Premier League,26,38.0,870,22.89,630,84,49,55,40,12,72,1.89,49,8,4,6,4,1
19,Burnley,eng Premier League,23,38.0,674,17.74,455,81,28,50,50,10,60,1.58,39,9,5,3,4,0
20,Cádiz,es La Liga,33,38.0,687,18.08,459,86,38,47,41,16,55,1.45,32,7,3,5,6,2
21,Cagliari,it Serie A,33,38.0,742,19.53,521,86,25,63,34,13,61,1.61,43,5,2,5,5,1
22,Celta Vigo,es La Liga,25,38.0,701,18.45,540,43,25,50,34,9,70,1.84,52,2,3,11,1,1
23,Chelsea,eng Premier League,26,38.0,1064,28.0,818,62,48,75,49,12,135,3.55,97,9,8,10,9,2
24,Clermont Foot,fr Ligue 1,28,38.0,771,20.29,553,76,53,49,30,10,64,1.68,43,7,5,6,3,0
25,Crystal Palace,eng Premier League,24,38.0,711,18.71,500,63,43,46,43,16,81,2.13,53,3,7,8,9,1
26,Dortmund,de Bundesliga,33,34.0,797,23.44,570,71,51,51,43,11,142,4.18,96,7,12,12,10,5
27,Eint Frankfurt,de Bundesliga,27,34.0,762,22.41,528,88,36,61,38,11,75,2.21,51,8,4,8,4,0
28,Elche,es La Liga,28,38.0,592,15.58,426,60,42,23,28,13,68,1.79,50,4,7,3,2,2
29,Empoli,it Serie A,28,38.0,835,21.97,622,67,40,51,42,13,84,2.21,59,6,5,8,6,0
30,Espanyol,es La Liga,34,38.0,721,18.97,521,59,47,40,41,13,67,1.76,45,5,4,8,3,2
31,Everton,eng Premier League,33,38.0,742,19.53,533,69,43,42,45,10,68,1.79,46,4,4,6,8,0
32,Fiorentina,it Serie A,28,38.0,908,23.89,655,85,40,60,59,9,99,2.61,67,3,4,13,9,3
33,Freiburg,de Bundesliga,26,34.0,775,22.79,526,99,21,65,57,7,90,2.65,57,12,2,8,10,1
34,Genoa,it Serie A,40,38.0,684,18.0,462,75,35,40,53,19,48,1.26,33,4,5,0,5,1
35,Getafe,es La Liga,31,38.0,700,18.42,464,85,32,40,61,18,53,1.39,38,7,3,2,1,2
36,Gladbach,de Bundesliga,26,34.0,870,25.59,642,80,34,46,52,16,89,2.62,66,3,4,10,5,1
37,Granada,es La Liga,32,38.0,702,18.47,488,67,43,49,40,15,68,1.79,45,8,3,6,2,4
38,Greuther Fürth,de Bundesliga,29,34.0,525,15.44,357,48,37,30,35,18,43,1.26,27,3,4,4,5,0
39,Hellas Verona,it Serie A,31,38.0,796,20.95,607,65,34,42,32,16,106,2.79,89,3,5,4,5,0
40,Hertha BSC,de Bundesliga,36,34.0,639,18.79,432,77,31,41,42,16,58,1.71,35,8,1,4,8,2
41,Hoffenheim,de Bundesliga,32,34.0,785,23.09,583,71,39,52,27,13,100,2.94,81,3,5,8,1,2
42,Inter,it Serie A,27,38.0,1184,31.16,885,104,44,93,37,21,149,3.92,114,12,4,14,5,0
43,Juventus,it Serie A,32,38.0,917,24.13,677,60,62,57,49,12,99,2.61,73,5,9,7,5,0
44,Köln,de Bundesliga,26,34.0,796,23.41,590,88,26,43,37,12,91,2.68,67,8,5,8,2,1
45,Lazio,it Serie A,27,38.0,798,21.0,610,55,40,42,41,10,128,3.37,82,11,12,12,9,2
46,Leeds United,eng Premier League,29,38.0,825,21.71,589,68,52,60,42,14,66,1.74,36,2,10,10,5,3
47,Leicester City,eng Premier League,28,38.0,745,19.61,566,41,48,42,33,15,105,2.76,81,3,4,8,5,4
48,Lens,fr Ligue 1,28,38.0,900,23.68,680,60,53,56,30,21,106,2.79,75,4,6,11,7,3
49,Levante,es La Liga,31,38.0,720,18.95,486,80,48,65,28,13,79,2.08,55,3,5,9,6,1
50,Leverkusen,de Bundesliga,29,34.0,804,23.65,596,63,55,52,30,8,134,3.94,100,5,14,10,5,0
51,Lille,fr Ligue 1,26,38.0,811,21.34,592,73,53,45,35,13,81,2.13,50,7,7,9,8,0
52,Liverpool,eng Premier League,27,38.0,1249,32.87,912,105,63,104,49,16,163,4.29,121,9,9,19,5,0
53,Lorient,fr Ligue 1,29,38.0,758,19.95,531,62,45,50,48,22,60,1.58,39,2,8,4,7,0
54,Lyon,fr Ligue 1,30,38.0,986,25.95,745,65,61,61,40,14,111,2.92,83,4,5,12,7,0
55,Mainz 05,de Bundesliga,28,34.0,760,22.35,526,82,32,59,48,13,81,2.38,63,4,3,6,4,1
56,Mallorca,es La Liga,33,38.0,761,20.03,495,90,47,55,55,19,59,1.55,32,6,4,7,8,2
57,Manchester City,eng Premier League,26,38.0,1286,33.84,997,78,70,88,42,11,158,4.16,112,10,6,19,8,3
