Squad,#_Pl,90s,SCA_SCA,SCA_SCA90,SCA_Types_PassLive,SCA_Types_PassDead,SCA_Types_TO,SCA_Types_Sh,SCA_Types_Fld,SCA_Types_Def,GCA_GCA,GCA_GCA90,GCA_Types_PassLive,GCA_Types_PassDead,GCA_Types_TO,GCA_Types_Sh,GCA_Types_Fld,GCA_Types_Def
eng Arsenal,21,8.0,,,,,,,,,,,,,,,,
es Atlético Madrid,20,12.0,,,,,,,,,,,,,,,,
es Barcelona,23,10.0,,,,,,,,,,,,,,,,
ch Basel,18,6.0,,,,,,,,,,,,,,,,
de Bayern Munich,21,10.3,,,,,,,,,,,,,,,,
pt Benfica,25,8.0,,,,,,,,,,,,,,,,
tr Beşiktaş,21,6.0,,,,,,,,,,,,,,,,
sct Celtic,22,6.0,,,,,,,,,,,,,,,,
be Club Brugge,21,6.0,,,,,,,,,,,,,,,,
ru CSKA Moscow,19,6.0,,,,,,,,,,,,,,,,
hr Dinamo Zagreb,24,6.0,,,,,,,,,,,,,,,,
de Dortmund,25,10.0,,,,,,,,,,,,,,,,
ua Dynamo Kyiv,24,6.0,,,,,,,,,,,,,,,,
dk FC Copenhagen,19,6.0,,,,,,,,,,,,,,,,
de Gladbach,19,6.0,,,,,,,,,,,,,,,,
it Juventus,25,13.0,,,,,,,,,,,,,,,,
pl Legia Warsaw,22,6.0,,,,,,,,,,,,,,,,
eng Leicester City,26,10.0,,,,,,,,,,,,,,,,
de Leverkusen,26,8.0,,,,,,,,,,,,,,,,
bg Ludogorets,19,6.0,,,,,,,,,,,,,,,,
fr Lyon,21,6.0,,,,,,,,,,,,,,,,
eng Manchester City,22,8.0,,,,,,,,,,,,,,,,
fr Monaco,23,12.0,,,,,,,,,,,,,,,,
it Napoli,21,8.0,,,,,,,,,,,,,,,,
fr Paris S-G,24,8.0,,,,,,,,,,,,,,,,
pt Porto,23,8.0,,,,,,,,,,,,,,,,
nl PSV Eindhoven,20,6.0,,,,,,,,,,,,,,,,
es Real Madrid,23,13.3,,,,,,,,,,,,,,,,
ru Rostov,18,6.0,,,,,,,,,,,,,,,,
es Sevilla,22,8.0,,,,,,,,,,,,,,,,
pt Sporting CP,21,6.0,,,,,,,,,,,,,,,,
eng Tottenham,21,6.0,,,,,,,,,,,,,,,,
