Squad,#_Pl,Poss,90s,Touches_Touches,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Rec
eng Arsenal,21,48.5,8.0,,,,,,,,,,,,,,,,,,,,
es Atlético Madrid,20,48.3,12.0,,,,,,,,,,,,,,,,,,,,
es Barcelona,23,64.8,10.0,,,,,,,,,,,,,,,,,,,,
ch Basel,18,41.8,6.0,,,,,,,,,,,,,,,,,,,,
de Bayern Munich,21,66.7,10.3,,,,,,,,,,,,,,,,,,,,
pt Benfica,25,44.3,8.0,,,,,,,,,,,,,,,,,,,,
tr Beşiktaş,21,48.5,6.0,,,,,,,,,,,,,,,,,,,,
sct Celtic,22,42.3,6.0,,,,,,,,,,,,,,,,,,,,
be Club Brugge,21,48.3,6.0,,,,,,,,,,,,,,,,,,,,
ru CSKA Moscow,19,39.0,6.0,,,,,,,,,,,,,,,,,,,,
hr Dinamo Zagreb,24,31.3,6.0,,,,,,,,,,,,,,,,,,,,
de Dortmund,25,62.4,10.0,,,,,,,,,,,,,,,,,,,,
ua Dynamo Kyiv,24,50.3,6.0,,,,,,,,,,,,,,,,,,,,
dk FC Copenhagen,19,53.7,6.0,,,,,,,,,,,,,,,,,,,,
de Gladbach,19,39.0,6.0,,,,,,,,,,,,,,,,,,,,
it Juventus,25,55.3,13.0,,,,,,,,,,,,,,,,,,,,
pl Legia Warsaw,22,37.0,6.0,,,,,,,,,,,,,,,,,,,,
eng Leicester City,26,39.5,10.0,,,,,,,,,,,,,,,,,,,,
de Leverkusen,26,50.5,8.0,,,,,,,,,,,,,,,,,,,,
bg Ludogorets,19,44.2,6.0,,,,,,,,,,,,,,,,,,,,
fr Lyon,21,51.5,6.0,,,,,,,,,,,,,,,,,,,,
eng Manchester City,22,56.5,8.0,,,,,,,,,,,,,,,,,,,,
fr Monaco,23,44.6,12.0,,,,,,,,,,,,,,,,,,,,
it Napoli,21,54.4,8.0,,,,,,,,,,,,,,,,,,,,
fr Paris S-G,24,54.8,8.0,,,,,,,,,,,,,,,,,,,,
pt Porto,23,49.5,8.0,,,,,,,,,,,,,,,,,,,,
nl PSV Eindhoven,20,43.7,6.0,,,,,,,,,,,,,,,,,,,,
es Real Madrid,23,53.7,13.3,,,,,,,,,,,,,,,,,,,,
ru Rostov,18,32.5,6.0,,,,,,,,,,,,,,,,,,,,
es Sevilla,22,60.5,8.0,,,,,,,,,,,,,,,,,,,,
pt Sporting CP,21,48.7,6.0,,,,,,,,,,,,,,,,,,,,
eng Tottenham,21,63.5,6.0,,,,,,,,,,,,,,,,,,,,
