Squad,#_Pl,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty_Kicks_PKatt,Penalty_Kicks_PKA,Penalty_Kicks_PKsv,Penalty_Kicks_PKm,Penalty_Kicks_Save%
eng Arsenal,1,8,8,720,8.0,16,2.00,40,24,62.5,4,2,2,0,0.0,1,1,0,0,0.0
es Atlético Madrid,2,12,12,1080,12.0,9,0.75,53,44,83.0,9,1,2,0,0.0,1,0,1,0,100.0
es Barcelona,2,10,10,900,10.0,12,1.20,44,32,72.7,6,1,3,0,0.0,1,0,1,0,100.0
ch Basel,1,6,6,540,6.0,12,2.00,30,18,63.3,0,2,4,0,0.0,1,1,0,0,0.0
de Bayern Munich,2,10,10,930,10.3,12,1.16,52,40,78.8,6,0,4,0,0.0,3,1,1,1,50.0
pt Benfica,1,8,8,630,8.0,10,1.43,34,24,76.5,3,2,3,0,0.0,4,2,2,0,50.0
tr Beşiktaş,1,6,6,90,6.0,1,1.00,6,5,116.7,1,4,1,0,0.0,3,2,1,0,33.3
sct Celtic,2,6,6,540,6.0,16,2.67,35,19,57.1,0,3,3,0,0.0,1,1,0,0,0.0
be Club Brugge,1,6,6,540,6.0,14,2.33,45,31,75.6,0,0,6,0,0.0,5,3,1,1,25.0
ru CSKA Moscow,1,6,6,540,6.0,11,1.83,40,29,72.5,0,3,3,0,0.0,0,0,0,0,
hr Dinamo Zagreb,2,6,6,540,6.0,15,2.50,50,35,70.0,0,0,6,0,0.0,0,0,0,0,
de Dortmund,2,10,10,900,10.0,16,1.60,42,26,61.9,5,2,3,0,0.0,1,0,0,1,
ua Dynamo Kyiv,2,6,6,540,6.0,6,1.00,24,18,83.3,1,2,3,0,0.0,2,2,0,0,0.0
dk FC Copenhagen,1,6,6,540,6.0,2,0.33,16,14,87.5,2,3,1,0,0.0,0,0,0,0,
de Gladbach,1,6,6,540,6.0,12,2.00,38,26,73.7,1,2,3,0,0.0,2,2,0,0,0.0
it Juventus,2,13,13,1170,13.0,7,0.54,29,22,75.9,9,3,1,0,0.0,1,0,1,0,100.0
pl Legia Warsaw,2,6,6,540,6.0,24,4.00,55,31,56.4,1,1,4,0,0.0,0,0,0,0,
eng Leicester City,3,10,10,900,10.0,10,1.00,42,32,81.0,5,2,3,0,0.0,4,2,2,0,50.0
de Leverkusen,2,8,8,720,8.0,8,1.00,27,19,77.8,2,4,2,0,0.0,2,2,0,0,0.0
bg Ludogorets,2,6,6,540,6.0,15,2.50,40,25,62.5,0,3,3,0,0.0,0,0,0,0,
fr Lyon,1,6,6,540,6.0,3,0.50,20,17,90.0,2,2,2,0,0.0,2,1,0,1,0.0
eng Manchester City,2,8,8,716,8.0,16,2.01,35,19,54.3,3,4,1,0,0.0,2,0,2,0,100.0
fr Monaco,2,12,12,1080,12.0,20,1.67,56,36,66.1,5,3,4,0,0.0,2,1,0,1,0.0
it Napoli,1,8,8,720,8.0,14,1.75,24,10,45.8,3,2,3,0,0.0,1,1,0,0,0.0
fr Paris S-G,2,8,8,720,8.0,9,1.13,21,12,71.4,4,3,1,0,0.0,4,3,1,0,25.0
pt Porto,1,8,8,720,8.0,6,0.75,21,15,76.2,3,2,3,0,0.0,1,1,0,0,0.0
nl PSV Eindhoven,2,6,6,540,6.0,16,2.67,39,23,61.5,0,2,4,0,0.0,1,1,0,0,0.0
es Real Madrid,2,13,13,1200,13.3,18,1.35,54,36,74.1,9,3,1,0,0.0,5,4,0,1,0.0
ru Rostov,1,6,6,540,6.0,12,2.00,40,28,72.5,1,2,3,0,0.0,2,1,1,0,50.0
es Sevilla,1,8,8,720,8.0,6,0.75,26,20,80.8,4,2,2,0,0.0,1,1,0,0,0.0
pt Sporting CP,1,6,6,540,6.0,8,1.33,19,11,57.9,1,0,5,0,0.0,0,0,0,0,
eng Tottenham,1,6,6,540,6.0,6,1.00,26,20,76.9,2,1,3,0,0.0,1,0,1,0,100.0
