Squad,#_Pl,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_PK,Standard_PKatt
eng Arsenal,21,8.0,19,94,42,44.7,11.75,5.25,0.19,0.43,,1,2
es Atlético Madrid,20,12.0,15,158,56,35.4,13.17,4.67,0.08,0.21,,3,4
es Barcelona,23,10.0,25,131,52,39.7,13.10,5.20,0.17,0.42,,3,4
ch Basel,18,6.0,3,63,20,31.7,10.50,3.33,0.05,0.15,,0,0
de Bayern Munich,21,10.3,26,188,74,39.4,18.19,7.16,0.12,0.30,,4,5
pt Benfica,25,8.0,11,89,28,31.5,11.12,3.50,0.10,0.32,,2,2
tr Beşiktaş,21,6.0,9,56,19,33.9,9.33,3.17,0.13,0.37,,2,2
sct Celtic,22,6.0,4,81,17,21.0,13.50,2.83,0.04,0.18,,1,2
be Club Brugge,21,6.0,2,51,20,39.2,8.50,3.33,0.04,0.10,,0,0
ru CSKA Moscow,19,6.0,5,50,20,40.0,8.33,3.33,0.08,0.20,,1,1
hr Dinamo Zagreb,24,6.0,0,65,5,7.7,10.83,0.83,0.00,0.00,,0,0
de Dortmund,25,10.0,27,154,71,46.1,15.40,7.10,0.17,0.37,,1,2
ua Dynamo Kyiv,24,6.0,8,61,27,44.3,10.17,4.50,0.11,0.26,,1,2
dk FC Copenhagen,19,6.0,5,101,25,24.8,16.83,4.17,0.05,0.20,,0,1
de Gladbach,19,6.0,5,83,19,22.9,13.83,3.17,0.06,0.26,,0,0
it Juventus,25,13.0,21,180,67,37.2,13.85,5.15,0.10,0.27,,3,3
pl Legia Warsaw,22,6.0,9,80,22,27.5,13.33,3.67,0.10,0.36,,1,1
eng Leicester City,26,10.0,11,94,35,37.2,9.40,3.50,0.10,0.26,,2,2
de Leverkusen,26,8.0,8,106,41,38.7,13.25,5.12,0.08,0.20,,0,1
bg Ludogorets,19,6.0,6,60,16,26.7,10.00,2.67,0.10,0.38,,0,1
fr Lyon,21,6.0,5,105,33,31.4,17.50,5.50,0.05,0.15,,0,1
eng Manchester City,22,8.0,18,136,44,32.4,17.00,5.50,0.13,0.39,,1,1
fr Monaco,23,12.0,21,167,56,33.5,13.92,4.67,0.13,0.38,,0,3
it Napoli,21,8.0,13,108,39,36.1,13.50,4.87,0.10,0.28,,2,3
fr Paris S-G,24,8.0,17,123,49,39.8,15.37,6.12,0.13,0.33,,1,1
pt Porto,23,8.0,9,148,34,23.0,18.50,4.25,0.05,0.21,,2,2
nl PSV Eindhoven,20,6.0,4,56,22,39.3,9.33,3.67,0.07,0.18,,0,2
es Real Madrid,23,13.3,34,238,93,39.1,17.85,6.98,0.14,0.37,,0,0
ru Rostov,18,6.0,6,48,19,39.6,8.00,3.17,0.10,0.26,,1,1
es Sevilla,22,8.0,9,105,37,35.2,13.12,4.62,0.09,0.24,,0,3
pt Sporting CP,21,6.0,5,72,23,31.9,12.00,3.83,0.06,0.17,,1,1
eng Tottenham,21,6.0,5,83,24,28.9,13.83,4.00,0.05,0.17,,1,1
