Squad,#_Pl,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG
eng Arsenal,21,8.0,15,1,1,97,76,20,118,131,119,2,1,1
es Atlético Madrid,20,12.0,21,0,0,124,122,15,208,189,184,4,1,1
es Barcelona,23,10.0,27,1,1,123,137,19,148,103,148,4,1,0
ch Basel,18,6.0,13,1,1,109,68,13,126,94,79,0,1,0
de Bayern Munich,21,10.3,20,2,2,120,90,19,234,164,129,3,3,0
pt Benfica,25,8.0,13,0,0,128,84,11,109,132,106,2,4,0
tr Beşiktaş,21,6.0,15,1,1,74,85,27,100,112,73,0,3,0
sct Celtic,22,6.0,8,0,0,63,62,21,84,180,109,2,1,0
be Club Brugge,21,6.0,13,0,0,74,68,21,96,86,84,0,4,2
ru CSKA Moscow,19,6.0,7,0,0,71,52,17,74,106,103,1,0,1
hr Dinamo Zagreb,24,6.0,13,1,1,66,90,17,86,151,105,0,0,0
de Dortmund,25,10.0,19,0,0,108,119,40,165,131,137,0,1,1
ua Dynamo Kyiv,24,6.0,15,1,1,88,83,17,104,65,45,0,2,0
dk FC Copenhagen,19,6.0,9,1,1,60,94,15,159,104,95,1,0,0
de Gladbach,19,6.0,10,1,1,58,77,24,80,136,142,0,2,0
it Juventus,25,13.0,31,2,2,190,182,21,258,176,166,2,1,0
pl Legia Warsaw,22,6.0,15,1,1,74,73,35,114,117,91,1,0,2
eng Leicester City,26,10.0,19,0,0,119,75,20,133,138,112,2,4,0
de Leverkusen,26,8.0,16,0,0,111,94,20,132,178,164,1,2,0
bg Ludogorets,19,6.0,9,0,0,68,158,19,88,143,105,2,0,0
fr Lyon,21,6.0,14,0,0,93,60,15,111,118,85,1,2,0
eng Manchester City,22,8.0,16,1,1,93,124,26,161,169,127,3,2,1
fr Monaco,23,12.0,28,1,1,141,166,30,326,256,210,4,2,1
it Napoli,21,8.0,10,0,0,110,95,32,176,101,106,3,1,1
fr Paris S-G,24,8.0,17,1,1,103,102,27,141,131,131,1,4,2
pt Porto,23,8.0,17,1,1,84,139,16,211,153,107,2,1,1
nl PSV Eindhoven,20,6.0,6,0,0,55,48,6,99,116,72,2,1,0
es Real Madrid,23,13.3,19,0,0,123,180,37,267,208,161,0,5,1
ru Rostov,18,6.0,10,0,0,65,75,4,67,190,122,1,4,0
es Sevilla,22,8.0,19,2,2,77,110,26,160,127,143,3,1,0
pt Sporting CP,21,6.0,16,1,1,78,63,16,118,101,76,0,0,0
eng Tottenham,21,6.0,6,0,0,70,58,16,125,83,77,1,1,0
