Rk,Squad,Comp,#_Pl,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty_Kicks_PKatt,Penalty_Kicks_PKA,Penalty_Kicks_PKsv,Penalty_Kicks_PKm,Penalty_Kicks_Save%
1,Alavés,es La Liga,3,38,38,3418,38.0,59,1.55,161,99,70.8,10,9,19,9,23.7,15,12,3,0,20.0
2,Amiens,fr Ligue 1,1,28,28,2520,28.0,50,1.79,142,93,65.5,4,11,13,5,17.9,1,1,0,0,0.0
3,Angers,fr Ligue 1,2,28,28,2520,28.0,33,1.18,90,57,66.7,11,6,11,12,42.9,3,3,0,0,0.0
4,Arsenal,eng Premier League,2,38,38,3420,38.0,48,1.26,193,144,78.8,14,14,10,10,26.3,8,7,1,0,12.5
5,Aston Villa,eng Premier League,4,38,38,3420,38.0,67,1.76,182,115,65.9,9,8,21,7,18.4,6,5,1,0,16.7
6,Atalanta,it Serie A,3,38,38,3420,38.0,48,1.26,139,94,69.8,23,9,6,10,26.3,6,6,0,0,0.0
7,Athletic Club,es La Liga,2,38,38,3416,38.0,38,1.0,128,92,74.2,13,12,13,12,31.6,7,5,0,2,0.0
8,Atlético Madrid,es La Liga,2,38,38,3420,38.0,27,0.71,112,88,78.6,18,16,4,17,44.7,4,3,0,1,0.0
9,Augsburg,de Bundesliga,2,34,34,3060,34.0,63,1.85,155,94,59.4,9,9,16,7,20.6,1,0,1,0,100.0
10,Barcelona,es La Liga,2,38,38,3420,38.0,38,1.0,119,80,73.1,25,7,6,15,39.5,7,6,1,0,14.3
11,Bayern Munich,de Bundesliga,2,34,34,3060,34.0,32,0.94,113,81,74.3,26,4,4,15,44.1,4,3,1,0,25.0
12,Betis,es La Liga,2,38,38,3418,38.0,60,1.58,154,95,68.2,10,11,17,6,15.8,11,11,0,0,0.0
