Rk,Squad,Comp,#_Pl,Age,Playing_Time_MP,Playing_Time_Min,Playing_Time_Mn/MP,Playing_Time_Min%,Playing_Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team_Success_PPM,Team_Success_onG,Team_Success_onGA,Team_Success_+/-,Team_Success_+/-90,Team_Success_xG_onxG,Team_Success_xG_onxGA,Team_Success_xG_xG+/-,Team_Success_xG_xG+/-90
1,Alavés,es La Liga,32,27.6,38,3420,90,100,38.0,418,83,,133,22,187,1.03,34,59,-25,-0.66,39.3,57.8,-18.5,-0.49
2,Amiens,fr Ligue 1,27,27.4,28,2520,90,100,28.0,308,84,,83,19,113,0.82,31,50,-19,-0.68,27.4,39.3,-11.9,-0.43
3,Angers,fr Ligue 1,26,28.0,28,2520,90,100,28.0,308,84,,80,23,116,1.39,28,33,-5,-0.18,29.3,28.4,0.9,0.03
4,Arsenal,eng Premier League,29,25.8,38,3420,90,100,38.0,418,83,,123,21,163,1.47,56,48,8,0.21,47.0,55.3,-8.3,-0.22
5,Aston Villa,eng Premier League,28,25.7,38,3420,90,100,38.0,418,84,,113,22,173,0.92,41,67,-26,-0.68,44.3,67.8,-23.5,-0.62
6,Atalanta,it Serie A,30,27.2,38,3420,90,100,38.0,418,82,,134,23,268,2.05,98,48,50,1.32,83.5,41.3,42.2,1.11
7,Athletic Club,es La Liga,26,26.7,38,3420,90,100,38.0,418,83,,130,21,189,1.34,41,38,3,0.08,41.5,48.8,-7.3,-0.19
8,Atlético Madrid,es La Liga,30,26.1,38,3420,90,100,38.0,418,82,,130,23,187,1.84,51,27,24,0.63,56.8,32.5,24.4,0.64
9,Augsburg,de Bundesliga,28,26.2,34,3060,90,100,34.0,374,84,,111,19,193,1.06,45,63,-18,-0.53,43.1,56.6,-13.5,-0.4
10,Barcelona,es La Liga,28,27.8,38,3420,90,100,38.0,418,83,,123,22,183,2.16,86,38,48,1.26,66.3,38.3,28.0,0.74
11,Bayern Munich,de Bundesliga,29,26.7,34,3060,90,100,34.0,374,84,,104,21,163,2.41,100,32,68,2.0,89.5,37.9,51.6,1.52
12,Betis,es La Liga,27,27.5,38,3420,90,100,38.0,418,83,,132,20,182,1.08,48,60,-12,-0.32,51.0,54.8,-3.7,-0.1
13,Bologna,it Serie A,31,27.2,38,3420,90,100,38.0,418,83,,136,20,274,1.24,52,65,-13,-0.34,56.9,54.8,2.0,0.05
14,Bordeaux,fr Ligue 1,26,26.9,28,2520,90,100,28.0,308,84,,84,20,111,1.32,40,34,6,0.21,30.4,36.9,-6.6,-0.23
15,Bournemouth,eng Premier League,27,25.2,38,3420,90,100,38.0,418,84,,108,23,176,0.89,40,65,-25,-0.66,44.8,62.3,-17.5,-0.46
16,Brescia,it Serie A,32,25.6,38,3420,90,100,38.0,418,83,,121,23,235,0.66,35,79,-44,-1.16,43.4,74.5,-31.2,-0.82
17,Brest,fr Ligue 1,24,26.1,28,2520,90,100,28.0,308,85,,82,18,114,1.21,34,37,-3,-0.11,30.7,45.5,-14.8,-0.53
18,Brighton,eng Premier League,25,26.4,38,3420,90,100,38.0,418,84,,128,20,155,1.08,39,54,-15,-0.39,45.4,55.0,-9.5,-0.25
19,Burnley,eng Premier League,22,28.0,38,3420,90,100,38.0,418,86,,74,20,206,1.42,43,50,-7,-0.18,47.4,49.8,-2.4,-0.06
20,Cagliari,it Serie A,33,27.4,38,3420,90,100,38.0,418,83,,129,21,298,1.18,52,56,-4,-0.11,41.8,59.0,-17.2,-0.45
21,Celta Vigo,es La Liga,30,25.8,38,3420,90,100,38.0,418,83,,130,20,187,0.97,37,49,-12,-0.32,39.2,45.3,-6.1,-0.16
22,Chelsea,eng Premier League,27,25.5,38,3420,90,100,38.0,418,84,,117,20,166,1.74,69,54,15,0.39,69.2,38.6,30.6,0.81
23,Crystal Palace,eng Premier League,25,29.4,38,3420,90,100,38.0,418,85,,98,20,185,1.13,31,50,-19,-0.5,35.8,57.0,-21.2,-0.56
24,Dijon,fr Ligue 1,28,26.9,28,2520,90,100,28.0,308,83,,82,25,114,1.07,27,37,-10,-0.36,30.5,38.4,-8.0,-0.28
25,Dortmund,de Bundesliga,27,25.8,34,3060,90,100,34.0,374,84,,111,19,191,2.03,84,41,43,1.26,61.0,40.9,20.1,0.59
26,Düsseldorf,de Bundesliga,28,27.1,34,3060,90,100,34.0,374,84,,115,21,188,0.88,36,67,-31,-0.91,35.9,60.7,-24.8,-0.73
27,Eibar,es La Liga,26,29.3,38,3420,90,100,38.0,418,84,,128,19,185,1.11,39,56,-17,-0.45,42.0,53.0,-11.0,-0.29
