Rk,Squad,Comp,#_Pl,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err
1,Alavés,es La Liga,32,38.0,579,346,261,265,53,255,619,41.2,364,385,114,271,392,971,766,7
2,Amiens,fr Ligue 1,27,28.0,425,238,194,184,47,201,510,39.4,309,280,87,193,300,725,615,17
3,Angers,fr Ligue 1,26,28.0,439,279,206,178,55,177,452,39.2,275,229,51,178,267,706,513,8
4,Arsenal,eng Premier League,29,38.0,584,336,296,217,71,249,612,40.7,363,398,141,257,351,935,754,18
5,Aston Villa,eng Premier League,28,38.0,523,291,285,174,64,223,597,37.4,374,456,184,272,423,946,928,26
6,Atalanta,it Serie A,30,38.0,627,351,252,278,97,263,643,40.9,380,396,111,285,418,1045,532,12
7,Athletic Club,es La Liga,26,38.0,533,324,262,204,67,217,613,35.4,396,339,92,247,373,906,755,7
8,Atlético Madrid,es La Liga,30,38.0,658,406,293,272,93,283,640,44.2,357,380,108,272,412,1070,729,18
9,Augsburg,de Bundesliga,28,34.0,534,314,271,215,48,220,563,39.1,343,362,123,239,434,968,778,8
10,Barcelona,es La Liga,28,38.0,536,323,216,223,97,211,501,42.1,290,313,87,226,342,878,529,16
11,Bayern Munich,de Bundesliga,29,34.0,500,293,180,222,98,211,503,41.9,292,290,79,211,342,842,382,9
12,Betis,es La Liga,27,38.0,501,299,276,173,52,221,511,43.2,290,336,119,217,302,803,682,8
13,Bologna,it Serie A,31,38.0,575,338,270,238,67,226,619,36.5,393,390,125,265,412,987,667,13
14,Bordeaux,fr Ligue 1,26,28.0,483,284,232,206,45,230,595,38.7,365,237,89,148,302,785,575,13
15,Bournemouth,eng Premier League,27,38.0,507,299,254,206,47,207,567,36.5,360,439,160,279,475,982,1008,16
16,Brescia,it Serie A,32,38.0,507,273,256,195,56,226,559,40.4,333,399,170,229,361,868,886,12
17,Brest,fr Ligue 1,24,28.0,484,282,238,186,60,184,472,39.0,288,263,82,181,352,836,537,11
18,Brighton,eng Premier League,25,38.0,641,379,295,269,77,245,642,38.2,397,437,137,300,419,1060,750,15
19,Burnley,eng Premier League,22,38.0,547,344,238,241,68,240,585,41.0,345,450,175,275,387,934,901,15
20,Cagliari,it Serie A,33,38.0,560,338,300,203,57,231,619,37.3,388,445,174,271,337,897,855,13
21,Celta Vigo,es La Liga,30,38.0,589,357,344,193,52,251,615,40.8,364,345,89,256,396,985,807,12
22,Chelsea,eng Premier League,27,38.0,638,362,304,258,76,246,604,40.7,358,361,91,270,459,1097,631,14
23,Crystal Palace,eng Premier League,25,38.0,686,390,367,244,75,316,711,44.4,395,399,135,264,444,1130,856,18
24,Dijon,fr Ligue 1,28,28.0,516,304,259,208,49,239,548,43.6,309,277,100,177,332,848,596,14
25,Dortmund,de Bundesliga,27,34.0,529,329,249,214,66,226,509,44.4,283,353,88,265,375,904,463,10
26,Düsseldorf,de Bundesliga,28,34.0,496,307,244,199,53,200,540,37.0,340,350,105,245,376,872,610,9
27,Eibar,es La Liga,26,38.0,567,338,240,228,99,264,607,43.5,343,332,81,251,430,997,692,8
28,Eint Frankfurt,de Bundesliga,27,34.0,596,377,278,246,72,232,617,37.6,385,403,97,306,376,972,520,5
29,Espanyol,es La Liga,31,38.0,628,364,303,253,72,257,701,36.7,444,380,96,284,360,988,731,17
30,Everton,eng Premier League,24,38.0,671,408,328,262,81,282,672,42.0,390,372,111,261,408,1079,778,13
31,Fiorentina,it Serie A,33,38.0,571,333,300,205,66,213,628,33.9,415,346,98,248,347,918,719,9
32,Freiburg,de Bundesliga,26,34.0,431,252,226,162,43,175,497,35.2,322,401,157,244,354,785,810,18
33,Genoa,it Serie A,34,38.0,551,335,268,210,73,212,589,36.0,377,410,150,260,385,936,775,16
