Rk,Squad,Comp,#_Pl,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial_Duels_Won,Aerial_Duels_Lost,Aerial_Duels_Won%
1,Alavés,es La Liga,30,38.0,109,4.0,4,603,522,108,558,498,464,3,10,2,1975,608,602,50.2
2,Amiens,fr Ligue 1,30,38.0,74,5.0,2,504,459,69,590,523,445,4,4,0,2214,637,725,46.8
3,Angers,fr Ligue 1,27,38.0,70,3.0,2,492,436,59,653,410,427,3,7,4,2051,592,654,47.5
4,Arsenal,eng Premier League,30,38.0,57,,0,383,377,89,572,427,425,5,6,0,2148,630,660,48.8
5,Atalanta,it Serie A,25,38.0,66,,3,490,465,79,751,476,488,9,2,0,2469,563,519,52.0
6,Athletic Club,es La Liga,26,38.0,93,0.0,0,528,487,104,816,465,486,7,6,3,2174,715,609,54.0
7,Atlético Madrid,es La Liga,26,38.0,96,5.0,3,538,481,107,524,513,614,4,4,1,2214,554,539,50.7
8,Augsburg,de Bundesliga,27,34.0,68,,1,490,411,70,757,400,543,4,3,0,1616,700,774,47.5
9,Barcelona,es La Liga,25,38.0,67,2.0,0,383,520,134,409,424,413,4,2,0,2095,343,286,54.5
10,Bayern Munich,de Bundesliga,28,34.0,42,,0,366,413,67,893,355,467,7,4,3,1687,518,448,53.6
11,Benevento,it Serie A,41,38.0,79,,4,486,465,83,661,449,409,2,13,2,1892,410,501,45.0
12,Betis,es La Liga,29,38.0,91,3.0,1,465,486,62,534,427,424,1,4,4,1953,447,453,49.7
13,Bologna,it Serie A,30,38.0,101,,4,482,466,66,553,462,456,2,4,3,1855,593,571,50.9
14,Bordeaux,fr Ligue 1,31,38.0,74,2.0,1,532,470,76,736,464,459,5,8,1,2227,578,631,47.8
15,Bournemouth,eng Premier League,22,38.0,57,,1,339,411,52,707,367,324,2,3,1,1956,698,750,48.2
16,Brighton,eng Premier League,24,38.0,54,,0,413,277,98,680,449,380,7,3,5,2122,796,777,50.6
17,Burnley,eng Premier League,24,38.0,65,,0,350,422,100,707,400,355,0,5,1,1875,912,967,48.5
18,Caen,fr Ligue 1,26,38.0,68,4.0,0,523,433,76,971,476,478,5,5,4,2371,814,770,51.4
19,Cagliari,it Serie A,29,38.0,96,,4,611,458,84,732,431,447,5,12,1,1901,743,600,55.3
20,Celta Vigo,es La Liga,23,38.0,85,1.0,0,430,540,92,583,497,420,2,5,1,2148,545,524,51.0
21,Chelsea,eng Premier League,26,38.0,46,,2,363,405,108,755,424,426,3,2,2,2233,602,506,54.3
22,Chievo,it Serie A,25,38.0,75,,1,478,460,102,801,444,367,2,7,4,1932,645,657,49.5
23,Crotone,it Serie A,29,38.0,65,,1,501,466,88,635,578,440,2,8,0,2102,620,744,45.5
24,Crystal Palace,eng Premier League,28,38.0,72,,0,425,404,56,703,552,447,9,2,2,2156,752,708,51.5
25,Dijon,fr Ligue 1,26,38.0,70,5.0,1,492,471,73,567,544,462,5,14,3,2120,603,665,47.6
26,Dortmund,de Bundesliga,30,34.0,41,,1,403,422,83,585,336,510,4,3,0,1472,580,516,52.9
27,Eibar,es La Liga,27,38.0,86,3.0,2,492,435,84,1055,554,436,3,4,3,2287,752,718,51.2
28,Eint Frankfurt,de Bundesliga,28,34.0,72,,0,526,453,85,586,409,483,2,3,2,1576,676,708,48.8
29,Espanyol,es La Liga,25,38.0,88,1.0,1,521,530,76,720,515,500,3,6,2,2009,597,633,48.5
30,Everton,eng Premier League,30,38.0,55,,2,460,364,82,629,514,447,8,5,0,2046,760,852,47.1
31,Fiorentina,it Serie A,27,38.0,89,,3,551,428,82,823,489,497,6,3,0,2146,566,612,48.0
32,Freiburg,de Bundesliga,29,34.0,56,,3,446,429,40,471,392,465,8,5,4,1292,707,771,47.8
33,Genoa,it Serie A,33,38.0,75,,0,555,474,86,769,394,395,5,4,2,2022,561,589,48.8
34,Getafe,es La Liga,32,38.0,134,5.0,4,673,495,108,585,487,491,11,4,0,2022,541,730,42.6
35,Girona,es La Liga,25,38.0,102,0.0,0,615,497,80,828,490,403,6,5,3,1981,643,597,51.9
36,Gladbach,de Bundesliga,27,34.0,47,,0,398,411,73,490,384,488,5,4,1,1428,516,504,50.6
37,Guingamp,fr Ligue 1,23,38.0,67,2.0,2,498,517,100,727,475,437,5,7,1,2026,610,635,49.0
38,Hamburger SV,de Bundesliga,29,34.0,63,,3,499,467,61,668,367,543,3,4,1,1631,678,778,46.6
39,Hannover 96,de Bundesliga,26,34.0,63,,0,487,503,53,579,382,490,5,4,0,1502,787,681,53.6
40,Hellas Verona,it Serie A,32,38.0,98,,4,511,404,79,665,541,459,3,8,2,1883,555,642,46.4
41,Hertha BSC,de Bundesliga,25,34.0,49,,0,494,465,47,528,386,488,5,7,1,1321,665,667,49.9
42,Hoffenheim,de Bundesliga,26,34.0,71,,0,506,438,78,592,345,516,5,4,2,1513,441,479,47.9
43,Huddersfield,eng Premier League,25,38.0,65,,2,397,363,67,765,518,502,2,6,1,2141,788,800,49.6
44,Inter,it Serie A,22,38.0,69,,0,452,395,94,1042,402,435,6,2,4,2140,538,477,53.0
45,Juventus,it Serie A,24,38.0,66,,1,432,493,79,672,421,359,5,4,2,2003,455,366,55.4
46,Köln,de Bundesliga,31,34.0,70,,1,479,478,81,663,389,502,2,9,0,1593,643,649,49.8
47,La Coruña,es La Liga,32,38.0,100,2.0,1,507,436,94,747,484,500,5,5,3,2074,558,584,48.9
48,Las Palmas,es La Liga,36,38.0,89,3.0,1,484,665,81,581,508,433,5,5,1,1998,474,540,46.7
49,Lazio,it Serie A,24,38.0,79,,3,435,350,97,734,494,450,9,10,2,2304,474,464,50.5
50,Leganés,es La Liga,28,38.0,105,5.0,3,592,503,97,690,583,483,2,7,0,2140,653,627,51.0
51,Leicester City,eng Premier League,27,38.0,60,,4,364,357,92,744,414,417,6,4,2,2154,787,752,51.1
52,Levante,es La Liga,33,38.0,111,6.0,3,554,446,70,726,477,414,5,6,3,1967,468,559,45.6
53,Leverkusen,de Bundesliga,24,34.0,57,,1,451,485,58,658,390,482,4,6,0,1717,552,618,47.2
54,Lille,fr Ligue 1,25,38.0,61,6.0,2,482,430,87,614,492,453,2,7,3,2251,485,460,51.3
55,Liverpool,eng Premier League,27,38.0,44,,0,344,305,70,764,379,450,3,6,0,2258,585,650,47.4
56,Lyon,fr Ligue 1,26,38.0,72,2.0,1,475,530,80,572,450,411,6,8,3,2142,573,458,55.6
57,Mainz 05,de Bundesliga,27,34.0,63,,2,531,435,67,546,402,522,3,7,1,1512,683,657,51.0
58,Málaga,es La Liga,37,38.0,101,8.0,5,613,442,89,742,497,509,3,7,0,2086,602,739,44.9
59,Manchester City,eng Premier League,25,38.0,63,,2,344,354,67,691,346,381,8,2,2,2104,512,418,55.1
60,Manchester Utd,eng Premier League,27,38.0,64,,0,405,422,88,753,481,369,1,1,2,2133,617,493,55.6
61,Marseille,fr Ligue 1,26,38.0,81,2.0,0,508,481,78,864,448,505,7,6,2,2246,607,571,51.5
62,Metz,fr Ligue 1,36,38.0,80,7.0,2,532,435,56,701,511,458,2,5,2,2204,615,725,45.9
