Rk,Squad,Comp,#_Pl,Age,Playing_Time_MP,Playing_Time_Min,Playing_Time_Mn/MP,Playing_Time_Min%,Playing_Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team_Success_PPM,Team_Success_onG,Team_Success_onGA,Team_Success_+/-,Team_Success_+/-90,Team_Success_xG_onxG,Team_Success_xG_onxGA,Team_Success_xG_xG+/-,Team_Success_xG_xG+/-90
1,Alavés,es La Liga,30,25.5,38,3420,90,100,38.0,418,85.0,303.0,111,20,154,1.24,40,50,-10,-0.26,38.5,55.9,-17.4,-0.46
2,Amiens,fr Ligue 1,30,27.5,38,3420,90,100,38.0,418,85.0,303.0,111,20,155,1.18,37,42,-5,-0.13,32.8,54.9,-22.1,-0.58
3,Angers,fr Ligue 1,27,27.1,38,3420,90,100,38.0,418,84.0,303.0,112,22,153,1.08,42,52,-10,-0.26,47.6,45.8,1.8,0.05
4,Arsenal,eng Premier League,30,26.8,38,3420,90,100,38.0,418,,,101,0,165,1.66,74,51,23,0.61,68.3,47.8,20.5,0.54
5,Atalanta,it Serie A,25,25.7,38,3420,90,100,38.0,418,,,108,0,313,1.58,57,39,18,0.47,64.1,36.6,27.5,0.72
6,Athletic Club,es La Liga,26,26.7,38,3420,90,100,38.0,418,85.0,312.0,106,22,160,1.13,41,49,-8,-0.21,49.7,50.3,-0.6,-0.02
7,Atlético Madrid,es La Liga,26,26.6,38,3420,90,100,38.0,418,83.0,304.0,110,24,156,2.08,58,22,36,0.95,50.2,35.8,14.4,0.38
8,Augsburg,de Bundesliga,27,26.6,34,3060,90,100,34.0,374,,,95,0,143,1.21,43,46,-3,-0.09,44.7,41.4,3.3,0.1
9,Barcelona,es La Liga,25,27.7,38,3420,90,100,38.0,418,84.0,305.0,111,21,155,2.45,99,29,70,1.84,83.5,41.9,41.6,1.09
10,Bayern Munich,de Bundesliga,28,27.4,34,3060,90,100,34.0,374,,,102,0,134,2.47,92,28,64,1.88,75.8,31.7,44.1,1.3
11,Benevento,it Serie A,41,26.0,38,3420,90,100,38.0,418,,,113,0,311,0.55,33,84,-51,-1.34,38.3,73.2,-34.9,-0.92
12,Betis,es La Liga,29,27.1,38,3420,90,100,38.0,418,84.0,302.0,113,21,153,1.58,60,61,-1,-0.03,46.0,49.0,-3.1,-0.08
13,Bologna,it Serie A,30,26.8,38,3420,90,100,38.0,418,,,113,0,331,1.03,40,52,-12,-0.32,36.6,51.4,-14.8,-0.39
14,Bordeaux,fr Ligue 1,31,25.1,38,3420,90,100,38.0,418,84.0,303.0,112,21,153,1.45,53,48,5,0.13,51.0,43.6,7.5,0.2
15,Bournemouth,eng Premier League,22,26.9,38,3420,90,100,38.0,418,,,109,0,157,1.16,45,61,-16,-0.42,38.8,59.2,-20.4,-0.54
16,Brighton,eng Premier League,24,27.5,38,3420,90,100,38.0,418,,,101,0,165,1.05,34,54,-20,-0.53,37.0,50.8,-13.8,-0.36
17,Burnley,eng Premier League,24,27.5,38,3420,90,100,38.0,418,,,83,0,183,1.42,36,39,-3,-0.08,32.3,51.2,-18.9,-0.5
18,Caen,fr Ligue 1,26,27.3,38,3420,90,100,38.0,418,84.0,320.0,95,25,170,1.0,27,52,-25,-0.66,42.8,48.0,-5.2,-0.14
19,Cagliari,it Serie A,29,27.1,38,3420,90,100,38.0,418,,,114,0,295,1.03,33,61,-28,-0.74,39.7,59.2,-19.5,-0.51
20,Celta Vigo,es La Liga,23,25.7,38,3420,90,100,38.0,418,85.0,308.0,109,19,157,1.29,59,60,-1,-0.03,55.0,55.3,-0.3,-0.01
21,Chelsea,eng Premier League,26,26.7,38,3420,90,100,38.0,418,,,109,0,157,1.84,62,38,24,0.63,54.4,33.8,20.6,0.54
22,Chievo,it Serie A,25,30.3,38,3420,90,100,38.0,418,,,109,0,345,1.05,36,59,-23,-0.61,34.1,55.2,-21.2,-0.56
23,Crotone,it Serie A,29,25.6,38,3420,90,100,38.0,418,,,114,0,318,0.92,40,66,-26,-0.68,34.6,58.6,-24.0,-0.63
24,Crystal Palace,eng Premier League,28,27.1,38,3420,90,100,38.0,418,,,73,0,191,1.16,45,55,-10,-0.26,53.5,48.2,5.2,0.14
25,Dijon,fr Ligue 1,26,26.6,38,3420,90,100,38.0,418,84.0,302.0,111,20,154,1.26,55,73,-18,-0.47,41.6,63.8,-22.2,-0.58
26,Dortmund,de Bundesliga,30,25.9,34,3060,90,100,34.0,374,,,95,0,141,1.62,64,47,17,0.5,66.0,42.2,23.8,0.7
27,Eibar,es La Liga,27,27.4,38,3420,90,100,38.0,418,84.0,303.0,113,20,153,1.34,44,50,-6,-0.16,40.9,44.4,-3.5,-0.09
