Squad,#_Pl,90s,Att,Pass_Types_Live,Pass_Types_Dead,Pass_Types_FK,Pass_Types_TB,Pass_Types_Sw,Pass_Types_Crs,Pass_Types_TI,Pass_Types_CK,Corner_Kicks_In,Corner_Kicks_Out,Corner_Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks
be Antwerp,20,6.0,2623,2362,249,56,6,11,98,103,25,9,11,0,2106,12,60
eng Arsenal,23,10.3,5688,5225,448,127,12,32,126,191,48,36,7,1,4853,15,81
es Atlético Madrid,22,10.3,6091,5675,402,92,16,62,173,167,49,16,18,1,5106,14,96
es Barcelona,25,10.0,5686,5226,449,143,15,52,177,165,55,21,15,0,4822,11,89
de Bayern Munich,23,12.0,7143,6643,480,124,32,35,166,186,64,26,30,2,6193,20,106
pt Benfica,22,6.0,3017,2687,321,91,6,19,93,134,24,17,4,0,2390,9,62
pt Braga,23,6.0,3371,3086,279,89,4,22,134,97,35,14,14,0,2848,6,49
sct Celtic,23,6.0,3405,3085,310,93,11,10,60,122,22,8,6,1,2872,10,56
de Dortmund,23,13.0,6080,5464,595,129,8,50,191,248,74,34,33,0,4890,21,140
dk FC Copenhagen,24,8.0,3431,3095,326,66,7,16,108,145,26,14,9,1,2683,10,65
nl Feyenoord,24,6.0,3649,3368,268,54,16,16,113,118,45,27,9,0,3091,13,69
tr Galatasaray,20,6.0,3087,2753,321,87,17,17,135,140,32,16,10,0,2375,13,73
it Inter,22,8.3,4655,4266,374,117,11,39,159,157,30,9,13,1,3867,15,104
it Lazio,21,8.0,4273,3911,352,100,9,19,105,139,38,18,13,0,3593,10,96
fr Lens,20,6.0,2609,2282,309,88,10,14,102,139,20,3,14,0,2005,18,62
eng Manchester City,25,10.3,8040,7611,419,135,24,35,161,156,64,19,22,2,7330,10,87
eng Manchester Utd,24,6.0,2813,2528,278,70,9,24,83,121,27,5,13,0,2254,7,51
it Milan,23,6.0,2434,2150,277,79,5,10,103,101,36,10,20,1,1968,7,44
it Napoli,23,8.0,4554,4118,421,104,17,37,152,158,57,23,23,0,3790,15,70
eng Newcastle Utd,23,6.0,2544,2253,285,91,7,16,80,107,24,10,6,4,2020,6,53
fr Paris S-G,21,12.0,7782,7148,602,145,21,39,229,262,88,16,27,0,6727,32,129
pt Porto,25,8.3,3771,3365,393,129,13,25,93,161,24,7,6,1,3051,13,73
nl PSV Eindhoven,22,8.0,3937,3545,376,97,15,23,156,158,36,13,13,0,3151,16,72
de RB Leipzig,23,8.0,3885,3488,379,111,16,28,130,135,48,13,24,0,3187,18,87
at RB Salzburg,23,6.0,2553,2301,242,65,7,13,81,89,20,16,0,0,1945,10,54
es Real Madrid,23,13.3,7994,7424,553,144,11,75,213,198,82,25,34,0,7063,17,120
es Real Sociedad,26,8.0,4006,3622,369,96,2,20,130,169,54,18,18,1,3204,15,83
rs Red Star,22,6.0,2235,1919,299,67,15,7,99,123,27,6,10,0,1678,17,52
es Sevilla,24,6.0,2748,2417,322,86,9,26,117,133,29,9,15,0,2123,9,53
ua Shakhtar,21,6.0,2713,2464,236,62,15,18,57,96,16,11,1,0,2210,13,55
de Union Berlin,21,6.0,2244,1999,232,57,4,11,104,94,17,9,5,1,1659,13,52
ch Young Boys,23,6.0,2478,2174,286,69,2,19,95,119,23,10,6,0,1910,18,57
