Squad,#_Pl,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial_Duels_Won,Aerial_Duels_Lost,Aerial_Duels_Won%
nl Ajax,19,6.0,15,1,1,78,47,18,63,53,60,1,2,0,293,55,84,39.6
es Atlético Madrid,22,6.0,13,0,0,56,61,20,151,42,48,1,1,0,309,75,81,48.1
es Barcelona,26,6.0,10,0,0,57,70,8,154,51,58,0,1,0,314,69,70,49.6
de Bayern Munich,24,10.0,20,1,1,121,94,26,127,120,118,0,1,0,574,105,113,48.2
pt Benfica,24,10.0,19,0,0,103,89,16,152,123,105,4,3,0,537,115,143,44.6
sct Celtic,22,6.0,7,0,0,50,37,4,121,65,45,1,2,0,291,42,43,49.4
eng Chelsea,26,10.0,25,1,0,137,121,27,194,93,104,1,0,0,597,116,109,51.6
be Club Brugge,25,8.0,27,1,1,73,67,14,105,72,64,2,3,0,389,114,96,54.3
hr Dinamo Zagreb,20,6.0,13,0,0,61,74,2,73,66,54,0,3,1,306,87,72,54.7
de Dortmund,26,8.0,17,0,0,73,80,8,92,89,67,0,2,0,427,68,86,44.2
de Eint Frankfurt,22,8.0,18,2,1,109,88,17,107,85,88,0,4,0,501,74,89,45.4
dk FC Copenhagen,25,6.0,12,1,0,71,43,7,61,83,46,0,2,1,276,72,76,48.6
it Inter,22,13.0,27,0,0,167,148,28,249,123,138,0,0,1,625,194,182,51.6
it Juventus,26,6.0,14,0,0,68,67,17,142,51,48,0,2,0,312,60,71,45.8
de Leverkusen,20,6.0,19,1,1,80,49,13,90,43,66,1,3,0,357,75,72,51.0
eng Liverpool,25,8.0,10,0,0,93,60,14,184,60,81,1,2,0,464,108,71,60.3
il Maccabi Haifa,20,6.0,14,0,0,77,46,16,84,53,73,0,0,1,345,68,46,59.6
eng Manchester City,23,13.0,21,1,0,125,121,15,240,84,112,2,1,0,638,133,96,58.1
fr Marseille,19,6.0,11,1,0,66,82,26,116,68,58,1,0,0,353,56,61,47.9
it Milan,23,12.0,28,1,0,169,148,19,169,103,123,3,2,0,624,158,161,49.5
it Napoli,22,10.0,20,1,1,109,134,19,168,88,104,4,2,0,568,141,129,52.2
fr Paris S-G,21,8.0,14,0,0,64,114,17,95,62,77,1,1,1,403,61,62,49.6
pt Porto,24,8.0,23,3,3,90,103,14,113,77,88,2,4,1,427,126,135,48.3
sct Rangers,22,6.0,10,1,1,50,55,15,84,58,45,1,3,0,287,60,80,42.9
de RB Leipzig,22,8.0,8,0,0,68,76,20,114,68,79,0,2,0,388,59,61,49.2
at RB Salzburg,19,6.0,11,0,0,77,51,8,88,51,85,1,0,0,389,75,91,45.2
es Real Madrid,22,12.0,14,0,0,100,127,14,169,111,98,1,1,0,541,78,71,52.3
es Sevilla,24,6.0,12,0,0,57,74,8,91,49,49,0,0,0,255,73,65,52.9
ua Shakhtar,20,6.0,16,0,0,65,47,9,45,65,52,0,0,2,265,38,56,40.4
pt Sporting CP,25,6.0,17,3,2,69,72,4,61,50,75,0,2,0,273,47,66,41.6
eng Tottenham,25,8.0,22,1,1,101,86,20,166,71,88,2,0,0,432,117,90,56.5
cz Viktoria Plzeň,22,6.0,12,1,0,59,52,7,94,67,41,1,0,0,280,83,76,52.2
