Rk,Squad,Comp,#_Pl,90s,Att,Pass_Types_Live,Pass_Types_Dead,Pass_Types_FK,Pass_Types_TB,Pass_Types_Sw,Pass_Types_Crs,Pass_Types_TI,Pass_Types_CK,Corner_Kicks_In,Corner_Kicks_Out,Corner_Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks
1,Alavés,es La Liga,33,38.0,14175,12142,1961,543,27,188,758,825,139,54,63,1,9676,72,310
2,Angers,fr Ligue 1,30,38.0,18797,16901,1850,548,30,147,572,717,186,60,81,2,15307,46,292
3,Arminia,de Bundesliga,26,34.0,13511,11765,1692,385,25,69,487,743,147,67,48,1,9382,54,325
4,Arsenal,eng Premier League,27,38.0,19843,18149,1628,404,77,132,633,679,208,153,23,5,16176,66,309
5,Aston Villa,eng Premier League,31,38.0,16499,14615,1832,525,71,97,670,716,196,111,42,11,12748,52,278
6,Atalanta,it Serie A,32,38.0,21261,19317,1876,539,36,192,661,782,229,114,84,1,17108,68,383
7,Athletic Club,es La Liga,26,38.0,17283,15195,1999,552,42,184,798,880,224,52,102,0,12947,89,332
8,Atlético Madrid,es La Liga,26,38.0,19098,17082,1931,534,80,228,703,832,201,72,83,0,15076,85,298
9,Augsburg,de Bundesliga,26,34.0,13035,11240,1722,415,28,159,592,784,145,56,82,1,9181,73,293
10,Barcelona,es La Liga,38,38.0,25006,23093,1814,567,90,193,798,712,219,70,82,0,21489,99,309
11,Bayern Munich,de Bundesliga,30,34.0,23780,22043,1661,434,108,149,656,736,215,102,78,5,20087,76,316
12,Betis,es La Liga,31,38.0,19444,17513,1860,586,66,181,547,749,174,56,78,0,15702,71,310
13,Bochum,de Bundesliga,28,34.0,13679,11928,1678,421,26,124,600,779,122,53,48,0,9624,73,261
14,Bologna,it Serie A,36,38.0,18249,16283,1910,590,58,109,601,730,183,103,21,1,14442,56,317
15,Bordeaux,fr Ligue 1,39,38.0,17385,15441,1886,464,52,176,611,815,150,80,47,1,13552,58,315
16,Brentford,eng Premier League,29,38.0,16272,14443,1763,432,50,70,640,778,159,84,47,9,11676,66,333
17,Brest,fr Ligue 1,25,38.0,16506,14535,1924,484,20,156,710,846,171,95,56,0,12684,47,288
18,Brighton,eng Premier League,26,38.0,20588,18838,1697,390,58,152,728,784,200,84,96,0,16410,53,397
19,Burnley,eng Premier League,23,38.0,14107,12275,1731,370,32,135,747,783,183,152,14,1,9454,101,334
20,Cádiz,es La Liga,33,38.0,14415,12460,1886,511,37,183,865,795,181,79,63,1,10136,69,312
21,Cagliari,it Serie A,33,38.0,15761,13729,1962,574,16,119,675,791,143,48,71,2,11503,70,315
22,Celta Vigo,es La Liga,25,38.0,20591,18578,1930,501,60,169,768,898,167,81,60,1,16007,83,360
23,Chelsea,eng Premier League,26,38.0,24888,23158,1661,434,77,101,745,713,241,113,100,0,21190,69,364
24,Clermont Foot,fr Ligue 1,28,38.0,19560,17599,1908,526,28,156,713,828,179,76,60,1,15713,53,332
25,Crystal Palace,eng Premier League,24,38.0,19081,17115,1903,528,40,120,643,844,175,88,44,8,14983,63,316
26,Dortmund,de Bundesliga,33,34.0,21052,19358,1621,447,67,121,491,681,182,74,76,1,17410,73,314
27,Eint Frankfurt,de Bundesliga,27,34.0,17023,15216,1754,387,44,106,697,825,193,78,91,2,12628,53,357
28,Elche,es La Liga,28,38.0,16836,14819,1943,591,34,180,720,763,155,63,70,1,12948,74,335
29,Empoli,it Serie A,28,38.0,16700,14627,1990,528,36,76,704,827,189,63,87,0,12796,83,347
30,Espanyol,es La Liga,34,38.0,16919,15003,1846,590,29,196,627,659,172,65,67,1,13360,70,287
31,Everton,eng Premier League,33,38.0,14557,12746,1758,413,30,70,653,783,161,83,60,0,10366,53,345
32,Fiorentina,it Serie A,28,38.0,20910,19005,1848,664,37,246,776,693,195,23,129,0,17418,57,331
33,Freiburg,de Bundesliga,26,34.0,15652,13970,1624,421,33,120,633,672,181,116,44,1,11641,58,328
34,Genoa,it Serie A,40,38.0,15587,13605,1910,559,29,74,661,777,155,57,76,1,11185,72,365
35,Getafe,es La Liga,31,38.0,14607,12625,1929,579,17,194,621,842,136,65,58,0,10278,53,299
36,Gladbach,de Bundesliga,26,34.0,17978,16210,1697,535,74,89,440,681,152,60,66,3,14537,71,315
37,Granada,es La Liga,32,38.0,14889,12856,1971,544,28,142,691,791,159,70,60,1,10582,62,295
38,Greuther Fürth,de Bundesliga,29,34.0,13971,12140,1762,482,24,54,478,738,138,92,37,4,10180,69,325
39,Hellas Verona,it Serie A,31,38.0,17398,15513,1788,467,36,101,593,777,166,75,43,0,13047,97,347
40,Hertha BSC,de Bundesliga,36,34.0,14077,12218,1786,516,30,94,505,746,141,64,66,0,10314,73,321
41,Hoffenheim,de Bundesliga,32,34.0,18141,16308,1763,445,36,91,703,798,190,90,52,0,14323,70,350
42,Inter,it Serie A,27,38.0,21832,20151,1624,448,54,207,809,630,252,73,141,2,18367,57,339
43,Juventus,it Serie A,32,38.0,19835,18065,1696,533,41,193,550,662,169,72,66,2,16459,74,297
44,Köln,de Bundesliga,26,34.0,16910,14957,1886,536,26,124,829,833,181,99,57,0,12636,67,374
45,Lazio,it Serie A,27,38.0,23041,21310,1687,520,54,137,574,663,176,74,71,0,19632,44,296
46,Leeds United,eng Premier League,29,38.0,18288,16432,1793,417,66,140,648,798,170,100,38,3,13989,63,368
47,Leicester City,eng Premier League,28,38.0,20137,18268,1809,457,65,105,556,769,185,113,42,2,16129,60,379
48,Lens,fr Ligue 1,28,38.0,20178,18428,1692,388,51,172,699,718,213,70,106,0,16573,58,295
49,Levante,es La Liga,31,38.0,16422,14508,1837,477,50,183,624,769,168,58,76,3,12584,77,311
50,Leverkusen,de Bundesliga,29,34.0,18338,16593,1681,380,80,89,537,726,194,96,71,1,14735,64,328
51,Lille,fr Ligue 1,26,38.0,18926,16958,1879,471,47,186,621,828,201,79,90,0,15086,89,354
52,Liverpool,eng Premier League,27,38.0,25552,23742,1747,436,112,167,897,780,282,47,207,0,21163,63,374
53,Lorient,fr Ligue 1,29,38.0,16818,14950,1813,441,40,163,588,803,162,63,55,2,13156,55,291
54,Lyon,fr Ligue 1,30,38.0,23388,21522,1804,491,95,139,571,782,188,85,60,2,19787,62,313
55,Mainz 05,de Bundesliga,28,34.0,15000,13190,1747,415,23,60,598,818,178,101,64,0,10773,63,306
56,Mallorca,es La Liga,33,38.0,15023,13022,1934,575,44,113,597,788,159,64,34,5,11046,67,311
57,Manchester City,eng Premier League,26,38.0,27902,26239,1597,406,102,192,869,664,316,154,50,4,24406,66,355
58,Manchester Utd,eng Premier League,29,38.0,20641,18862,1691,376,80,187,659,725,197,74,88,0,16690,88,369
59,Marseille,fr Ligue 1,27,38.0,24524,22709,1755,538,57,176,619,692,217,100,81,0,21253,60,306
60,Metz,fr Ligue 1,36,38.0,15688,13854,1786,476,34,137,581,729,142,43,76,0,12069,48,299
61,Milan,it Serie A,28,38.0,19320,17512,1728,564,45,122,672,653,195,61,86,0,15719,80,297
62,Monaco,fr Ligue 1,27,38.0,20559,18632,1833,448,77,150,705,805,220,99,78,0,16300,94,331
63,Montpellier,fr Ligue 1,27,38.0,17804,15757,1994,484,36,155,697,868,178,62,74,2,13951,53,313
64,Nantes,fr Ligue 1,26,38.0,16481,14568,1858,422,20,140,731,864,198,75,97,1,12580,55,280
65,Napoli,it Serie A,27,38.0,22921,21114,1740,536,45,199,553,693,197,85,51,0,19572,67,337
66,Newcastle Utd,eng Premier League,29,38.0,14036,12203,1762,415,31,114,592,743,160,90,46,14,10201,71,281
67,Nice,fr Ligue 1,27,38.0,19832,18037,1742,440,37,101,742,766,196,94,75,1,16159,53,305
68,Norwich City,eng Premier League,28,38.0,16070,14176,1839,474,50,153,568,766,165,90,60,2,12164,55,306
69,Osasuna,es La Liga,29,38.0,16522,14470,1986,473,16,195,864,932,179,61,99,4,11904,66,309
70,Paris S-G,fr Ligue 1,36,38.0,26660,24940,1627,488,94,170,459,623,201,80,34,2,23831,93,278
71,Rayo Vallecano,es La Liga,28,38.0,16933,14830,2020,553,38,161,862,906,190,76,76,4,12747,83,321
72,RB Leipzig,de Bundesliga,29,34.0,19771,18099,1606,504,70,63,523,644,162,72,54,0,16163,66,315
73,Real Madrid,es La Liga,31,38.0,24517,22705,1706,491,71,309,611,639,218,81,50,0,21373,106,313
74,Real Sociedad,es La Liga,32,38.0,19304,17333,1895,537,45,96,638,829,186,79,79,1,15403,76,352
75,Reims,fr Ligue 1,35,38.0,15811,13914,1821,498,14,181,629,780,166,63,77,1,12097,76,315
76,Rennes,fr Ligue 1,28,38.0,21263,19478,1726,436,41,199,698,766,222,61,132,0,17605,59,308
77,Roma,it Serie A,29,38.0,18828,16921,1847,548,45,136,735,748,238,130,95,0,15221,60,292
78,Saint-Étienne,fr Ligue 1,39,38.0,17876,15857,1968,520,39,214,697,868,178,82,65,3,13880,51,329
79,Salernitana,it Serie A,42,38.0,14461,12521,1899,576,12,90,698,695,185,56,111,1,10680,41,320
80,Sampdoria,it Serie A,34,38.0,17022,15064,1876,582,35,151,645,726,143,33,73,0,12901,82,339
81,Sassuolo,it Serie A,29,38.0,20327,18421,1863,629,59,179,541,612,198,96,62,1,17027,43,315
82,Sevilla,es La Liga,33,38.0,22234,20265,1889,526,37,312,787,844,175,11,124,2,18327,80,305
