Rk,Squad,Comp,#_Pl,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty_Kicks_PKatt,Penalty_Kicks_PKA,Penalty_Kicks_PKsv,Penalty_Kicks_PKm,Penalty_Kicks_Save%
1,Alavés,es La Liga,2,38,38,3420,38.0,46,1.21,147,103,74.1,12,10,16,11,28.9,8,8,0,0,0.0
2,Almería,es La Liga,3,38,38,3420,38.0,75,1.97,202,126,65.8,3,12,23,6,15.8,9,6,1,2,14.3
3,Arsenal,eng Premier League,2,38,38,3420,38.0,29,0.76,83,54,67.5,28,5,5,18,47.4,3,2,1,0,33.3
4,Aston Villa,eng Premier League,2,38,38,3420,38.0,61,1.61,173,115,65.3,20,8,10,8,21.1,2,1,1,0,50.0
5,Atalanta,it Serie A,3,38,38,3420,38.0,42,1.11,142,99,74.6,21,6,11,15,39.5,9,6,2,1,25.0
6,Athletic Club,es La Liga,2,38,38,3420,38.0,37,0.97,134,98,73.1,19,11,8,18,47.4,5,1,3,1,75.0
7,Atlético Madrid,es La Liga,1,38,38,3420,38.0,43,1.13,144,101,70.8,24,4,10,13,34.2,2,1,0,1,0.0
8,Augsburg,de Bundesliga,2,34,34,3060,34.0,60,1.76,183,123,71.0,10,9,15,3,8.8,10,7,2,1,22.2
9,Barcelona,es La Liga,2,38,38,3420,38.0,44,1.16,141,97,70.2,26,7,5,17,44.7,2,2,0,0,0.0
10,Bayern Munich,de Bundesliga,3,34,34,3060,34.0,45,1.32,124,78,66.1,23,3,8,11,32.4,4,3,1,0,25.0
11,Betis,es La Liga,3,38,38,3420,38.0,45,1.18,158,115,75.9,14,15,9,13,34.2,8,7,1,0,12.5
12,Bochum,de Bundesliga,2,34,34,3060,34.0,74,2.18,189,117,65.6,7,12,15,4,11.8,11,9,2,0,18.2
13,Bologna,it Serie A,3,38,38,3420,38.0,32,0.84,125,91,76.8,18,14,6,17,44.7,7,3,2,2,40.0
14,Bournemouth,eng Premier League,3,38,38,3420,38.0,67,1.76,194,127,68.6,13,9,16,9,23.7,7,6,1,0,14.3
15,Brentford,eng Premier League,2,38,38,3420,38.0,65,1.71,184,119,65.8,10,9,19,7,18.4,2,2,0,0,0.0
16,Brest,fr Ligue 1,2,34,34,3057,34.0,34,1.0,133,98,75.9,17,10,7,15,44.1,3,2,1,0,33.3
17,Brighton,eng Premier League,2,38,38,3420,38.0,62,1.63,165,105,66.1,12,12,14,6,15.8,6,6,0,0,0.0
18,Burnley,eng Premier League,2,38,38,3420,38.0,78,2.05,244,168,70.5,5,9,24,2,5.3,7,6,1,0,14.3
19,Cádiz,es La Liga,2,38,38,3420,38.0,55,1.45,175,121,69.7,6,15,17,10,26.3,2,2,0,0,0.0
20,Cagliari,it Serie A,3,38,38,3420,38.0,68,1.79,157,92,59.2,8,12,18,5,13.2,5,4,0,1,0.0
21,Celta Vigo,es La Liga,2,38,38,3417,38.0,57,1.5,164,109,68.9,10,11,17,6,15.8,8,6,1,1,14.3
22,Chelsea,eng Premier League,2,38,38,3420,38.0,63,1.66,186,125,67.7,18,9,11,8,21.1,5,3,1,1,25.0
23,Clermont Foot,fr Ligue 1,2,34,34,3060,34.0,60,1.76,212,152,75.0,5,10,19,5,14.7,9,7,1,1,12.5
24,Crystal Palace,eng Premier League,3,38,38,3420,38.0,58,1.53,154,98,64.3,13,10,15,10,26.3,3,3,0,0,0.0
25,Darmstadt 98,de Bundesliga,2,34,34,3060,34.0,86,2.53,215,130,60.5,3,8,23,3,8.8,2,1,1,0,50.0
26,Dortmund,de Bundesliga,2,34,34,3060,34.0,43,1.26,145,103,73.8,18,9,7,10,29.4,6,5,1,0,16.7
27,Eint Frankfurt,de Bundesliga,2,34,34,3060,34.0,50,1.47,146,94,71.9,11,14,9,7,20.6,11,9,2,0,18.2
28,Empoli,it Serie A,3,38,38,3420,38.0,54,1.42,185,130,74.1,9,9,20,9,23.7,8,6,2,0,25.0
29,Everton,eng Premier League,1,38,38,3420,38.0,51,1.34,165,117,73.9,13,9,16,13,34.2,8,8,0,0,0.0
30,Fiorentina,it Serie A,3,38,38,3420,38.0,46,1.21,148,101,74.3,17,9,12,8,21.1,9,8,1,0,11.1
31,Freiburg,de Bundesliga,1,34,34,3060,34.0,58,1.71,158,99,65.2,11,9,14,10,29.4,5,3,2,0,40.0
32,Frosinone,it Serie A,2,38,38,3420,38.0,69,1.82,180,112,64.4,8,11,19,7,18.4,8,5,1,2,16.7
33,Fulham,eng Premier League,1,38,38,3420,38.0,61,1.61,190,133,72.1,13,8,17,10,26.3,8,8,0,0,0.0
34,Genoa,it Serie A,3,38,38,3420,38.0,45,1.18,139,94,69.8,12,13,13,9,23.7,4,3,1,0,25.0
35,Getafe,es La Liga,2,38,38,3420,38.0,54,1.42,173,118,71.7,10,13,15,10,26.3,7,5,1,1,16.7
36,Girona,es La Liga,1,38,38,3420,38.0,46,1.21,168,121,75.6,25,6,7,12,31.6,7,5,1,1,16.7
37,Gladbach,de Bundesliga,2,34,34,3060,34.0,67,1.97,207,140,70.5,7,13,14,4,11.8,6,6,0,0,0.0
38,Granada,es La Liga,4,38,38,3420,38.0,79,2.08,203,126,63.5,4,9,25,3,7.9,6,5,0,1,0.0
39,Heidenheim,de Bundesliga,1,34,34,3060,34.0,55,1.62,174,121,72.4,10,12,12,6,17.6,10,7,1,2,12.5
40,Hellas Verona,it Serie A,2,38,38,3420,38.0,51,1.34,163,113,69.9,9,11,18,8,21.1,2,2,0,0,0.0
41,Hoffenheim,de Bundesliga,1,34,34,3060,34.0,66,1.94,211,143,69.7,13,7,14,2,5.9,5,2,3,0,60.0
42,Inter,it Serie A,3,38,38,3420,38.0,22,0.58,113,90,82.3,29,7,2,21,55.3,4,2,1,1,33.3
43,Juventus,it Serie A,3,38,38,3420,38.0,31,0.82,116,86,75.0,19,14,5,17,44.7,3,2,1,0,33.3
