Rk,Squad,Comp,#_Pl,90s,Att,Pass_Types_Live,Pass_Types_Dead,Pass_Types_FK,Pass_Types_TB,Pass_Types_Sw,Pass_Types_Crs,Pass_Types_TI,Pass_Types_CK,Corner_Kicks_In,Corner_Kicks_Out,Corner_Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks
1,Alavés,es La Liga,30,38.0,14116,12133,1914,506,29,124,830,802,187,45,74,4,10091,69,372
2,Almería,es La Liga,35,38.0,16540,14559,1906,555,35,112,659,741,167,64,63,0,12774,75,320
3,Arsenal,eng Premier League,25,38.0,22558,20941,1530,443,104,65,670,560,265,217,1,0,19094,87,319
4,Aston Villa,eng Premier League,31,38.0,19363,17499,1817,628,80,95,651,613,231,149,15,2,16133,47,343
5,Atalanta,it Serie A,29,38.0,19961,18129,1769,439,42,124,710,772,210,103,67,1,16051,63,382
6,Athletic Club,es La Liga,27,38.0,18724,16746,1900,528,70,111,845,817,208,79,89,0,14509,78,364
7,Atlético Madrid,es La Liga,27,38.0,20709,18869,1717,489,76,179,621,675,174,59,74,0,17064,123,343
8,Augsburg,de Bundesliga,29,34.0,14262,12585,1596,393,34,76,631,681,165,65,80,0,10545,81,314
9,Barcelona,es La Liga,29,38.0,24761,22805,1857,574,98,200,651,709,238,95,82,2,21506,99,335
10,Bayern Munich,de Bundesliga,30,34.0,22946,21398,1488,347,83,119,655,620,228,78,102,2,19987,60,363
11,Betis,es La Liga,35,38.0,18979,16983,1923,603,43,138,636,741,217,83,86,2,15310,73,381
12,Bochum,de Bundesliga,25,34.0,14203,12336,1784,454,42,50,649,813,154,58,77,1,9786,83,325
13,Bologna,it Serie A,28,38.0,22504,20652,1797,523,32,137,510,755,165,100,51,1,19125,55,414
14,Bournemouth,eng Premier League,30,38.0,15920,14065,1799,419,48,91,709,774,235,192,9,4,11899,56,361
15,Brentford,eng Premier League,28,38.0,16818,14996,1752,464,70,113,706,683,184,79,51,10,12551,70,357
16,Brest,fr Ligue 1,25,34.0,17733,16093,1606,490,25,166,792,696,154,79,67,0,14111,34,336
17,Brighton,eng Premier League,30,38.0,25029,23334,1611,511,62,76,671,541,206,86,73,5,21810,84,327
18,Burnley,eng Premier League,31,38.0,17959,16189,1694,445,49,77,550,670,180,67,58,9,13937,76,344
19,Cádiz,es La Liga,34,38.0,14990,12985,1915,560,24,130,791,751,170,63,80,0,10763,90,304
20,Cagliari,it Serie A,29,38.0,14709,12744,1901,505,34,134,852,804,175,46,111,2,10731,64,308
21,Celta Vigo,es La Liga,31,38.0,17776,15843,1870,526,63,112,661,759,181,65,76,1,13890,63,380
22,Chelsea,eng Premier League,32,38.0,23364,21587,1692,496,116,101,558,611,202,78,55,4,20039,85,348
23,Clermont Foot,fr Ligue 1,31,34.0,16784,15174,1559,458,51,78,551,581,150,73,52,2,13390,51,277
24,Crystal Palace,eng Premier League,26,38.0,16754,14948,1734,484,52,97,583,721,178,81,57,6,12915,72,366
25,Darmstadt 98,de Bundesliga,32,34.0,15336,13685,1594,408,19,103,514,641,115,42,62,1,11807,57,311
26,Dortmund,de Bundesliga,32,34.0,20445,18810,1591,467,52,151,522,602,176,79,77,2,17191,44,344
27,Eint Frankfurt,de Bundesliga,34,34.0,18809,17091,1667,407,54,57,557,739,161,61,85,0,15017,51,368
28,Empoli,it Serie A,34,38.0,15348,13346,1920,550,36,53,672,795,176,52,92,0,11571,82,331
29,Everton,eng Premier League,26,38.0,15514,13704,1721,409,45,78,752,768,181,140,26,3,11349,89,347
30,Fiorentina,it Serie A,30,38.0,19975,18072,1846,542,50,146,748,813,199,45,104,1,16180,57,360
31,Freiburg,de Bundesliga,25,34.0,16023,14477,1494,406,34,68,593,582,128,76,39,0,12337,52,327
32,Frosinone,it Serie A,34,38.0,17545,15536,1961,525,50,55,524,800,213,69,63,3,13740,48,352
33,Fulham,eng Premier League,25,38.0,20237,18414,1772,464,58,118,736,696,212,70,98,1,16311,51,421
34,Genoa,it Serie A,34,38.0,15765,13987,1731,487,21,72,610,695,142,50,73,3,12053,47,309
35,Getafe,es La Liga,33,38.0,15193,13180,1935,575,20,224,701,803,143,76,37,1,10713,78,313
36,Girona,es La Liga,25,38.0,21914,20127,1692,514,56,172,698,624,159,61,67,1,18793,95,314
37,Gladbach,de Bundesliga,27,34.0,16946,15325,1568,414,45,67,574,615,174,62,87,1,13544,53,330
38,Granada,es La Liga,40,38.0,15976,13933,1968,615,46,96,664,795,149,56,51,1,12127,75,345
39,Heidenheim,de Bundesliga,22,34.0,14339,12534,1767,381,22,112,663,798,183,90,75,0,10264,38,427
40,Hellas Verona,it Serie A,36,38.0,14710,12799,1850,538,24,153,724,761,143,37,86,0,10639,61,318
41,Hoffenheim,de Bundesliga,30,34.0,17038,15411,1575,414,62,74,603,617,149,59,56,2,13457,52,328
42,Inter,it Serie A,27,38.0,22447,20739,1631,439,61,165,804,655,228,96,94,0,19136,77,351
43,Juventus,it Serie A,31,38.0,18079,16332,1675,397,35,156,708,695,193,53,106,0,14757,72,320
44,Köln,de Bundesliga,26,34.0,15411,13628,1730,396,19,69,779,792,188,81,77,0,11704,53,427
45,Las Palmas,es La Liga,29,38.0,22882,20865,1924,655,66,83,580,761,159,58,55,1,19105,93,392
46,Lazio,it Serie A,22,38.0,21071,19202,1797,474,53,85,624,748,197,68,93,0,17462,72,367
47,Le Havre,fr Ligue 1,27,34.0,15121,13517,1552,441,28,54,544,655,128,54,55,0,11739,52,321
48,Lecce,it Serie A,26,38.0,15397,13439,1902,527,27,96,650,771,172,73,57,0,11742,56,282
49,Lens,fr Ligue 1,27,34.0,18083,16450,1558,453,49,63,736,638,175,68,87,0,14709,75,344
50,Leverkusen,de Bundesliga,24,34.0,24301,22816,1412,357,84,109,586,578,236,113,42,2,21192,73,356
51,Lille,fr Ligue 1,28,34.0,19319,17662,1611,578,34,114,533,598,177,71,50,0,16278,46,285
52,Liverpool,eng Premier League,30,38.0,24379,22490,1789,440,102,145,817,755,287,86,171,2,20376,100,371
53,Lorient,fr Ligue 1,38,34.0,16298,14696,1546,459,25,80,565,555,135,57,51,0,13284,56,292
54,Luton Town,eng Premier League,28,38.0,15099,13156,1876,498,22,111,841,703,203,93,101,5,11048,67,413
55,Lyon,fr Ligue 1,35,34.0,17984,16440,1492,413,56,101,560,576,166,72,46,0,14823,52,330
56,Mainz 05,de Bundesliga,30,34.0,15120,13376,1685,446,29,74,633,770,180,69,85,1,10974,59,346
57,Mallorca,es La Liga,25,38.0,15645,13739,1802,444,51,118,763,772,173,57,86,7,11476,104,328
58,Manchester City,eng Premier League,25,38.0,27758,26136,1580,460,85,133,700,604,286,114,66,7,24616,42,383
59,Manchester Utd,eng Premier League,31,38.0,19538,17784,1663,371,73,99,594,643,224,70,86,10,15785,91,372
60,Marseille,fr Ligue 1,33,34.0,18000,16375,1556,451,39,63,713,626,184,42,110,0,14716,69,312
61,Metz,fr Ligue 1,30,34.0,11986,10324,1617,435,16,110,563,659,133,62,65,0,8816,45,279
62,Milan,it Serie A,35,38.0,20741,19060,1624,455,49,94,660,617,192,66,77,0,17656,57,296
63,Monaco,fr Ligue 1,30,34.0,18346,16702,1571,465,76,72,517,619,183,54,82,0,14825,73,335
64,Montpellier,fr Ligue 1,31,34.0,14618,12910,1653,489,37,130,601,653,138,35,88,0,11198,55,317
65,Monza,it Serie A,31,38.0,19870,18182,1648,458,21,125,584,612,170,29,107,0,16734,40,322
66,Nantes,fr Ligue 1,35,34.0,15384,13814,1519,397,50,69,627,609,165,72,62,0,12180,51,276
67,Napoli,it Serie A,29,38.0,22942,20996,1875,519,44,232,737,805,240,81,104,3,19517,71,312
68,Newcastle Utd,eng Premier League,32,38.0,19852,18026,1767,515,85,133,648,679,192,75,60,9,16117,59,364
69,Nice,fr Ligue 1,27,34.0,18379,16875,1452,414,41,43,605,583,184,76,84,1,15511,52,283
70,Nott'ham Forest,eng Premier League,33,38.0,15679,13975,1627,409,53,83,595,661,148,80,55,0,11877,77,315
71,Osasuna,es La Liga,29,38.0,17335,15309,1958,520,19,124,813,867,170,83,68,1,12874,68,383
72,Paris S-G,fr Ligue 1,29,34.0,24396,22942,1401,395,73,98,513,540,198,58,60,0,21536,53,331
73,Rayo Vallecano,es La Liga,26,38.0,17459,15351,2012,580,43,141,688,858,169,77,53,2,13282,96,333
74,RB Leipzig,de Bundesliga,26,34.0,19590,17935,1588,423,86,93,608,657,200,72,78,4,16254,67,344
75,Real Madrid,es La Liga,27,38.0,24691,22843,1769,553,93,224,618,650,211,66,86,0,21794,79,285
76,Real Sociedad,es La Liga,31,38.0,19249,17319,1838,534,48,122,672,830,198,103,60,0,15263,92,340
77,Reims,fr Ligue 1,29,34.0,16365,14705,1576,392,45,103,618,688,174,65,85,0,12995,84,320
78,Rennes,fr Ligue 1,29,34.0,17580,16008,1536,483,38,96,554,608,157,57,67,0,14481,36,276
79,Roma,it Serie A,30,38.0,20523,18783,1674,471,40,106,654,663,167,82,71,0,17066,66,321
80,Salernitana,it Serie A,39,38.0,15920,13953,1906,559,27,119,596,737,148,26,66,0,12124,61,351
81,Sassuolo,it Serie A,30,38.0,15683,13729,1928,508,25,118,661,758,202,108,49,1,11978,26,290
82,Sevilla,es La Liga,35,38.0,18599,16643,1879,513,28,206,934,807,180,72,76,0,14628,77,357
83,Sheffield Utd,eng Premier League,35,38.0,13509,11764,1681,380,26,52,428,666,141,70,47,6,9531,64,322
84,Strasbourg,fr Ligue 1,30,34.0,15031,13463,1533,487,44,65,554,586,117,61,39,2,12021,35,224
85,Stuttgart,de Bundesliga,27,34.0,22456,20912,1494,434,88,90,537,608,166,76,34,0,19201,50,350
86,Torino,it Serie A,30,38.0,18229,16507,1659,451,14,87,761,685,176,144,24,1,14578,63,300
87,Tottenham,eng Premier League,29,38.0,24197,22167,1947,636,91,59,710,723,234,93,70,1,20649,83,480
88,Toulouse,fr Ligue 1,26,34.0,16304,14673,1581,476,43,102,526,622,151,53,78,0,13014,50,348
89,Udinese,it Serie A,32,38.0,13300,11562,1681,464,24,120,556,669,157,58,74,1,9976,57,270
90,Union Berlin,de Bundesliga,30,34.0,14784,13097,1626,385,28,64,662,725,157,58,79,2,11004,61,327
91,Valencia,es La Liga,29,38.0,16255,14286,1900,550,36,111,593,868,124,23,47,1,12233,69,375
92,Villarreal,es La Liga,32,38.0,18637,16709,1836,541,69,143,592,666,174,75,57,2,15349,92,335
93,Werder Bremen,de Bundesliga,30,34.0,16418,14834,1514,455,50,97,543,554,120,44,57,0,12821,70,312
