Rk,Squad,Comp,#_Pl,90s,SCA_SCA,SCA_SCA90,SCA_Types_PassLive,SCA_Types_PassDead,SCA_Types_TO,SCA_Types_Sh,SCA_Types_Fld,SCA_Types_Def,GCA_GCA,GCA_GCA90,GCA_Types_PassLive,GCA_Types_PassDead,GCA_Types_TO,GCA_Types_Sh,GCA_Types_Fld,GCA_Types_Def
1,Alavés,es La Liga,30,38.0,817,21.5,563,88,54,53,43,16,60,1.58,39,5,6,4,6,0
2,Almería,es La Liga,35,38.0,823,21.66,586,66,47,52,50,22,70,1.84,45,3,7,9,4,2
3,Arsenal,eng Premier League,25,38.0,1185,31.18,926,82,58,66,33,20,152,4.0,104,16,8,11,13,0
4,Aston Villa,eng Premier League,31,38.0,912,24.0,670,77,47,73,31,14,129,3.39,92,8,8,10,8,3
5,Atalanta,it Serie A,29,38.0,971,25.55,735,80,56,55,32,13,128,3.37,103,9,2,7,6,1
6,Athletic Club,es La Liga,27,38.0,817,21.5,612,81,48,33,32,11,103,2.71,83,6,6,3,4,1
7,Atlético Madrid,es La Liga,27,38.0,852,22.42,650,59,56,42,31,14,120,3.16,94,3,10,7,5,1
8,Augsburg,de Bundesliga,29,34.0,726,21.35,503,78,35,58,39,13,78,2.29,58,6,2,8,4,0
9,Barcelona,es La Liga,29,38.0,1063,27.97,798,83,63,69,39,11,136,3.58,105,6,6,11,7,1
10,Bayern Munich,de Bundesliga,30,34.0,1156,34.0,875,86,69,72,38,16,166,4.88,126,9,11,11,6,3
11,Betis,es La Liga,35,38.0,870,22.89,632,75,52,62,34,15,78,2.05,57,3,5,7,3,3
12,Bochum,de Bundesliga,25,34.0,884,26.0,561,134,38,81,55,15,72,2.12,43,8,5,9,6,1
13,Bologna,it Serie A,28,38.0,823,21.66,611,64,57,52,30,9,78,2.05,50,1,8,13,6,0
14,Bournemouth,eng Premier League,30,38.0,952,25.05,700,70,64,57,34,27,83,2.18,62,3,5,6,3,4
15,Brentford,eng Premier League,28,38.0,804,21.16,557,102,34,55,42,14,81,2.13,57,7,3,8,6,0
16,Brest,fr Ligue 1,25,34.0,837,24.62,590,73,45,59,47,23,85,2.5,55,8,3,10,7,2
17,Brighton,eng Premier League,30,38.0,1010,26.58,749,87,54,71,38,11,89,2.34,59,5,9,9,6,1
18,Burnley,eng Premier League,31,38.0,757,19.92,549,74,49,45,31,9,74,1.95,55,6,8,2,3,0
19,Cádiz,es La Liga,34,38.0,698,18.37,478,85,30,48,42,15,40,1.05,25,4,1,5,4,1
20,Cagliari,it Serie A,29,38.0,785,20.66,550,80,41,54,43,17,70,1.84,44,5,6,10,3,2
21,Celta Vigo,es La Liga,31,38.0,855,22.5,645,67,50,43,42,8,81,2.13,63,2,5,5,6,0
22,Chelsea,eng Premier League,32,38.0,980,25.79,720,62,76,46,50,26,133,3.5,89,7,11,10,12,4
23,Clermont Foot,fr Ligue 1,31,34.0,672,19.76,490,59,30,44,40,9,50,1.47,37,4,0,4,5,0
24,Crystal Palace,eng Premier League,26,38.0,794,20.89,554,74,48,50,45,23,103,2.71,85,4,6,2,6,0
25,Darmstadt 98,de Bundesliga,32,34.0,723,21.26,522,68,36,48,32,17,50,1.47,38,3,1,4,3,1
26,Dortmund,de Bundesliga,32,34.0,909,26.74,668,68,56,62,42,13,121,3.56,84,8,7,8,10,4
27,Eint Frankfurt,de Bundesliga,34,34.0,688,20.24,493,63,44,48,31,9,81,2.38,63,2,3,9,3,1
28,Empoli,it Serie A,34,38.0,718,18.89,480,84,34,48,57,15,46,1.21,30,3,3,4,6,0
29,Everton,eng Premier League,26,38.0,854,22.47,592,82,31,76,41,32,60,1.58,33,5,0,13,5,4
30,Fiorentina,it Serie A,30,38.0,910,23.95,679,79,37,59,44,12,106,2.79,71,11,8,10,5,1
31,Freiburg,de Bundesliga,25,34.0,714,21.0,538,55,25,51,36,9,77,2.26,51,5,1,10,8,2
32,Frosinone,it Serie A,34,38.0,801,21.08,572,82,54,41,39,13,75,1.97,46,10,3,4,9,3
33,Fulham,eng Premier League,25,38.0,877,23.08,652,79,40,67,24,15,95,2.5,73,6,4,8,3,1
34,Genoa,it Serie A,34,38.0,705,18.55,448,105,29,57,58,8,75,1.97,53,3,5,10,4,0
35,Getafe,es La Liga,33,38.0,766,20.16,531,87,45,48,40,15,69,1.82,40,8,8,9,4,0
36,Girona,es La Liga,25,38.0,872,22.95,674,62,45,45,36,10,152,4.0,119,7,10,7,8,1
37,Gladbach,de Bundesliga,27,34.0,806,23.71,572,85,47,59,29,14,98,2.88,71,9,4,8,4,2
38,Granada,es La Liga,40,38.0,708,18.63,475,74,47,50,49,13,63,1.66,45,3,3,5,5,2
39,Heidenheim,de Bundesliga,22,34.0,666,19.59,442,95,30,54,34,11,81,2.38,57,9,4,5,5,1
40,Hellas Verona,it Serie A,36,38.0,777,20.45,546,91,39,42,40,19,69,1.82,46,6,5,4,4,4
41,Hoffenheim,de Bundesliga,30,34.0,813,23.91,608,68,38,48,38,13,110,3.24,78,5,11,8,6,2
42,Inter,it Serie A,27,38.0,1059,27.87,819,85,24,68,47,16,152,4.0,109,9,7,10,13,4
43,Juventus,it Serie A,31,38.0,936,24.63,669,89,51,68,38,21,87,2.29,54,6,4,14,6,3
44,Köln,de Bundesliga,26,34.0,780,22.94,551,76,36,59,47,11,45,1.32,22,3,3,10,7,0
45,Las Palmas,es La Liga,29,38.0,707,18.61,560,40,38,30,30,9,60,1.58,49,3,1,3,3,1
46,Lazio,it Serie A,22,38.0,762,20.05,573,60,34,49,34,12,74,1.95,54,2,2,9,6,1
47,Le Havre,fr Ligue 1,27,34.0,693,20.38,482,69,44,38,47,13,63,1.85,40,3,7,4,8,1
48,Lecce,it Serie A,26,38.0,879,23.13,593,92,57,69,42,26,49,1.29,30,4,3,3,6,3
49,Lens,fr Ligue 1,27,34.0,857,25.21,648,68,38,53,36,14,74,2.18,54,5,3,7,4,1
50,Leverkusen,de Bundesliga,24,34.0,1117,32.85,854,74,77,54,47,11,159,4.68,115,12,13,9,10,0
51,Lille,fr Ligue 1,28,34.0,773,22.74,529,71,58,47,51,17,81,2.38,46,8,8,12,6,1
52,Liverpool,eng Premier League,30,38.0,1388,36.53,1045,116,66,101,43,17,131,3.45,96,8,9,10,7,1
53,Lorient,fr Ligue 1,38,34.0,641,18.85,473,54,32,36,32,14,63,1.85,46,1,2,11,2,1
54,Luton Town,eng Premier League,28,38.0,749,19.71,504,73,59,55,46,12,81,2.13,46,7,6,16,6,0
55,Lyon,fr Ligue 1,35,34.0,764,22.47,533,62,58,64,35,12,84,2.47,56,3,8,12,5,0
56,Mainz 05,de Bundesliga,30,34.0,816,24.0,531,104,48,60,61,12,65,1.91,46,7,4,5,2,1
57,Mallorca,es La Liga,25,38.0,734,19.32,501,99,37,52,33,12,57,1.5,33,12,1,8,3,0
58,Manchester City,eng Premier League,25,38.0,1259,33.13,991,65,65,67,54,17,169,4.45,125,5,14,10,13,2
59,Manchester Utd,eng Premier League,31,38.0,989,26.03,743,79,55,52,38,22,98,2.58,68,4,8,7,6,5
60,Marseille,fr Ligue 1,33,34.0,851,25.03,626,68,48,51,49,9,88,2.59,66,3,2,12,5,0
61,Metz,fr Ligue 1,30,34.0,570,16.76,372,60,38,42,41,17,60,1.76,41,4,6,5,3,1
62,Milan,it Serie A,35,38.0,1006,26.47,726,86,74,73,33,14,139,3.66,102,7,15,10,4,1
63,Monaco,fr Ligue 1,30,34.0,884,26.0,650,73,38,65,32,26,107,3.15,81,4,6,10,4,2
64,Montpellier,fr Ligue 1,31,34.0,748,22.0,503,76,45,51,57,16,66,1.94,44,5,6,7,4,0
65,Monza,it Serie A,31,38.0,800,21.05,609,64,31,50,33,13,68,1.79,53,3,4,4,4,0
66,Nantes,fr Ligue 1,35,34.0,665,19.56,505,37,35,44,32,12,48,1.41,32,4,1,4,6,1
67,Napoli,it Serie A,29,38.0,1145,30.13,835,85,73,86,52,14,86,2.26,58,3,6,7,9,3
68,Newcastle Utd,eng Premier League,32,38.0,983,25.87,713,69,72,67,46,16,144,3.79,90,7,18,13,13,3
69,Nice,fr Ligue 1,27,34.0,791,23.26,571,66,53,49,35,17,69,2.03,48,5,5,3,7,1
70,Nott'ham Forest,eng Premier League,33,38.0,783,20.61,566,67,49,56,32,13,90,2.37,70,5,7,3,3,2
71,Osasuna,es La Liga,29,38.0,714,18.79,505,77,32,47,45,8,73,1.92,45,8,4,10,6,0
72,Paris S-G,fr Ligue 1,29,34.0,943,27.74,743,44,76,32,35,13,145,4.26,114,4,11,5,10,1
73,Rayo Vallecano,es La Liga,26,38.0,815,21.45,548,79,36,62,70,20,40,1.05,21,3,3,7,5,1
74,RB Leipzig,de Bundesliga,26,34.0,934,27.47,691,70,61,57,43,12,126,3.71,97,6,8,9,6,0
75,Real Madrid,es La Liga,27,38.0,1082,28.47,813,72,84,59,38,16,154,4.05,113,8,16,13,2,2
76,Real Sociedad,es La Liga,31,38.0,775,20.39,528,79,53,59,37,19,79,2.08,54,4,6,9,4,2
77,Reims,fr Ligue 1,29,34.0,727,21.38,544,52,51,51,21,8,71,2.09,52,3,7,3,4,2
78,Rennes,fr Ligue 1,29,34.0,864,25.41,605,67,61,67,47,17,94,2.76,58,1,7,15,11,2
79,Roma,it Serie A,30,38.0,858,22.58,617,79,38,61,51,12,112,2.95,68,8,9,16,11,0
