Squad,#_Pl,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP
nl Ajax,19,6.0,2834,3385,83.7,48341,15879,1278,1395,91.6,1295,1447,89.5,205,396,51.8,9,6.3,6.2,+2.7,53,210,65,15,234
es Atlético Madrid,22,6.0,3047,3674,82.9,51306,16783,1518,1661,91.4,1166,1363,85.5,282,475,59.4,3,5.3,4.7,-2.3,65,235,58,19,286
es Barcelona,26,6.0,3476,4033,86.2,59905,19061,1623,1796,90.4,1463,1613,90.7,323,444,72.7,10,8.2,10.5,+1.8,71,343,84,18,358
de Bayern Munich,24,10.0,5277,6096,86.6,92687,30813,2326,2542,91.5,2380,2622,90.8,482,702,68.7,19,15.5,13.5,+3.5,129,464,106,11,541
pt Benfica,24,10.0,4832,5740,84.2,82686,26948,2250,2505,89.8,1877,2100,89.4,525,769,68.3,16,12.0,12.5,+4.0,103,373,99,18,455
sct Celtic,22,6.0,2714,3217,84.4,47286,16001,1132,1275,88.8,1338,1488,89.9,187,300,62.3,1,6.6,7.4,-5.6,63,236,75,24,300
eng Chelsea,26,10.0,5015,5977,83.9,83375,27690,2517,2768,90.9,1953,2225,87.8,426,693,61.5,7,11.8,13.4,-4.8,115,418,105,16,512
be Club Brugge,25,8.0,2998,3805,78.8,57815,20432,1136,1345,84.5,1341,1536,87.3,411,702,58.5,7,5.2,4.1,+1.8,47,193,39,10,239
hr Dinamo Zagreb,20,6.0,2232,2821,79.1,40331,15054,965,1099,87.8,939,1110,84.6,249,433,57.5,2,3.2,3.3,-1.2,41,129,37,11,194
de Dortmund,26,8.0,3388,4123,82.2,57515,19809,1627,1828,89.0,1314,1486,88.4,329,552,59.6,10,8.8,7.3,+1.2,74,227,57,6,300
de Eint Frankfurt,22,8.0,2827,3691,76.6,47000,16909,1390,1613,86.2,1148,1409,81.5,215,490,43.9,5,5.5,5.0,-0.5,51,190,37,4,258
