Squad,#_Pl,Age,Playing_Time_MP,Playing_Time_Min,Playing_Time_Mn/MP,Playing_Time_Min%,Playing_Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team_Success_PPM,Team_Success_onG,Team_Success_onGA,Team_Success_+/-,Team_Success_+/-90,Team_Success_xG_onxG,Team_Success_xG_onxGA,Team_Success_xG_xG+/-,Team_Success_xG_xG+/-90
nl Ajax,19,26.4,6,540,90,100,6.0,66,83,39,26,16,44,1.00,11,16,-5,-0.83,8.3,12.2,-3.9,-0.65
es Atlético Madrid,22,28.6,6,540,90,100,6.0,66,79,41,26,28,37,0.83,5,9,-4,-0.67,9.5,9.8,-0.3,-0.05
es Barcelona,26,26.4,6,540,90,100,6.0,66,81,38,28,22,36,1.17,12,12,0,0.00,9.9,9.3,+0.6,+0.10
de Bayern Munich,24,26.6,10,900,90,100,10.0,110,80,62,47,24,49,2.50,22,6,+16,+1.60,19.4,10.9,+8.4,+0.84
pt Benfica,24,26.0,10,900,90,100,10.0,110,84,70,40,16,80,2.10,26,13,+13,+1.30,19.0,10.9,+8.1,+0.81
sct Celtic,22,26.0,6,540,90,100,6.0,66,80,37,29,23,39,0.33,4,15,-11,-1.83,9.2,10.9,-1.7,-0.29
eng Chelsea,26,26.9,10,900,90,100,10.0,110,81,64,45,21,67,1.60,12,9,+3,+0.30,16.2,10.7,+5.5,+0.55
be Club Brugge,25,26.3,8,720,90,100,8.0,88,84,57,30,17,44,1.38,8,11,-3,-0.37,8.0,16.9,-8.9,-1.12
hr Dinamo Zagreb,20,26.9,6,540,90,100,6.0,66,84,40,26,14,45,0.67,4,11,-7,-1.17,4.2,12.5,-8.3,-1.39
de Dortmund,26,26.0,8,720,90,100,8.0,88,82,54,34,22,48,1.50,11,7,+4,+0.50,10.5,11.4,-0.9,-0.12
de Eint Frankfurt,22,26.1,8,720,90,100,8.0,88,82,52,34,18,45,1.25,7,13,-6,-0.75,8.0,12.9,-4.9,-0.61
dk FC Copenhagen,25,24.6,6,540,90,100,6.0,66,83,39,26,19,37,0.50,1,12,-11,-1.83,4.8,11.2,-6.4,-1.06
it Inter,22,28.5,13,1170,90,100,13.0,143,82,79,64,18,89,1.85,19,11,+8,+0.62,17.9,15.1,+2.8,+0.22
it Juventus,26,28.3,6,540,90,100,6.0,66,80,40,27,24,33,0.50,9,13,-4,-0.67,8.6,10.6,-2.0,-0.33
de Leverkusen,20,24.8,6,540,90,100,6.0,66,84,39,26,16,28,0.83,4,8,-4,-0.67,9.0,7.5,+1.5,+0.26
eng Liverpool,25,27.5,8,720,90,100,8.0,88,82,49,39,18,46,1.88,19,12,+7,+0.87,14.7,10.6,+4.1,+0.51
il Maccabi Haifa,20,28.1,6,540,90,100,6.0,66,82,38,29,19,40,0.50,7,21,-14,-2.33,6.4,9.6,-3.3,-0.55
eng Manchester City,23,27.1,13,1170,90,100,13.0,143,83,103,39,24,99,2.23,32,5,+27,+2.08,26.5,10.5,+16.0,+1.23
fr Marseille,19,27.0,6,540,90,100,6.0,66,79,38,28,24,24,1.00,8,8,0,0.00,8.6,5.1,+3.5,+0.59
it Milan,23,26.3,12,1080,90,100,12.0,132,81,80,51,21,74,1.50,15,11,+4,+0.33,16.5,14.6,+1.9,+0.16
it Napoli,22,26.4,10,900,90,100,10.0,110,82,61,48,19,64,2.20,26,8,+18,+1.80,25.2,13.0,+12.2,+1.22
fr Paris S-G,21,27.5,8,720,90,100,8.0,88,84,57,32,17,49,1.75,16,10,+6,+0.75,10.8,10.0,+0.8,+0.10
pt Porto,24,26.8,8,720,90,100,8.0,88,83,49,36,17,59,1.63,12,8,+4,+0.50,15.2,11.4,+3.9,+0.48
sct Rangers,22,28.3,6,540,90,100,6.0,66,79,37,28,24,39,0.00,2,22,-20,-3.33,4.9,14.3,-9.4,-1.57
de RB Leipzig,22,26.1,8,720,90,100,8.0,88,81,50,38,21,29,1.63,14,17,-3,-0.37,11.7,12.4,-0.8,-0.10
at RB Salzburg,19,22.5,6,540,90,100,6.0,66,83,44,22,20,40,1.00,5,9,-4,-0.67,8.3,6.9,+1.4,+0.23
es Real Madrid,22,27.8,12,1080,90,100,12.0,132,83,81,51,18,86,2.17,26,13,+13,+1.08,22.3,15.9,+6.4,+0.53
es Sevilla,24,28.8,6,540,90,100,6.0,66,78,38,29,27,42,0.83,6,12,-6,-1.00,5.4,10.2,-4.8,-0.80
ua Shakhtar,20,24.3,6,540,90,100,6.0,66,84,42,24,18,48,1.00,8,10,-2,-0.33,3.7,10.9,-7.1,-1.19
pt Sporting CP,25,25.3,6,540,90,100,6.0,66,74,36,27,32,37,1.17,8,9,-1,-0.17,3.8,9.8,-6.0,-1.01
eng Tottenham,25,27.8,8,720,90,100,8.0,88,84,60,27,18,65,1.50,8,7,+1,+0.12,10.0,8.8,+1.2,+0.15
cz Viktoria Plzeň,22,28.1,6,540,90,100,6.0,66,78,35,30,25,24,0.00,5,24,-19,-3.17,5.5,15.1,-9.5,-1.59
