Squad,#_Pl,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err
eng Arsenal,21,8.0,,119,,,,,,,,,,,131,,,
es Atlético Madrid,20,12.0,,184,,,,,,,,,,,189,,,
es Barcelona,23,10.0,,148,,,,,,,,,,,103,,,
ch Basel,18,6.0,,79,,,,,,,,,,,94,,,
de Bayern Munich,21,10.3,,129,,,,,,,,,,,164,,,
pt Benfica,25,8.0,,106,,,,,,,,,,,132,,,
tr Beşiktaş,21,6.0,,73,,,,,,,,,,,112,,,
sct Celtic,22,6.0,,109,,,,,,,,,,,180,,,
be Club Brugge,21,6.0,,84,,,,,,,,,,,86,,,
ru CSKA Moscow,19,6.0,,103,,,,,,,,,,,106,,,
hr Dinamo Zagreb,24,6.0,,105,,,,,,,,,,,151,,,
de Dortmund,25,10.0,,137,,,,,,,,,,,131,,,
ua Dynamo Kyiv,24,6.0,,45,,,,,,,,,,,65,,,
dk FC Copenhagen,19,6.0,,95,,,,,,,,,,,104,,,
de Gladbach,19,6.0,,142,,,,,,,,,,,136,,,
it Juventus,25,13.0,,166,,,,,,,,,,,176,,,
pl Legia Warsaw,22,6.0,,91,,,,,,,,,,,117,,,
eng Leicester City,26,10.0,,112,,,,,,,,,,,138,,,
de Leverkusen,26,8.0,,164,,,,,,,,,,,178,,,
bg Ludogorets,19,6.0,,105,,,,,,,,,,,143,,,
fr Lyon,21,6.0,,85,,,,,,,,,,,118,,,
eng Manchester City,22,8.0,,127,,,,,,,,,,,169,,,
fr Monaco,23,12.0,,210,,,,,,,,,,,256,,,
it Napoli,21,8.0,,106,,,,,,,,,,,101,,,
fr Paris S-G,24,8.0,,131,,,,,,,,,,,131,,,
pt Porto,23,8.0,,107,,,,,,,,,,,153,,,
nl PSV Eindhoven,20,6.0,,72,,,,,,,,,,,116,,,
es Real Madrid,23,13.3,,161,,,,,,,,,,,208,,,
ru Rostov,18,6.0,,122,,,,,,,,,,,190,,,
es Sevilla,22,8.0,,143,,,,,,,,,,,127,,,
pt Sporting CP,21,6.0,,76,,,,,,,,,,,101,,,
eng Tottenham,21,6.0,,77,,,,,,,,,,,83,,,
