Squad,#_Pl,90s,Att,Pass_Types_Live,Pass_Types_Dead,Pass_Types_FK,Pass_Types_TB,Pass_Types_Sw,Pass_Types_Crs,Pass_Types_TI,Pass_Types_CK,Corner_Kicks_In,Corner_Kicks_Out,Corner_Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks
eng Arsenal,21,8.0,,,,,,,118,,,,,,,,
es Atlético Madrid,20,12.0,,,,,,,208,,,,,,,,
es Barcelona,23,10.0,,,,,,,148,,,,,,,,
ch Basel,18,6.0,,,,,,,126,,,,,,,,
de Bayern Munich,21,10.3,,,,,,,234,,,,,,,,
pt Benfica,25,8.0,,,,,,,109,,,,,,,,
tr Beşiktaş,21,6.0,,,,,,,100,,,,,,,,
sct Celtic,22,6.0,,,,,,,84,,,,,,,,
be Club Brugge,21,6.0,,,,,,,96,,,,,,,,
ru CSKA Moscow,19,6.0,,,,,,,74,,,,,,,,
hr Dinamo Zagreb,24,6.0,,,,,,,86,,,,,,,,
de Dortmund,25,10.0,,,,,,,165,,,,,,,,
ua Dynamo Kyiv,24,6.0,,,,,,,104,,,,,,,,
dk FC Copenhagen,19,6.0,,,,,,,159,,,,,,,,
de Gladbach,19,6.0,,,,,,,80,,,,,,,,
it Juventus,25,13.0,,,,,,,258,,,,,,,,
pl Legia Warsaw,22,6.0,,,,,,,114,,,,,,,,
eng Leicester City,26,10.0,,,,,,,133,,,,,,,,
de Leverkusen,26,8.0,,,,,,,132,,,,,,,,
bg Ludogorets,19,6.0,,,,,,,88,,,,,,,,
fr Lyon,21,6.0,,,,,,,111,,,,,,,,
eng Manchester City,22,8.0,,,,,,,161,,,,,,,,
fr Monaco,23,12.0,,,,,,,326,,,,,,,,
it Napoli,21,8.0,,,,,,,176,,,,,,,,
fr Paris S-G,24,8.0,,,,,,,141,,,,,,,,
pt Porto,23,8.0,,,,,,,211,,,,,,,,
nl PSV Eindhoven,20,6.0,,,,,,,99,,,,,,,,
es Real Madrid,23,13.3,,,,,,,267,,,,,,,,
ru Rostov,18,6.0,,,,,,,67,,,,,,,,
es Sevilla,22,8.0,,,,,,,160,,,,,,,,
pt Sporting CP,21,6.0,,,,,,,118,,,,,,,,
eng Tottenham,21,6.0,,,,,,,125,,,,,,,,
