Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Matches
1,Vincent Aboubakar,cm CMR,FW,pt Porto,26,1992,0.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
2,Michel Aebischer,ch SUI,MF,ch Young Boys,21,1997,2.5,9,5,3,6,0,6,12,50.0,6,5,1,4,1,10,3,0,Matches
3,Sergio Agüero,ar ARG,FW,eng Manchester City,30,1988,5.6,4,3,0,2,2,0,6,0.0,6,2,0,2,2,6,1,0,Matches
4,Jean-Eudes Aholou,ci CIV,"MF,FW",fr Monaco,24,1994,2.0,2,0,1,1,0,0,2,0.0,2,2,0,2,3,5,1,1,Matches
5,Youssef Aït Bennasser,ma MAR,MF,fr Monaco,22,1996,2.7,5,2,2,3,0,2,8,25.0,6,3,0,3,0,5,10,0,Matches
6,Manuel Akanji,ch SUI,DF,de Dortmund,23,1995,5.0,13,7,8,4,1,4,5,80.0,1,3,1,2,9,22,15,0,Matches
7,Emre Akbaba,tr TUR,FW,tr Galatasaray,25,1992,1.0,2,1,2,0,0,0,1,0.0,1,1,0,1,1,3,0,0,Matches
8,Yunus Akgün,tr TUR,MF,tr Galatasaray,18,2000,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
9,Ilzat Akhmetov,ru RUS,MF,ru CSKA Moscow,20,1997,3.3,12,6,7,4,1,4,6,66.7,2,4,1,3,3,15,4,0,Matches
10,Igor Akinfeev,ru RUS,GK,ru CSKA Moscow,32,1986,5.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,Matches
11,Kevin Akpoguma,ng NGA,DF,de Hoffenheim,23,1995,2.0,7,4,6,1,0,3,4,75.0,1,4,2,2,1,8,3,1,Matches
12,David Alaba,at AUT,DF,de Bayern Munich,26,1992,7.0,9,6,1,7,1,4,13,30.8,9,8,3,5,16,25,23,1,Matches
13,Jordi Alba,es ESP,DF,es Barcelona,29,1989,11.0,11,8,6,4,1,5,13,38.5,8,11,5,6,17,28,30,2,Matches
14,Raúl Albiol,es ESP,DF,it Napoli,32,1985,5.5,2,1,1,1,0,0,0,,0,5,5,0,8,10,29,0,Matches
15,Paco Alcácer,es ESP,FW,de Dortmund,24,1993,4.0,2,2,0,2,0,0,2,0.0,2,3,0,3,3,5,1,0,Matches
16,Thiago Alcántara,es ESP,MF,de Bayern Munich,27,1991,4.3,9,6,4,4,1,1,5,20.0,4,6,1,5,10,19,3,0,Matches
17,Toby Alderweireld,be BEL,DF,eng Tottenham,29,1989,12.0,11,7,11,0,0,6,15,40.0,9,17,12,5,12,23,44,2,Matches
18,Alef,br BRA,MF,gr AEK Athens,23,1995,2.2,5,2,4,1,0,3,5,60.0,2,3,0,3,7,12,3,0,Matches
19,Carles Aleñá,es ESP,MF,es Barcelona,20,1998,1.0,2,2,2,0,0,0,3,0.0,3,0,0,0,0,2,1,0,Matches
20,Trent Alexander-Arnold,eng ENG,DF,eng Liverpool,19,1998,10.2,21,10,11,6,4,13,19,68.4,6,8,1,7,18,39,22,1,Matches
21,Alisson,br BRA,GK,eng Liverpool,25,1992,13.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,1,Matches
22,Allan,br BRA,MF,it Napoli,27,1991,5.7,39,22,15,24,0,11,34,32.4,23,6,0,6,5,44,4,1,Matches
23,Dele Alli,eng ENG,MF,eng Tottenham,22,1996,7.9,9,5,3,4,2,3,11,27.3,8,5,1,4,6,15,7,0,Matches
24,André Almeida,pt POR,DF,pt Benfica,27,1990,6.0,16,11,10,6,0,6,13,46.2,7,15,3,12,14,30,22,0,Matches
25,Dani Alves,br BRA,"FW,DF",fr Paris S-G,35,1983,2.3,4,4,3,1,0,1,4,25.0,3,6,1,5,3,7,1,0,Matches
26,Mohamed Aly Camara,gn GUI,DF,ch Young Boys,20,1997,3.9,7,3,6,1,0,5,6,83.3,1,7,6,1,10,17,17,0,Matches
27,Nadiem Amiri,de GER,MF,de Hoffenheim,21,1996,0.3,3,1,3,0,0,1,2,50.0,1,0,0,0,1,4,0,0,Matches
28,Sofyan Amrabat,ma MAR,"DF,MF",be Club Brugge,21,1996,2.0,4,2,3,1,0,4,5,80.0,1,6,1,5,4,8,6,0,Matches
29,Angeliño,es ESP,DF,nl PSV Eindhoven,21,1997,6.0,7,4,4,2,1,5,9,55.6,4,11,7,4,10,17,26,0,Matches
30,Houssem Aouar,dz ALG,"MF,FW",fr Lyon,20,1998,7.0,17,8,9,8,0,6,17,35.3,11,8,4,4,7,24,13,0,Matches
31,Alphonse Areola,fr FRA,GK,fr Paris S-G,25,1993,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
32,Santiago Arias,co COL,"DF,FW",es Atlético Madrid,26,1992,3.8,9,5,9,0,0,5,8,62.5,3,0,0,0,2,11,17,0,Matches
33,Kwadwo Asamoah,gh GHA,DF,it Inter,29,1988,5.8,8,5,4,4,0,1,3,33.3,2,6,2,4,8,16,18,2,Matches
34,Marco Asensio,es ESP,"FW,MF",es Real Madrid,22,1996,3.4,2,2,1,1,0,0,2,0.0,2,0,0,0,5,7,1,0,Matches
35,Roger Assalé,ci CIV,"FW,MF",ch Young Boys,24,1993,4.2,2,2,0,1,1,1,4,25.0,3,4,0,4,2,4,0,1,Matches
36,Serge Aurier,ci CIV,DF,eng Tottenham,25,1992,4.8,8,6,4,4,0,1,7,14.3,6,8,1,7,9,17,14,0,Matches
37,Chidozie Awaziem,ng NGA,MF,pt Porto,21,1997,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
38,Serdar Aziz,tr TUR,DF,tr Galatasaray,27,1990,4.0,7,4,6,1,0,3,4,75.0,1,3,2,1,3,10,24,0,Matches
39,Srđan Babić,rs SRB,DF,rs Red Star,22,1996,2.5,1,1,1,0,0,1,3,33.3,2,2,0,2,5,6,11,1,Matches
40,Benoît Badiashile,fr FRA,DF,fr Monaco,17,2001,2.0,2,2,2,0,0,2,2,100.0,0,4,2,2,0,2,10,1,Matches
41,Loic Badiashile,fr FRA,GK,fr Monaco,20,1998,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
42,Eric Bailly,ci CIV,DF,eng Manchester Utd,24,1994,3.4,5,3,1,4,0,3,5,60.0,2,2,0,2,5,10,18,0,Matches
43,Michalis Bakakis,gr GRE,"DF,FW",gr AEK Athens,27,1991,5.8,10,8,3,5,2,4,11,36.4,7,4,1,3,13,23,23,0,Matches
44,Anastasios Bakasetas,gr GRE,FW,gr AEK Athens,25,1993,2.0,9,8,6,1,2,1,3,33.3,2,3,0,3,1,10,1,0,Matches
45,Keita Baldé,sn SEN,"FW,MF",it Inter,23,1995,0.8,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,Matches
46,Gareth Bale,wls WAL,FW,es Real Madrid,29,1989,5.4,2,0,1,1,0,1,5,20.0,4,2,0,2,5,7,2,0,Matches
47,David von Ballmoos,ch SUI,GK,ch Young Boys,23,1994,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,Matches
48,Dmitri Barinov,ru RUS,MF,ru Loko Moscow,21,1996,3.2,9,4,5,2,2,3,8,37.5,5,7,2,5,10,19,9,0,Matches
49,Vasilios Barkas,gr GRE,GK,gr AEK Athens,24,1994,6.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,Matches
50,Antonio Barreca,it ITA,DF,fr Monaco,23,1995,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
51,Andrea Barzagli,it ITA,DF,it Juventus,37,1981,1.2,2,1,1,1,0,2,3,66.7,1,0,0,0,1,3,2,0,Matches
52,Michy Batshuayi,be BEL,FW,es Valencia,24,1993,3.8,3,2,0,2,1,0,1,0.0,1,3,0,3,1,4,1,0,Matches
53,Oliver Baumann,de GER,GK,de Hoffenheim,28,1990,6.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0,Matches
54,Ömer Bayram,tr TUR,DF,tr Galatasaray,27,1991,0.6,3,1,2,1,0,1,2,50.0,1,0,0,0,0,3,0,0,Matches
55,Riechedly Bazoer,nl NED,MF,pt Porto,21,1996,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
56,Rodrigo Becão,br BRA,DF,ru CSKA Moscow,22,1996,6.0,11,8,9,1,1,5,12,41.7,7,9,6,3,10,21,25,0,Matches
57,Donny van de Beek,nl NED,MF,nl Ajax,21,1997,10.9,26,17,4,17,5,8,16,50.0,8,14,1,13,14,40,8,0,Matches
58,Ishak Belfodil,dz ALG,"FW,MF",de Hoffenheim,26,1992,3.8,5,4,2,1,2,2,3,66.7,1,1,0,1,1,6,1,0,Matches
59,Younès Belhanda,ma MAR,MF,tr Galatasaray,28,1990,3.6,6,5,0,6,0,0,5,0.0,5,6,1,5,2,8,1,0,Matches
