Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial_Duels_Won,Aerial_Duels_Lost,Aerial_Duels_Won%,Matches
1,Tammy Abraham,eng ENG,FW,eng Chelsea,21,1997,6.3,0,0,0,13,4,6,2,1,2,0,0,1,10,22,10,68.8,Matches
2,Tyler Adams,us USA,"MF,DF",de RB Leipzig,20,1999,0.9,0,0,0,4,1,0,1,0,0,0,0,0,5,0,1,0.0,Matches
3,Arijan Ademi,mk MKD,"MF,DF",hr Dinamo Zagreb,28,1991,5.7,3,0,0,10,3,3,0,2,2,0,0,0,28,4,3,57.1,Matches
4,Adrián,es ESP,GK,eng Liverpool,32,1987,3.3,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,100.0,Matches
5,Sergio Agüero,ar ARG,FW,eng Manchester City,31,1988,2.2,0,0,0,1,2,0,2,0,0,0,0,0,5,3,2,60.0,Matches
6,Manuel Akanji,ch SUI,DF,de Dortmund,24,1995,5.8,0,0,0,2,6,0,0,9,7,0,0,0,28,8,6,57.1,Matches
7,David Alaba,at AUT,DF,de Bayern Munich,27,1992,7.5,0,0,0,4,2,0,4,6,6,0,0,1,41,7,2,77.8,Matches
8,Lucas Alario,ar ARG,FW,de Leverkusen,26,1992,2.4,0,0,0,5,3,3,0,3,1,0,0,0,8,4,9,30.8,Matches
9,Jordi Alba,es ESP,DF,es Barcelona,30,1989,3.9,2,0,0,1,7,0,5,7,1,0,0,0,20,1,7,12.5,Matches
10,Paco Alcácer,es ESP,FW,de Dortmund,25,1993,1.3,0,0,0,0,0,1,2,4,1,0,0,0,5,0,3,0.0,Matches
11,Thiago Alcántara,es ESP,MF,de Bayern Munich,28,1991,9.1,2,0,0,19,9,0,0,23,23,0,0,0,91,13,4,76.5,Matches
12,Toby Alderweireld,be BEL,DF,eng Tottenham,30,1989,6.0,1,0,0,5,0,0,0,3,3,0,0,0,31,10,11,47.6,Matches
13,Carles Aleñá,es ESP,MF,es Barcelona,21,1998,1.0,0,0,0,1,2,0,3,1,0,0,0,0,4,1,0,100.0,Matches
14,Trent Alexander-Arnold,eng ENG,DF,eng Liverpool,20,1998,6.5,1,0,0,4,2,0,77,7,11,0,0,0,45,3,10,23.1,Matches
15,Alisson,br BRA,GK,eng Liverpool,26,1992,5.0,0,0,0,0,0,0,0,0,0,0,0,0,19,2,0,100.0,Matches
16,Allan,br BRA,MF,it Napoli,28,1991,4.9,1,0,0,7,8,0,0,4,15,0,0,0,35,2,2,50.0,Matches
17,Dele Alli,eng ENG,"MF,FW",eng Tottenham,23,1996,5.7,1,0,0,10,13,2,4,5,4,0,0,0,26,6,10,37.5,Matches
18,André Almeida,pt POR,DF,pt Benfica,28,1990,1.0,0,0,0,3,2,0,0,1,1,0,0,0,3,2,6,25.0,Matches
19,Marcos Alonso,es ESP,DF,eng Chelsea,28,1990,4.4,0,1,0,10,6,0,10,6,4,0,0,0,30,18,3,85.7,Matches
20,Éder Álvarez Balanta,co COL,MF,be Club Brugge,26,1993,3.2,2,0,0,7,1,2,0,6,5,0,0,0,28,3,5,37.5,Matches
21,Edson Álvarez,mx MEX,MF,nl Ajax,21,1997,4.2,1,0,0,8,6,0,2,5,9,0,1,0,18,11,8,57.9,Matches
22,Nadiem Amiri,de GER,"FW,MF",de Leverkusen,22,1996,2.6,0,1,0,2,7,0,9,1,5,0,0,0,22,1,2,33.3,Matches
23,Ethan Ampadu,wls WAL,DF,de RB Leipzig,18,2000,2.0,0,0,0,0,1,1,0,4,1,0,0,0,4,2,4,33.3,Matches
24,Joachim Andersen,dk DEN,DF,fr Lyon,23,1996,4.4,1,0,0,3,1,0,0,7,2,0,0,0,32,10,8,55.6,Matches
25,Florin Andone,ro ROU,FW,tr Galatasaray,26,1993,1.8,0,0,0,3,2,2,0,0,1,0,0,0,4,6,9,40.0,Matches
26,Benjamin André,fr FRA,MF,fr Lille,28,1990,4.5,1,0,0,12,7,0,6,11,12,0,0,0,32,13,13,50.0,Matches
27,Miguel Ángel Guerrero,es ESP,FW,gr Olympiacos,29,1990,3.5,1,0,0,8,1,1,1,0,1,0,0,0,3,10,15,40.0,Matches
28,Angeliño,es ESP,"DF,MF",de RB Leipzig,22,1997,4.0,0,0,0,3,2,0,24,5,2,0,0,0,18,1,5,16.7,Matches
29,Angeliño,es ESP,DF,eng Manchester City,22,1997,1.0,0,0,0,0,1,0,2,1,2,0,0,0,2,2,1,66.7,Matches
30,Marcos Antônio,br BRA,MF,ua Shakhtar,19,2000,0.3,0,0,0,0,2,0,0,2,1,0,0,0,2,1,1,50.0,Matches
31,Houssem Aouar,dz ALG,"MF,FW",fr Lyon,21,1998,7.9,1,0,0,9,21,1,10,5,6,1,0,0,50,4,6,40.0,Matches
32,Youssef El-Arabi,ma MAR,FW,gr Olympiacos,32,1987,3.1,1,0,0,6,5,1,0,0,1,0,0,0,4,4,16,20.0,Matches
33,Charles Aránguiz,cl CHI,MF,de Leverkusen,30,1989,4.6,2,0,0,9,9,0,5,1,0,0,0,0,31,3,6,33.3,Matches
34,Luiz Araújo,br BRA,"FW,MF",fr Lille,23,1996,3.1,1,0,0,4,3,0,6,5,2,0,0,0,12,3,5,37.5,Matches
35,Alphonse Areola,fr FRA,GK,es Real Madrid,26,1993,1.5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
36,Santiago Arias,co COL,DF,es Atlético Madrid,27,1992,2.0,0,0,0,1,5,0,8,3,4,0,0,0,14,8,3,72.7,Matches
37,Kepa Arrizabalaga,es ESP,GK,eng Chelsea,24,1994,6.0,1,0,0,0,0,0,0,0,0,0,0,1,7,3,0,100.0,Matches
38,Kwadwo Asamoah,gh GHA,"FW,DF",it Inter,30,1988,2.9,1,0,0,3,5,0,2,1,1,0,0,0,13,3,0,100.0,Matches
39,Marco Asensio,es ESP,FW,es Real Madrid,23,1996,0.3,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,,Matches
40,Majeed Ashimeru,gh GHA,MF,at RB Salzburg,21,1997,0.7,0,0,0,0,1,0,0,0,1,0,0,0,5,0,2,0.0,Matches
