Rk,Player,Nation,Pos,Squad,Age,Born,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty_Kicks_PKatt,Penalty_Kicks_PKA,Penalty_Kicks_PKsv,Penalty_Kicks_PKm,Penalty_Kicks_Save%,Matches
1,Igor Akinfeev,ru RUS,GK,ru CSKA Moscow,28,1986,6,6,540,6.0,13,2.17,36,23,63.9,1,2,3,0,0.0,,,,,,Matches
2,Miguel Ángel Moyá,es ESP,GK,es Atlético Madrid,30,1984,7,7,563,6.3,1,0.16,17,16,94.1,4,2,1,6,85.7,,,,,,Matches
3,Sinan Bolat,tr TUR,GK,tr Galatasaray,25,1988,1,1,90,1.0,4,4.00,6,2,33.3,0,0,1,0,0.0,,,,,,Matches
4,Milan Borjan,ca CAN,GK,bg Ludogorets,26,1987,1,1,90,1.0,1,1.00,8,7,87.5,0,0,1,0,0.0,,,,,,Matches
5,Gianluigi Buffon,it ITA,GK,it Juventus,36,1978,13,13,1170,13.0,10,0.77,49,39,79.6,7,3,3,6,46.2,,,,,,Matches
6,Iker Casillas,es ESP,GK,es Real Madrid,33,1981,10,10,900,10.0,9,0.90,40,31,77.5,6,2,2,5,50.0,,,,,,Matches
7,Petr Čech,cz CZE,GK,eng Chelsea,32,1982,3,3,270,3.0,1,0.33,12,11,91.7,2,1,0,2,66.7,,,,,,Matches
8,Júlio César,br BRA,GK,pt Benfica,34,1979,3,3,270,3.0,3,1.00,17,14,82.4,1,0,2,1,33.3,,,,,,Matches
9,Sergei Chernik,by BLR,GK,by BATE Borisov,26,1988,5,5,450,5.0,21,4.20,40,19,47.5,1,0,4,0,0.0,,,,,,Matches
10,Jasper Cillessen,nl NED,GK,nl Ajax,25,1989,6,6,540,6.0,10,1.67,25,15,60.0,1,2,3,1,16.7,,,,,,Matches
11,Thibaut Courtois,be BEL,GK,eng Chelsea,22,1992,5,5,480,5.3,4,0.75,24,20,83.3,2,3,0,2,40.0,,,,,,Matches
12,Morgan De Sanctis,it ITA,GK,it Roma,37,1977,4,4,360,4.0,11,2.75,25,14,56.0,1,1,2,0,0.0,,,,,,Matches
13,Fabiano,br BRA,GK,pt Porto,26,1988,9,9,810,9.0,11,1.22,27,16,59.3,6,2,1,4,44.4,,,,,,Matches
