Squad,#_Pl,90s,SCA_SCA,SCA_SCA90,SCA_Types_PassLive,SCA_Types_PassDead,SCA_Types_TO,SCA_Types_Sh,SCA_Types_Fld,SCA_Types_Def,GCA_GCA,GCA_GCA90,GCA_Types_PassLive,GCA_Types_PassDead,GCA_Types_TO,GCA_Types_Sh,GCA_Types_Fld,GCA_Types_Def
nl Ajax,19,6.0,,,,,,,,,,,,,,,,
be Anderlecht,21,6.0,,,,,,,,,,,,,,,,
cy APOEL FC,21,6.0,,,,,,,,,,,,,,,,
eng Arsenal,29,8.0,,,,,,,,,,,,,,,,
es Athletic Club,20,6.0,,,,,,,,,,,,,,,,
es Atlético Madrid,23,10.3,,,,,,,,,,,,,,,,
es Barcelona,22,13.0,,,,,,,,,,,,,,,,
ch Basel,23,8.0,,,,,,,,,,,,,,,,
by BATE Borisov,20,6.0,,,,,,,,,,,,,,,,
de Bayern Munich,24,12.0,,,,,,,,,,,,,,,,
pt Benfica,24,6.0,,,,,,,,,,,,,,,,
eng Chelsea,24,8.3,,,,,,,,,,,,,,,,
ru CSKA Moscow,18,6.0,,,,,,,,,,,,,,,,
de Dortmund,24,8.0,,,,,,,,,,,,,,,,
tr Galatasaray,22,6.0,,,,,,,,,,,,,,,,
it Juventus,24,13.0,,,,,,,,,,,,,,,,
de Leverkusen,21,8.3,,,,,,,,,,,,,,,,
eng Liverpool,21,6.0,,,,,,,,,,,,,,,,
bg Ludogorets,19,6.0,,,,,,,,,,,,,,,,
se Malmö,17,6.0,,,,,,,,,,,,,,,,
eng Manchester City,20,8.0,,,,,,,,,,,,,,,,
fr Monaco,22,10.0,,,,,,,,,,,,,,,,
si NK Maribor,17,6.0,,,,,,,,,,,,,,,,
gr Olympiacos,19,6.0,,,,,,,,,,,,,,,,
fr Paris S-G,19,10.3,,,,,,,,,,,,,,,,
pt Porto,23,10.0,,,,,,,,,,,,,,,,
es Real Madrid,23,12.0,,,,,,,,,,,,,,,,
it Roma,20,6.0,,,,,,,,,,,,,,,,
de Schalke 04,26,8.0,,,,,,,,,,,,,,,,
ua Shakhtar,20,8.0,,,,,,,,,,,,,,,,
pt Sporting CP,19,6.0,,,,,,,,,,,,,,,,
ru Zenit,18,6.0,,,,,,,,,,,,,,,,
