Squad,#_Pl,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att_GK,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal_Kicks_Att,Goal_Kicks_Launch%,Goal_Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist
nl Ajax,1,6.0,10,,,,,,,,,,,,,,,,,,,,,,,,
be Anderlecht,2,6.0,10,,,,,,,,,,,,,,,,,,,,,,,,
cy APOEL FC,1,6.0,12,,,,,,,,,,,,,,,,,,,,,,,,
eng Arsenal,3,8.0,11,,,,,,,,,,,,,,,,,,,,,,,,
es Athletic Club,1,6.0,6,,,,,,,,,,,,,,,,,,,,,,,,
es Atlético Madrid,2,10.3,5,,,,,,,,,,,,,,,,,,,,,,,,
es Barcelona,1,13.0,11,,,,,,,,,,,,,,,,,,,,,,,,
ch Basel,1,8.0,13,,,,,,,,,,,,,,,,,,,,,,,,
by BATE Borisov,2,6.0,24,,,,,,,,,,,,,,,,,,,,,,,,
de Bayern Munich,1,12.0,13,,,,,,,,,,,,,,,,,,,,,,,,
pt Benfica,3,6.0,6,,,,,,,,,,,,,,,,,,,,,,,,
eng Chelsea,2,8.3,5,,,,,,,,,,,,,,,,,,,,,,,,
ru CSKA Moscow,1,6.0,13,,,,,,,,,,,,,,,,,,,,,,,,
de Dortmund,2,8.0,9,,,,,,,,,,,,,,,,,,,,,,,,
tr Galatasaray,2,6.0,19,,,,,,,,,,,,,,,,,,,,,,,,
it Juventus,1,13.0,10,,,,,,,,,,,,,,,,,,,,,,,,
de Leverkusen,1,8.3,5,,,,,,,,,,,,,,,,,,,,,,,,
eng Liverpool,1,6.0,9,,,,,,,,,,,,,,,,,,,,,,,,
bg Ludogorets,2,6.0,14,,,,,,,,,,,,,,,,,,,,,,,,
se Malmö,1,6.0,15,,,,,,,,,,,,,,,,,,,,,,,,
eng Manchester City,1,8.0,11,,,,,,,,,,,,,,,,,,,,,,,,
fr Monaco,1,10.0,5,,,,,,,,,,,,,,,,,,,,,,,,
si NK Maribor,1,6.0,13,,,,,,,,,,,,,,,,,,,,,,,,
gr Olympiacos,1,6.0,13,,,,,,,,,,,,,,,,,,,,,,,,
fr Paris S-G,1,10.3,14,,,,,,,,,,,,,,,,,,,,,,,,
pt Porto,2,10.0,12,,,,,,,,,,,,,,,,,,,,,,,,
es Real Madrid,2,12.0,9,,,,,,,,,,,,,,,,,,,,,,,,
it Roma,2,6.0,14,,,,,,,,,,,,,,,,,,,,,,,,
de Schalke 04,2,8.0,19,,,,,,,,,,,,,,,,,,,,,,,,
ua Shakhtar,1,8.0,11,,,,,,,,,,,,,,,,,,,,,,,,
pt Sporting CP,1,6.0,12,,,,,,,,,,,,,,,,,,,,,,,,
ru Zenit,1,6.0,6,,,,,,,,,,,,,,,,,,,,,,,,
