Squad,#_Pl,Age,Poss,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G-PK,Per_90_Minutes_G+A-PK
nl Ajax,19,23.6,54.2,6,66,540,6.0,8,6,14,7,1,1,16,0,1.33,1.00,2.33,1.17,2.17
be Anderlecht,21,23.7,44.3,6,66,540,6.0,8,4,12,7,1,1,11,0,1.33,0.67,2.00,1.17,1.83
cy APOEL FC,21,28.9,32.7,10,66,540,6.0,1,0,1,0,1,1,9,0,0.17,0.00,0.17,0.00,0.00
eng Arsenal,29,25.4,54.3,10,88,720,8.0,18,9,27,17,1,1,14,0,2.25,1.13,3.38,2.12,3.25
es Athletic Club,20,26.9,48.2,8,66,540,6.0,5,5,10,5,0,0,17,0,0.83,0.83,1.67,0.83,1.67
es Atlético Madrid,23,27.4,44.7,10,110,930,10.3,15,10,25,15,0,0,31,0,1.45,0.97,2.42,1.45,2.42
es Barcelona,22,26.8,60.2,13,143,1170,13.0,31,26,57,31,0,1,20,0,2.38,2.00,4.38,2.38,4.38
ch Basel,23,25.1,45.9,8,88,720,8.0,8,6,14,8,0,0,24,0,1.00,0.75,1.75,1.00,1.75
by BATE Borisov,20,25.3,38.3,12,66,540,6.0,2,1,3,2,0,0,11,0,0.33,0.17,0.50,0.33,0.50
de Bayern Munich,24,26.7,60.3,12,132,1080,12.0,33,23,56,29,4,4,25,0,2.75,1.92,4.67,2.42,4.33
pt Benfica,24,27.5,50.3,6,66,540,6.0,2,2,4,2,0,0,16,0,0.33,0.33,0.67,0.33,0.67
eng Chelsea,24,27.1,53.8,8,88,750,8.3,18,12,30,14,4,5,13,0,2.16,1.44,3.60,1.68,3.12
ru CSKA Moscow,18,27.0,36.7,6,66,540,6.0,6,4,10,5,1,1,10,0,1.00,0.67,1.67,0.83,1.50
de Dortmund,24,26.5,51.9,8,88,720,8.0,14,12,26,14,0,0,4,0,1.75,1.50,3.25,1.75,3.25
tr Galatasaray,22,27.7,51.5,6,66,540,6.0,4,2,6,3,1,1,18,0,0.67,0.33,1.00,0.50,0.83
it Juventus,24,29.3,54.0,13,143,1170,13.0,16,11,27,14,2,3,25,0,1.23,0.85,2.08,1.08,1.92
de Leverkusen,21,25.2,51.8,10,88,750,8.3,8,7,15,7,1,1,22,0,0.96,0.84,1.80,0.84,1.68
eng Liverpool,21,25.7,49.2,6,66,540,6.0,5,1,6,4,1,1,8,0,0.83,0.17,1.00,0.67,0.83
bg Ludogorets,19,27.4,48.5,12,66,540,6.0,5,4,9,5,0,0,13,0,0.83,0.67,1.50,0.83,1.50
se Malmö,17,25.1,43.0,12,66,540,6.0,4,2,6,4,0,0,18,0,0.67,0.33,1.00,0.67,1.00
eng Manchester City,20,28.7,49.8,8,88,720,8.0,10,4,14,8,2,3,23,0,1.25,0.50,1.75,1.00,1.50
fr Monaco,22,25.9,46.1,10,110,900,10.0,7,7,14,7,0,0,21,0,0.70,0.70,1.40,0.70,1.40
si NK Maribor,17,27.3,41.5,12,66,540,6.0,3,1,4,3,0,1,12,0,0.50,0.17,0.67,0.50,0.67
gr Olympiacos,19,26.7,47.7,6,66,540,6.0,10,8,18,10,0,0,10,0,1.67,1.33,3.00,1.67,3.00
fr Paris S-G,19,27.2,47.7,10,110,930,10.3,13,11,24,13,0,0,15,0,1.26,1.06,2.32,1.26,2.32
pt Porto,23,24.4,56.3,12,110,900,10.0,25,12,37,22,3,5,21,0,2.50,1.20,3.70,2.20,3.40
es Real Madrid,23,26.4,56.1,12,132,1080,12.0,23,19,42,20,3,4,21,0,1.92,1.58,3.50,1.67,3.25
it Roma,20,28.3,46.8,6,66,540,6.0,7,5,12,7,0,0,6,0,1.17,0.83,2.00,1.17,2.00
de Schalke 04,26,25.6,51.4,8,88,720,8.0,12,8,20,11,1,1,11,0,1.50,1.00,2.50,1.37,2.37
ua Shakhtar,20,27.0,49.1,8,88,720,8.0,15,11,26,12,3,3,20,0,1.87,1.37,3.25,1.50,2.87
pt Sporting CP,19,24.1,49.2,6,66,540,6.0,12,5,17,9,3,3,17,0,2.00,0.83,2.83,1.50,2.33
ru Zenit,18,27.6,52.8,10,66,540,6.0,4,4,8,4,0,0,15,0,0.67,0.67,1.33,0.67,1.33
