Squad,#_Pl,Age,Playing_Time_MP,Playing_Time_Min,Playing_Time_Mn/MP,Playing_Time_Min%,Playing_Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team_Success_PPM,Team_Success_onG,Team_Success_onGA,Team_Success_+/-,Team_Success_+/-90
nl Ajax,19,23.6,6,540,90,100,6.0,66,,,16,0,26,0.83,8,10,-2,-0.33
be Anderlecht,21,23.7,6,540,90,100,6.0,66,,,17,0,25,1.00,8,10,-2,-0.33
cy APOEL FC,21,28.9,10,540,54,100,6.0,66,,,18,0,24,0.90,10,15,-5,-0.83
eng Arsenal,29,25.4,10,720,72,100,8.0,88,,,24,0,33,2.00,19,11,+8,+1.00
es Athletic Club,20,26.9,8,540,68,100,6.0,66,,,18,0,24,1.38,9,8,+1,+0.17
es Atlético Madrid,23,27.4,10,930,93,100,10.3,110,,,25,0,45,1.70,15,5,+10,+0.97
es Barcelona,22,26.8,13,1170,90,100,13.0,143,,,38,0,53,2.54,31,11,+20,+1.54
ch Basel,23,25.1,8,720,90,100,8.0,88,,,24,0,32,1.00,8,13,-5,-0.62
by BATE Borisov,20,25.3,12,540,45,100,6.0,66,,,18,0,24,1.00,10,28,-18,-3.00
de Bayern Munich,24,26.7,12,1080,90,100,12.0,132,,,32,0,51,2.08,33,13,+20,+1.67
pt Benfica,24,27.5,6,540,90,100,6.0,66,,,17,0,25,0.83,2,6,-4,-0.67
eng Chelsea,24,27.1,8,750,94,100,8.3,88,,,24,0,32,2.00,20,6,+14,+1.68
ru CSKA Moscow,18,27.0,6,540,90,100,6.0,66,,,15,0,24,0.83,6,13,-7,-1.17
de Dortmund,24,26.5,8,720,90,100,8.0,88,,,24,0,32,1.63,15,9,+6,+0.75
tr Galatasaray,22,27.7,6,540,90,100,6.0,66,,,16,0,26,0.17,4,19,-15,-2.50
it Juventus,24,29.3,13,1170,90,100,13.0,143,,,35,0,56,1.85,17,10,+7,+0.54
de Leverkusen,21,25.2,10,750,75,100,8.3,88,,,24,0,32,1.90,15,7,+8,+0.96
eng Liverpool,21,25.7,6,540,90,100,6.0,66,,,14,0,28,0.83,5,9,-4,-0.67
bg Ludogorets,19,27.4,12,540,45,100,6.0,66,,,18,0,24,1.08,13,18,-5,-0.83
se Malmö,17,25.1,12,540,45,100,6.0,66,,,15,0,27,1.08,13,21,-8,-1.33
eng Manchester City,20,28.7,8,720,90,100,8.0,88,,,24,0,32,1.00,10,11,-1,-0.12
fr Monaco,22,25.9,10,900,90,100,10.0,110,,,30,0,40,1.50,7,5,+2,+0.20
si NK Maribor,17,27.3,12,540,45,100,6.0,66,,,18,0,24,1.25,11,16,-5,-0.83
gr Olympiacos,19,26.7,6,540,90,100,6.0,66,,,18,0,24,1.50,10,13,-3,-0.50
fr Paris S-G,19,27.2,10,930,93,100,10.3,110,,,24,0,46,1.50,14,15,-1,-0.10
pt Porto,23,24.4,12,900,75,100,10.0,110,,,30,0,40,2.25,28,12,+16,+1.60
es Real Madrid,23,26.4,12,1080,90,100,12.0,132,,,32,0,52,2.17,24,9,+15,+1.25
it Roma,20,28.3,6,540,90,100,6.0,66,,,18,0,24,0.83,8,14,-6,-1.00
de Schalke 04,26,25.6,8,720,90,100,8.0,88,,,23,0,33,1.38,13,19,-6,-0.75
ua Shakhtar,20,27.0,8,720,90,100,8.0,88,,,23,0,33,1.25,15,11,+4,+0.50
pt Sporting CP,19,24.1,6,540,90,100,6.0,66,,,18,0,24,1.17,12,12,0,0.00
ru Zenit,18,27.6,10,540,54,100,6.0,66,,,16,0,26,1.60,11,7,+4,+0.67
