Rk,Squad,Comp,#_Pl,Age,Playing_Time_MP,Playing_Time_Min,Playing_Time_Mn/MP,Playing_Time_Min%,Playing_Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team_Success_PPM,Team_Success_onG,Team_Success_onGA,Team_Success_+/-,Team_Success_+/-90,Team_Success_xG_onxG,Team_Success_xG_onxGA,Team_Success_xG_xG+/-,Team_Success_xG_xG+/-90
1,Alavés,es La Liga,26,26.7,38,3420,90,100,38.0,418,85,,113,17,153,1.32,39,50,-11,-0.29,41.1,53.2,-12.1,-0.32
2,Amiens,fr Ligue 1,26,26.5,38,3420,90,100,38.0,418,85,307.0,106,18,160,1.0,31,52,-21,-0.55,35.4,49.8,-14.5,-0.38
3,Angers,fr Ligue 1,24,28.0,38,3420,90,100,38.0,418,84,304.0,110,20,155,1.21,44,49,-5,-0.13,50.7,47.9,2.8,0.07
4,Arsenal,eng Premier League,28,26.7,38,3420,90,100,38.0,418,83,,113,26,153,1.84,73,51,22,0.58,60.1,54.2,5.8,0.15
5,Atalanta,it Serie A,27,26.5,38,3420,90,100,38.0,418,84,308.0,109,22,311,1.82,77,46,31,0.82,72.2,41.1,31.1,0.82
6,Athletic Club,es La Liga,27,27.6,38,3420,90,100,38.0,418,85,,113,19,153,1.39,41,45,-4,-0.11,43.4,45.7,-2.3,-0.06
7,Atlético Madrid,es La Liga,29,26.4,38,3420,90,100,38.0,418,83,,105,26,160,2.0,55,29,26,0.68,47.3,41.9,5.4,0.14
8,Augsburg,de Bundesliga,30,26.5,34,3060,90,100,34.0,374,85,,94,22,144,0.94,51,71,-20,-0.59,45.3,61.1,-15.8,-0.46
9,Barcelona,es La Liga,30,27.7,38,3420,90,100,38.0,418,84,,112,21,154,2.29,90,36,54,1.42,75.8,45.3,30.5,0.8
10,Bayern Munich,de Bundesliga,24,27.4,34,3060,90,100,34.0,374,85,,102,20,133,2.29,88,32,56,1.65,85.6,27.2,58.4,1.72
11,Betis,es La Liga,25,26.7,38,3420,90,100,38.0,418,84,,113,21,153,1.32,44,52,-8,-0.21,47.1,49.4,-2.4,-0.06
12,Bologna,it Serie A,29,27.0,38,3420,90,100,38.0,418,85,301.0,112,19,339,1.16,48,56,-8,-0.21,46.8,49.0,-2.2,-0.06
13,Bordeaux,fr Ligue 1,33,25.3,38,3420,90,100,38.0,418,84,303.0,110,22,156,1.08,34,42,-8,-0.21,39.7,53.5,-13.7,-0.36
14,Bournemouth,eng Premier League,28,26.6,38,3420,90,100,38.0,418,86,,104,17,162,1.18,56,70,-14,-0.37,53.3,57.2,-3.9,-0.1
15,Brighton,eng Premier League,21,27.4,38,3420,90,100,38.0,418,84,,99,22,167,0.95,35,60,-25,-0.66,35.3,59.1,-23.8,-0.63
16,Burnley,eng Premier League,23,28.0,38,3420,90,100,38.0,418,86,,86,18,180,1.05,45,68,-23,-0.61,44.4,62.1,-17.7,-0.46
17,Caen,fr Ligue 1,26,25.8,38,3420,90,100,38.0,418,83,301.0,113,23,153,0.87,29,54,-25,-0.66,31.0,63.8,-32.8,-0.86
18,Cagliari,it Serie A,30,27.9,38,3420,90,100,38.0,418,84,296.0,113,21,310,1.08,36,54,-18,-0.47,42.1,62.1,-20.0,-0.53
19,Cardiff City,eng Premier League,25,27.7,38,3420,90,100,38.0,418,85,,109,18,157,0.89,34,69,-35,-0.92,42.4,61.5,-19.1,-0.5
20,Celta Vigo,es La Liga,28,25.5,38,3420,90,100,38.0,418,85,,110,18,156,1.08,53,62,-9,-0.24,46.5,60.9,-14.4,-0.38
21,Chelsea,eng Premier League,24,27.3,38,3420,90,100,38.0,418,85,,113,20,153,1.89,63,39,24,0.63,58.6,36.4,22.2,0.58
22,Chievo,it Serie A,36,28.3,38,3420,90,100,38.0,418,83,300.0,113,23,327,0.53,25,75,-50,-1.32,36.0,60.3,-24.3,-0.64
23,Crystal Palace,eng Premier League,26,27.4,38,3420,90,100,38.0,418,87,,92,14,174,1.29,51,53,-2,-0.05,47.6,50.1,-2.5,-0.07
24,Dijon,fr Ligue 1,26,27.1,38,3420,90,100,38.0,418,84,299.0,112,20,154,0.89,31,60,-29,-0.76,39.8,58.2,-18.5,-0.49
25,Dortmund,de Bundesliga,23,24.8,34,3060,90,100,34.0,374,85,,100,17,137,2.24,81,44,37,1.09,61.5,39.9,21.5,0.63
26,Düsseldorf,de Bundesliga,24,26.9,34,3060,90,100,34.0,374,85,,97,19,140,1.29,49,65,-16,-0.47,47.1,62.4,-15.3,-0.45
27,Eibar,es La Liga,25,28.5,38,3420,90,100,38.0,418,85,,111,19,154,1.24,46,50,-4,-0.11,54.8,45.9,9.0,0.24
28,Eint Frankfurt,de Bundesliga,30,26.4,34,3060,90,100,34.0,374,84,,93,21,145,1.59,60,48,12,0.35,57.2,50.7,6.6,0.19
29,Empoli,it Serie A,29,26.4,38,3420,90,100,38.0,418,85,311.0,106,21,319,1.0,51,70,-19,-0.5,52.4,63.6,-11.3,-0.3
30,Espanyol,es La Liga,25,27.7,38,3420,90,100,38.0,418,85,,114,18,152,1.39,48,50,-2,-0.05,48.9,53.8,-4.9,-0.13
31,Everton,eng Premier League,23,25.7,38,3420,90,100,38.0,418,85,,111,16,155,1.42,54,46,8,0.21,49.7,45.7,4.0,0.1
32,Fiorentina,it Serie A,27,24.1,38,3420,90,100,38.0,418,84,306.0,109,23,316,1.08,47,45,2,0.05,54.0,41.0,13.0,0.34
33,Freiburg,de Bundesliga,28,25.8,34,3060,90,100,34.0,374,85,,101,20,137,1.06,46,61,-15,-0.44,40.9,61.1,-20.2,-0.6
34,Frosinone,it Serie A,33,26.4,38,3420,90,100,38.0,418,85,306.0,110,20,339,0.66,29,69,-40,-1.05,38.9,62.0,-23.1,-0.61
35,Fulham,eng Premier League,28,26.0,38,3420,90,100,38.0,418,84,,108,22,158,0.68,34,81,-47,-1.24,41.3,68.2,-26.8,-0.71
36,Genoa,it Serie A,31,26.0,38,3420,90,100,38.0,418,83,300.0,112,23,327,1.0,39,57,-18,-0.47,46.9,53.3,-6.4,-0.17
37,Getafe,es La Liga,26,27.5,38,3420,90,100,38.0,418,85,,114,18,152,1.55,48,35,13,0.34,46.2,43.6,2.6,0.07
38,Girona,es La Liga,26,26.6,38,3420,90,100,38.0,418,85,,113,19,153,0.97,37,53,-16,-0.42,43.5,52.7,-9.2,-0.24
39,Gladbach,de Bundesliga,22,26.5,34,3060,90,100,34.0,374,84,,102,20,136,1.62,55,42,13,0.38,52.2,52.3,0.0,0.0
40,Guingamp,fr Ligue 1,30,26.0,38,3420,90,100,38.0,418,84,306.0,107,22,158,0.71,28,68,-40,-1.05,40.4,53.4,-12.9,-0.34
41,Hannover 96,de Bundesliga,32,26.3,34,3060,90,100,34.0,374,84,,97,22,141,0.62,31,71,-40,-1.18,37.2,67.8,-30.6,-0.9
42,Hertha BSC,de Bundesliga,26,25.9,34,3060,90,100,34.0,374,85,,92,20,145,1.26,49,57,-8,-0.24,51.0,61.4,-10.5,-0.31
43,Hoffenheim,de Bundesliga,29,25.5,34,3060,90,100,34.0,374,84,,100,23,138,1.5,70,52,18,0.53,75.9,52.5,23.4,0.69
44,Huddersfield,eng Premier League,31,26.2,38,3420,90,100,38.0,418,84,,107,22,159,0.42,22,76,-54,-1.42,28.8,60.9,-32.2,-0.85
45,Huesca,es La Liga,30,26.7,38,3420,90,100,38.0,418,84,,111,23,155,0.87,43,65,-22,-0.58,50.8,60.2,-9.4,-0.25
46,Inter,it Serie A,23,27.7,38,3420,90,100,38.0,418,85,303.0,114,20,251,1.82,57,33,24,0.63,63.8,38.3,25.6,0.67
47,Juventus,it Serie A,31,28.0,38,3420,90,100,38.0,418,85,315.0,102,20,251,2.37,70,30,40,1.05,60.7,35.8,25.0,0.66
48,Lazio,it Serie A,30,27.9,38,3420,90,100,38.0,418,83,301.0,113,24,328,1.55,56,46,10,0.26,60.4,47.0,13.4,0.35
49,Leganés,es La Liga,29,26.6,38,3420,90,100,38.0,418,85,,112,17,154,1.18,37,43,-6,-0.16,40.6,41.2,-0.6,-0.02
50,Leicester City,eng Premier League,25,25.9,38,3420,90,100,38.0,418,85,,111,18,155,1.37,51,48,3,0.08,52.4,43.7,8.7,0.23
51,Levante,es La Liga,26,26.3,38,3420,90,100,38.0,418,84,,113,20,152,1.16,59,66,-7,-0.18,53.9,76.2,-22.3,-0.59
52,Leverkusen,de Bundesliga,21,25.3,34,3060,90,100,34.0,374,85,,93,22,144,1.71,69,52,17,0.5,58.3,44.0,14.3,0.42
53,Lille,fr Ligue 1,25,24.1,38,3420,90,100,38.0,418,86,302.0,112,16,154,1.97,68,33,35,0.92,59.5,42.1,17.4,0.46
54,Liverpool,eng Premier League,23,26.1,38,3420,90,100,38.0,418,86,,109,15,157,2.55,89,22,67,1.76,73.7,28.8,44.9,1.18
55,Lyon,fr Ligue 1,25,24.4,38,3420,90,100,38.0,418,85,309.0,108,20,158,1.89,70,47,23,0.61,73.7,43.9,29.8,0.78
56,Mainz 05,de Bundesliga,28,24.2,34,3060,90,100,34.0,374,85,,102,20,136,1.26,46,57,-11,-0.32,51.2,59.2,-8.0,-0.24
57,Manchester City,eng Premier League,21,26.7,38,3420,90,100,38.0,418,86,,108,17,158,2.58,95,23,72,1.89,84.3,24.7,59.6,1.57
58,Manchester Utd,eng Premier League,28,26.3,38,3420,90,100,38.0,418,85,,112,20,154,1.74,65,54,11,0.29,61.4,50.6,10.8,0.29
59,Marseille,fr Ligue 1,24,26.9,38,3420,90,100,38.0,418,85,301.0,110,18,156,1.61,60,52,8,0.21,52.7,45.6,7.1,0.19
60,Milan,it Serie A,23,24.8,38,3420,90,100,38.0,418,85,309.0,104,20,334,1.79,55,36,19,0.5,48.8,41.2,7.6,0.2
61,Monaco,fr Ligue 1,42,25.6,38,3420,90,100,38.0,418,84,312.0,102,22,163,0.95,38,57,-19,-0.5,47.4,50.2,-2.8,-0.07
62,Montpellier,fr Ligue 1,25,28.0,38,3420,90,100,38.0,418,85,308.0,107,17,156,1.55,53,42,11,0.29,50.1,41.8,8.2,0.22
63,Nantes,fr Ligue 1,33,25.9,38,3420,90,100,38.0,418,86,300.0,112,15,154,1.26,48,48,0,0.0,49.1,47.0,2.1,0.05
64,Napoli,it Serie A,26,27.0,38,3420,90,100,38.0,418,84,300.0,113,23,261,2.08,74,36,38,1.0,61.8,38.2,23.5,0.62
65,Newcastle Utd,eng Premier League,24,26.9,38,3420,90,100,38.0,418,86,,99,17,167,1.18,42,48,-6,-0.16,39.1,53.6,-14.5,-0.38
66,Nice,fr Ligue 1,30,24.2,38,3420,90,100,38.0,418,85,307.0,109,19,157,1.47,30,35,-5,-0.13,46.3,50.0,-3.7,-0.1
67,Nîmes,fr Ligue 1,23,24.1,38,3420,90,100,38.0,418,85,302.0,111,19,155,1.39,57,58,-1,-0.03,50.0,56.5,-6.5,-0.17
