Rk,Squad,Comp,#_Pl,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att_GK,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal_Kicks_Att,Goal_Kicks_Launch%,Goal_Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist
1,Angers,fr Ligue 1,3,38.0,38,,,,,,,,,,,,,,,,,,,,,,,,
2,Arsenal,eng Premier League,2,38.0,36,,,,,,,,,,,,,,,,,,,,,,,,
3,Aston Villa,eng Premier League,2,38.0,76,,,,,,,,,,,,,,,,,,,,,,,,
4,Atalanta,it Serie A,3,38.0,47,,,,,,,,,,,,,,,,,,,,,,,,
5,Athletic Club,es La Liga,2,38.0,45,6.0,,,,,,,,,,,,,,,,,,,,,,,
6,Atlético Madrid,es La Liga,1,38.0,18,1.0,,,,,,,,,,,,,,,,,,,,,,,
7,Augsburg,de Bundesliga,2,34.0,52,,,,,,,,,,,,,,,,,,,,,,,,
8,Barcelona,es La Liga,2,38.0,29,1.0,,,,,,,,,,,,,,,,,,,,,,,
9,Bastia,fr Ligue 1,3,38.0,42,,,,,,,,,,,,,,,,,,,,,,,,
10,Bayern Munich,de Bundesliga,2,34.0,17,,,,,,,,,,,,,,,,,,,,,,,,
11,Betis,es La Liga,2,38.0,52,0.0,,,,,,,,,,,,,,,,,,,,,,,
12,Bologna,it Serie A,2,38.0,45,,,,,,,,,,,,,,,,,,,,,,,,
13,Bordeaux,fr Ligue 1,3,38.0,57,,,,,,,,,,,,,,,,,,,,,,,,
14,Bournemouth,eng Premier League,3,38.0,67,,,,,,,,,,,,,,,,,,,,,,,,
15,Caen,fr Ligue 1,1,38.0,52,,,,,,,,,,,,,,,,,,,,,,,,
16,Carpi,it Serie A,4,38.0,57,,,,,,,,,,,,,,,,,,,,,,,,
17,Celta Vigo,es La Liga,3,38.0,59,3.0,,,,,,,,,,,,,,,,,,,,,,,
18,Chelsea,eng Premier League,2,38.0,53,,,,,,,,,,,,,,,,,,,,,,,,
19,Chievo,it Serie A,2,38.0,45,,,,,,,,,,,,,,,,,,,,,,,,
20,Crystal Palace,eng Premier League,3,38.0,51,,,,,,,,,,,,,,,,,,,,,,,,
21,Darmstadt 98,de Bundesliga,2,34.0,53,,,,,,,,,,,,,,,,,,,,,,,,
22,Dortmund,de Bundesliga,2,34.0,34,,,,,,,,,,,,,,,,,,,,,,,,
23,Eibar,es La Liga,2,38.0,62,3.0,,,,,,,,,,,,,,,,,,,,,,,
24,Eint Frankfurt,de Bundesliga,1,34.0,52,,,,,,,,,,,,,,,,,,,,,,,,
25,Empoli,it Serie A,3,38.0,49,,,,,,,,,,,,,,,,,,,,,,,,
26,Espanyol,es La Liga,2,38.0,74,6.0,,,,,,,,,,,,,,,,,,,,,,,
27,Everton,eng Premier League,2,38.0,55,,,,,,,,,,,,,,,,,,,,,,,,
28,Fiorentina,it Serie A,2,38.0,42,,,,,,,,,,,,,,,,,,,,,,,,
29,Frosinone,it Serie A,3,38.0,76,,,,,,,,,,,,,,,,,,,,,,,,
30,Gazélec Ajaccio,fr Ligue 1,3,38.0,58,,,,,,,,,,,,,,,,,,,,,,,,
31,Genoa,it Serie A,2,38.0,48,,,,,,,,,,,,,,,,,,,,,,,,
32,Getafe,es La Liga,1,38.0,67,8.0,,,,,,,,,,,,,,,,,,,,,,,
33,Gladbach,de Bundesliga,2,34.0,50,,,,,,,,,,,,,,,,,,,,,,,,
34,Granada,es La Liga,2,38.0,69,4.0,,,,,,,,,,,,,,,,,,,,,,,
35,Guingamp,fr Ligue 1,2,38.0,56,,,,,,,,,,,,,,,,,,,,,,,,
36,Hamburger SV,de Bundesliga,4,34.0,46,,,,,,,,,,,,,,,,,,,,,,,,
37,Hannover 96,de Bundesliga,1,34.0,62,,,,,,,,,,,,,,,,,,,,,,,,
38,Hellas Verona,it Serie A,3,38.0,63,,,,,,,,,,,,,,,,,,,,,,,,
39,Hertha BSC,de Bundesliga,2,34.0,43,,,,,,,,,,,,,,,,,,,,,,,,
40,Hoffenheim,de Bundesliga,2,34.0,54,,,,,,,,,,,,,,,,,,,,,,,,
41,Ingolstadt 04,de Bundesliga,2,34.0,42,,,,,,,,,,,,,,,,,,,,,,,,
42,Inter,it Serie A,3,38.0,38,,,,,,,,,,,,,,,,,,,,,,,,
43,Juventus,it Serie A,2,38.0,20,,,,,,,,,,,,,,,,,,,,,,,,
44,Köln,de Bundesliga,2,34.0,42,,,,,,,,,,,,,,,,,,,,,,,,
45,La Coruña,es La Liga,3,38.0,61,3.0,,,,,,,,,,,,,,,,,,,,,,,
46,Las Palmas,es La Liga,2,38.0,53,3.0,,,,,,,,,,,,,,,,,,,,,,,
47,Lazio,it Serie A,2,38.0,52,,,,,,,,,,,,,,,,,,,,,,,,
48,Leicester City,eng Premier League,1,38.0,36,,,,,,,,,,,,,,,,,,,,,,,,
49,Levante,es La Liga,2,38.0,70,5.0,,,,,,,,,,,,,,,,,,,,,,,
50,Leverkusen,de Bundesliga,3,34.0,40,,,,,,,,,,,,,,,,,,,,,,,,
51,Lille,fr Ligue 1,2,38.0,27,,,,,,,,,,,,,,,,,,,,,,,,
52,Liverpool,eng Premier League,3,38.0,50,,,,,,,,,,,,,,,,,,,,,,,,
