Squad,#_Pl,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty_Kicks_PKatt,Penalty_Kicks_PKA,Penalty_Kicks_PKsv,Penalty_Kicks_PKm,Penalty_Kicks_Save%
eng Arsenal,2,8,8,720,8.0,15,1.87,49,34,69.4,3,0,5,3,37.5,,,,,
es Atlético Madrid,1,13,13,1230,13.7,8,0.59,61,53,86.9,6,4,3,8,61.5,,,,,
es Barcelona,1,10,10,900,10.0,8,0.80,46,38,82.6,7,2,1,3,30.0,,,,,
by BATE Borisov,1,12,12,540,6.0,12,2.00,45,33,73.3,4,4,4,1,8.3,,,,,
de Bayern Munich,2,12,12,1110,12.3,11,0.89,66,55,83.3,8,2,2,5,41.7,,,,,
pt Benfica,2,10,10,900,10.0,12,1.20,50,38,76.0,5,2,3,2,20.0,,,,,
eng Chelsea,2,8,8,720,8.0,7,0.87,33,26,78.8,4,1,3,4,50.0,,,,,
ru CSKA Moscow,1,10,10,540,6.0,9,1.50,39,30,76.9,3,2,5,0,0.0,,,,,
hr Dinamo Zagreb,1,12,12,540,6.0,14,2.33,44,30,68.2,4,3,5,0,0.0,,,,,
ua Dynamo Kyiv,2,8,8,720,8.0,7,0.87,33,26,78.8,3,3,2,5,62.5,,,,,
kz FC Astana,1,12,12,540,6.0,11,1.83,47,36,76.6,3,6,3,1,8.3,,,,,
tr Galatasaray,1,6,6,540,6.0,10,1.67,48,38,79.2,1,2,3,0,0.0,,,,,
be Gent,1,8,8,720,8.0,11,1.37,36,25,69.4,3,1,4,1,12.5,,,,,
de Gladbach,1,6,6,540,6.0,12,2.00,32,20,62.5,1,2,3,1,16.7,,,,,
it Juventus,1,8,8,750,8.3,9,1.08,36,27,75.0,3,3,2,3,37.5,,,,,
de Leverkusen,1,8,8,540,6.0,12,2.00,40,28,70.0,2,3,3,0,0.0,,,,,
fr Lyon,1,6,6,540,6.0,9,1.50,37,28,75.7,1,1,4,1,16.7,,,,,
il Maccabi Tel Aviv,1,12,12,540,6.0,16,2.67,53,37,69.8,2,2,8,0,0.0,,,,,
se Malmö,1,12,12,540,6.0,21,3.50,54,33,61.1,4,1,7,1,8.3,,,,,
eng Manchester City,2,12,12,1080,12.0,12,1.00,60,48,80.0,6,3,3,3,25.0,,,,,
eng Manchester Utd,1,8,8,540,6.0,7,1.17,28,21,75.0,4,2,2,2,25.0,,,,,
gr Olympiacos,1,6,6,540,6.0,13,2.17,46,33,71.7,3,0,3,1,16.7,,,,,
fr Paris S-G,1,10,10,900,10.0,6,0.60,40,34,85.0,6,2,2,5,50.0,,,,,
pt Porto,1,6,6,540,6.0,8,1.33,34,26,76.5,3,1,2,1,16.7,,,,,
nl PSV Eindhoven,1,8,8,750,8.3,7,0.84,40,33,82.5,3,3,2,4,50.0,,,,,
es Real Madrid,2,13,13,1200,13.3,6,0.45,50,44,88.0,9,3,1,10,76.9,,,,,
it Roma,2,8,8,720,8.0,22,2.75,58,36,62.1,1,3,4,1,12.5,,,,,
es Sevilla,1,6,6,540,6.0,11,1.83,46,35,76.1,2,0,4,2,33.3,,,,,
ua Shakhtar,2,10,10,540,6.0,14,2.33,38,24,63.2,3,2,5,1,10.0,,,,,
es Valencia,1,8,8,540,6.0,9,1.50,33,24,72.7,3,0,5,1,12.5,,,,,
de Wolfsburg,2,10,10,900,10.0,11,1.10,53,42,79.2,7,0,3,5,50.0,,,,,
ru Zenit,2,8,8,720,8.0,9,1.13,40,31,77.5,5,0,3,2,25.0,,,,,
