Squad,#_Pl,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG
eng Arsenal,24,8.0,17,,,84,,,,,,,,
es Atlético Madrid,23,13.7,23,,,156,,,,,,,,
es Barcelona,25,10.0,23,,,112,,,,,,,,
by BATE Borisov,20,6.0,18,,,83,,,,,,,,
de Bayern Munich,23,12.3,20,,,134,,,,,,,,
pt Benfica,25,10.0,29,,,137,,,,,,,,
eng Chelsea,21,8.0,15,,,113,,,,,,,,
ru CSKA Moscow,19,6.0,12,,,57,,,,,,,,
hr Dinamo Zagreb,20,6.0,15,,,69,,,,,,,,
ua Dynamo Kyiv,21,8.0,17,,,132,,,,,,,,
kz FC Astana,21,6.0,11,,,77,,,,,,,,
tr Galatasaray,19,6.0,12,,,71,,,,,,,,
be Gent,18,8.0,18,,,126,,,,,,,,
de Gladbach,21,6.0,11,,,76,,,,,,,,
it Juventus,20,8.3,14,,,105,,,,,,,,
de Leverkusen,18,6.0,12,,,86,,,,,,,,
fr Lyon,21,6.0,15,,,99,,,,,,,,
il Maccabi Tel Aviv,20,6.0,14,,,78,,,,,,,,
se Malmö,19,6.0,14,,,69,,,,,,,,
eng Manchester City,22,12.0,15,,,156,,,,,,,,
eng Manchester Utd,23,6.0,11,,,76,,,,,,,,
gr Olympiacos,18,6.0,12,,,66,,,,,,,,
fr Paris S-G,21,10.0,22,,,115,,,,,,,,
pt Porto,18,6.0,13,,,88,,,,,,,,
nl PSV Eindhoven,22,8.3,22,,,99,,,,,,,,
es Real Madrid,22,13.3,24,,,142,,,,,,,,
it Roma,24,8.0,10,,,90,,,,,,,,
es Sevilla,19,6.0,7,,,56,,,,,,,,
ua Shakhtar,22,6.0,17,,,68,,,,,,,,
es Valencia,22,6.0,19,,,87,,,,,,,,
de Wolfsburg,22,10.0,18,,,104,,,,,,,,
ru Zenit,24,8.0,27,,,125,,,,,,,,
