Squad,#_Pl,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att_GK,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal_Kicks_Att,Goal_Kicks_Launch%,Goal_Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist
eng Arsenal,2,8.0,15,,,,,,,,,,,,,,,,,,,,,,,,
es Atlético Madrid,1,13.7,8,,,,,,,,,,,,,,,,,,,,,,,,
es Barcelona,1,10.0,8,,,,,,,,,,,,,,,,,,,,,,,,
by BATE Borisov,1,6.0,12,,,,,,,,,,,,,,,,,,,,,,,,
de Bayern Munich,2,12.3,11,,,,,,,,,,,,,,,,,,,,,,,,
pt Benfica,2,10.0,12,,,,,,,,,,,,,,,,,,,,,,,,
eng Chelsea,2,8.0,7,,,,,,,,,,,,,,,,,,,,,,,,
ru CSKA Moscow,1,6.0,9,,,,,,,,,,,,,,,,,,,,,,,,
hr Dinamo Zagreb,1,6.0,14,,,,,,,,,,,,,,,,,,,,,,,,
ua Dynamo Kyiv,2,8.0,7,,,,,,,,,,,,,,,,,,,,,,,,
kz FC Astana,1,6.0,11,,,,,,,,,,,,,,,,,,,,,,,,
tr Galatasaray,1,6.0,10,,,,,,,,,,,,,,,,,,,,,,,,
be Gent,1,8.0,11,,,,,,,,,,,,,,,,,,,,,,,,
de Gladbach,1,6.0,12,,,,,,,,,,,,,,,,,,,,,,,,
it Juventus,1,8.3,9,,,,,,,,,,,,,,,,,,,,,,,,
de Leverkusen,1,6.0,12,,,,,,,,,,,,,,,,,,,,,,,,
fr Lyon,1,6.0,9,,,,,,,,,,,,,,,,,,,,,,,,
il Maccabi Tel Aviv,1,6.0,16,,,,,,,,,,,,,,,,,,,,,,,,
se Malmö,1,6.0,21,,,,,,,,,,,,,,,,,,,,,,,,
eng Manchester City,2,12.0,12,,,,,,,,,,,,,,,,,,,,,,,,
eng Manchester Utd,1,6.0,7,,,,,,,,,,,,,,,,,,,,,,,,
gr Olympiacos,1,6.0,13,,,,,,,,,,,,,,,,,,,,,,,,
fr Paris S-G,1,10.0,6,,,,,,,,,,,,,,,,,,,,,,,,
pt Porto,1,6.0,8,,,,,,,,,,,,,,,,,,,,,,,,
nl PSV Eindhoven,1,8.3,7,,,,,,,,,,,,,,,,,,,,,,,,
es Real Madrid,2,13.3,6,,,,,,,,,,,,,,,,,,,,,,,,
it Roma,2,8.0,22,,,,,,,,,,,,,,,,,,,,,,,,
es Sevilla,1,6.0,11,,,,,,,,,,,,,,,,,,,,,,,,
ua Shakhtar,2,6.0,14,,,,,,,,,,,,,,,,,,,,,,,,
es Valencia,1,6.0,9,,,,,,,,,,,,,,,,,,,,,,,,
de Wolfsburg,2,10.0,11,,,,,,,,,,,,,,,,,,,,,,,,
ru Zenit,2,8.0,9,,,,,,,,,,,,,,,,,,,,,,,,
