Squad,#_Pl,Age,Poss,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G-PK,Per_90_Minutes_G+A-PK
eng Arsenal,24,27.2,45.4,8,88,720,8.0,13,12,25,12,1,1,17,,1.62,1.50,3.12,1.50,3.00
es Atlético Madrid,23,26.3,46.3,13,143,1230,13.7,16,13,29,15,1,1,23,,1.17,0.95,2.12,1.10,2.05
es Barcelona,25,27.1,65.3,10,112,900,10.0,22,17,39,20,2,2,23,,2.20,1.70,3.90,2.00,3.70
by BATE Borisov,20,26.2,38.5,12,66,540,6.0,5,5,10,5,0,0,18,,0.83,0.83,1.67,0.83,1.67
de Bayern Munich,23,26.8,67.4,12,132,1110,12.3,30,21,51,29,1,0,20,,2.43,1.70,4.14,2.35,4.05
pt Benfica,25,26.6,49.8,10,110,900,10.0,15,12,27,15,0,0,29,,1.50,1.20,2.70,1.50,2.70
eng Chelsea,21,26.6,49.5,8,88,720,8.0,13,7,20,12,1,2,15,,1.62,0.87,2.50,1.50,2.37
ru CSKA Moscow,19,28.0,39.2,10,66,540,6.0,5,3,8,2,3,4,12,,0.83,0.50,1.33,0.33,0.83
hr Dinamo Zagreb,20,26.3,41.8,12,66,540,6.0,3,2,5,3,0,0,15,,0.50,0.33,0.83,0.50,0.83
ua Dynamo Kyiv,21,27.2,52.3,8,88,720,8.0,9,4,13,8,1,1,17,,1.13,0.50,1.62,1.00,1.50
kz FC Astana,21,26.9,43.0,12,66,540,6.0,3,3,6,3,0,0,11,,0.50,0.50,1.00,0.50,1.00
tr Galatasaray,19,29.2,49.5,6,66,540,6.0,5,4,9,4,1,1,12,,0.83,0.67,1.50,0.67,1.33
be Gent,18,25.9,52.0,8,88,720,8.0,10,7,17,9,1,1,18,,1.25,0.87,2.12,1.13,2.00
de Gladbach,21,25.4,48.3,6,66,540,6.0,8,8,16,8,0,1,11,,1.33,1.33,2.67,1.33,2.67
it Juventus,20,28.7,43.0,8,88,750,8.3,10,7,17,10,0,0,14,,1.20,0.84,2.04,1.20,2.04
de Leverkusen,18,24.1,52.7,8,66,540,6.0,13,9,22,11,2,2,12,,2.17,1.50,3.67,1.83,3.33
fr Lyon,21,25.9,51.5,6,66,540,6.0,5,5,10,5,0,1,15,,0.83,0.83,1.67,0.83,1.67
il Maccabi Tel Aviv,20,26.8,43.0,12,66,540,6.0,1,0,1,0,1,1,14,,0.17,0.00,0.17,0.00,0.00
se Malmö,19,26.8,34.8,12,66,540,6.0,1,1,2,1,0,2,14,,0.17,0.17,0.33,0.17,0.33
eng Manchester City,22,28.4,47.8,12,132,1080,12.0,16,13,29,15,1,1,15,,1.33,1.08,2.42,1.25,2.33
eng Manchester Utd,23,25.6,60.5,8,66,540,6.0,6,5,11,5,1,1,11,,1.00,0.83,1.83,0.83,1.67
gr Olympiacos,18,25.9,42.8,6,66,540,6.0,5,5,10,5,0,1,12,,0.83,0.83,1.67,0.83,1.67
fr Paris S-G,21,27.9,59.8,10,110,900,10.0,17,15,32,17,0,1,22,,1.70,1.50,3.20,1.70,3.20
pt Porto,18,25.9,52.7,6,66,540,6.0,9,7,16,9,0,0,13,,1.50,1.17,2.67,1.50,2.67
nl PSV Eindhoven,22,24.1,48.5,8,88,750,8.3,8,8,16,8,0,1,22,,0.96,0.96,1.92,0.96,1.92
es Real Madrid,22,26.7,53.9,13,143,1200,13.3,27,17,44,25,2,0,24,,2.03,1.27,3.30,1.87,3.15
it Roma,24,26.0,43.8,8,88,720,8.0,11,8,19,10,1,2,10,,1.37,1.00,2.37,1.25,2.25
es Sevilla,19,27.0,53.5,6,66,540,6.0,8,4,12,5,3,4,7,,1.33,0.67,2.00,0.83,1.50
ua Shakhtar,22,27.5,55.2,10,66,540,6.0,7,4,11,5,2,2,17,,1.17,0.67,1.83,0.83,1.50
es Valencia,22,24.6,51.7,8,66,540,6.0,3,2,5,3,0,0,19,,0.50,0.33,0.83,0.50,0.83
de Wolfsburg,22,27.0,48.3,10,110,900,10.0,14,10,24,13,1,1,18,,1.40,1.00,2.40,1.30,2.30
ru Zenit,24,28.4,45.6,8,88,720,8.0,14,13,27,14,0,0,27,,1.75,1.62,3.38,1.75,3.38
