Squad,#_Pl,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err
eng Arsenal,24,8.0,,,,,,,,,,,,,,,,
es Atlético Madrid,23,13.7,,,,,,,,,,,,,,,,
es Barcelona,25,10.0,,,,,,,,,,,,,,,,
by BATE Borisov,20,6.0,,,,,,,,,,,,,,,,
de Bayern Munich,23,12.3,,,,,,,,,,,,,,,,
pt Benfica,25,10.0,,,,,,,,,,,,,,,,
eng Chelsea,21,8.0,,,,,,,,,,,,,,,,
ru CSKA Moscow,19,6.0,,,,,,,,,,,,,,,,
hr Dinamo Zagreb,20,6.0,,,,,,,,,,,,,,,,
ua Dynamo Kyiv,21,8.0,,,,,,,,,,,,,,,,
kz FC Astana,21,6.0,,,,,,,,,,,,,,,,
tr Galatasaray,19,6.0,,,,,,,,,,,,,,,,
be Gent,18,8.0,,,,,,,,,,,,,,,,
de Gladbach,21,6.0,,,,,,,,,,,,,,,,
it Juventus,20,8.3,,,,,,,,,,,,,,,,
de Leverkusen,18,6.0,,,,,,,,,,,,,,,,
fr Lyon,21,6.0,,,,,,,,,,,,,,,,
il Maccabi Tel Aviv,20,6.0,,,,,,,,,,,,,,,,
se Malmö,19,6.0,,,,,,,,,,,,,,,,
eng Manchester City,22,12.0,,,,,,,,,,,,,,,,
eng Manchester Utd,23,6.0,,,,,,,,,,,,,,,,
gr Olympiacos,18,6.0,,,,,,,,,,,,,,,,
fr Paris S-G,21,10.0,,,,,,,,,,,,,,,,
pt Porto,18,6.0,,,,,,,,,,,,,,,,
nl PSV Eindhoven,22,8.3,,,,,,,,,,,,,,,,
es Real Madrid,22,13.3,,,,,,,,,,,,,,,,
it Roma,24,8.0,,,,,,,,,,,,,,,,
es Sevilla,19,6.0,,,,,,,,,,,,,,,,
ua Shakhtar,22,6.0,,,,,,,,,,,,,,,,
es Valencia,22,6.0,,,,,,,,,,,,,,,,
de Wolfsburg,22,10.0,,,,,,,,,,,,,,,,
ru Zenit,24,8.0,,,,,,,,,,,,,,,,
