Wk,Day,Date,Time,Home,xG,Score,xG1,Away,Attendance,Venue,Referee,Match_Report,Notes
1.0,Fri,2022-08-05,20:30,Eint Frankfurt,0.9,1–6,4.0,Bayern Munich,51500.0,Deutsche Bank Park,Deniz Aytekin,Match Report,
1.0,Sat,2022-08-06,15:30,Bochum,0.9,1–2,1.4,Mainz 05,24110.0,Vonovia Ruhrstadion,Felix Zwayer,Match Report,
1.0,Sat,2022-08-06,15:30,Augsburg,0.7,0–4,1.2,Freiburg,25310.0,WWK Arena,Bastian Dankert,Match Report,
1.0,Sat,2022-08-06,15:30,Gladbach,1.9,3–1,0.1,Hoffenheim,49659.0,Stadion im Borussia-Park,Daniel Siebert,Match Report,
1.0,Sat,2022-08-06,15:30,Union Berlin,1.0,3–1,0.3,Hertha BSC,22012.0,Stadion An der Alten Försterei,Marco Fritz,Match Report,
1.0,Sat,2022-08-06,15:30,Wolfsburg,1.0,2–2,0.8,Werder Bremen,28015.0,Volkswagen Arena,Sascha Stegemann,Match Report,
1.0,Sat,2022-08-06,18:30,Dortmund,1.8,1–0,1.3,Leverkusen,81365.0,Signal Iduna Park,Felix Brych,Match Report,
1.0,Sun,2022-08-07,15:30,Stuttgart,0.8,1–1,1.6,RB Leipzig,46000.0,Mercedes-Benz Arena,Tobias Stieler,Match Report,
1.0,Sun,2022-08-07,17:30,Köln,4.1,3–1,0.2,Schalke 04,50000.0,RheinEnergieSTADION,Robert Schröder,Match Report,
,,,,,,,,,,,,,
2.0,Fri,2022-08-12,20:30,Freiburg,1.0,1–3,1.1,Dortmund,34700.0,Europa-Park Stadion,Tobias Welz,Match Report,
2.0,Sat,2022-08-13,15:30,Leverkusen,2.5,1–2,0.4,Augsburg,22903.0,BayArena,Benjamin Cortus,Match Report,
2.0,Sat,2022-08-13,15:30,Hoffenheim,2.6,3–2,1.5,Bochum,17005.0,PreZero Arena,Patrick Ittrich,Match Report,
2.0,Sat,2022-08-13,15:30,Werder Bremen,0.5,2–2,1.4,Stuttgart,41000.0,Wohninvest Weserstadion,Robert Hartmann,Match Report,
2.0,Sat,2022-08-13,15:30,RB Leipzig,1.0,2–2,1.5,Köln,49579.0,Red Bull Arena,Benjamin Brand,Match Report,
2.0,Sat,2022-08-13,15:30,Hertha BSC,1.7,1–1,1.6,Eint Frankfurt,45000.0,Olympiastadion Berlin,Frank Willenborg,Match Report,
2.0,Sat,2022-08-13,18:30,Schalke 04,1.4,2–2,1.3,Gladbach,62271.0,Veltins-Arena,Sven Jablonski,Match Report,
2.0,Sun,2022-08-14,15:30,Mainz 05,0.7,0–0,0.4,Union Berlin,25009.0,Mewa Arena,Daniel Schlager,Match Report,
2.0,Sun,2022-08-14,17:30,Bayern Munich,2.0,2–0,0.5,Wolfsburg,75000.0,Allianz Arena,Harm Osmers,Match Report,
,,,,,,,,,,,,,
3.0,Fri,2022-08-19,20:30,Gladbach,2.7,1–0,1.0,Hertha BSC,48411.0,Stadion im Borussia-Park,Matthias Jöllenbeck,Match Report,
3.0,Sat,2022-08-20,15:30,Leverkusen,1.2,0–3,1.5,Hoffenheim,26300.0,BayArena,Tobias Reichel,Match Report,
3.0,Sat,2022-08-20,15:30,Wolfsburg,1.3,0–0,1.1,Schalke 04,26959.0,Volkswagen Arena,Felix Zwayer,Match Report,
3.0,Sat,2022-08-20,15:30,Stuttgart,0.9,0–1,0.6,Freiburg,47500.0,Mercedes-Benz Arena,Felix Brych,Match Report,
3.0,Sat,2022-08-20,15:30,Augsburg,0.5,1–2,2.1,Mainz 05,23755.0,WWK Arena,Sascha Stegemann,Match Report,
3.0,Sat,2022-08-20,15:30,Dortmund,0.5,2–3,1.3,Werder Bremen,81365.0,Signal Iduna Park,Florian Badstübner,Match Report,
3.0,Sat,2022-08-20,18:30,Union Berlin,0.7,2–1,0.9,RB Leipzig,21056.0,Stadion An der Alten Försterei,Deniz Aytekin,Match Report,
3.0,Sun,2022-08-21,15:30,Eint Frankfurt,0.9,1–1,0.3,Köln,50800.0,Deutsche Bank Park,Martin Petersen,Match Report,
3.0,Sun,2022-08-21,17:30,Bochum,0.7,0–7,2.9,Bayern Munich,26000.0,Vonovia Ruhrstadion,Daniel Siebert,Match Report,
,,,,,,,,,,,,,
4.0,Fri,2022-08-26,20:30,Freiburg,3.9,1–0,1.2,Bochum,32800.0,Europa-Park Stadion,Marco Fritz,Match Report,
4.0,Sat,2022-08-27,15:30,Hoffenheim,1.9,1–0,0.6,Augsburg,17206.0,PreZero Arena,Tobias Welz,Match Report,
4.0,Sat,2022-08-27,15:30,RB Leipzig,3.5,2–0,0.5,Wolfsburg,41243.0,Red Bull Arena,Bastian Dankert,Match Report,
4.0,Sat,2022-08-27,15:30,Mainz 05,1.4,0–3,1.9,Leverkusen,28500.0,Mewa Arena,Christian Dingert,Match Report,
4.0,Sat,2022-08-27,15:30,Schalke 04,1.9,1–6,1.1,Union Berlin,62271.0,Veltins-Arena,Robert Hartmann,Match Report,
4.0,Sat,2022-08-27,15:30,Hertha BSC,0.5,0–1,2.7,Dortmund,62142.0,Olympiastadion Berlin,Tobias Stieler,Match Report,
4.0,Sat,2022-08-27,18:30,Bayern Munich,2.8,1–1,0.5,Gladbach,75000.0,Allianz Arena,Daniel Schlager,Match Report,
4.0,Sun,2022-08-28,15:30,Köln,0.6,0–0,2.1,Stuttgart,50000.0,RheinEnergieSTADION,Harm Osmers,Match Report,
4.0,Sun,2022-08-28,17:30,Werder Bremen,1.8,3–4,1.8,Eint Frankfurt,41000.0,Wohninvest Weserstadion,Patrick Ittrich,Match Report,
,,,,,,,,,,,,,
5.0,Fri,2022-09-02,20:30,Dortmund,2.0,1–0,0.5,Hoffenheim,79300.0,Signal Iduna Park,Daniel Siebert,Match Report,
5.0,Sat,2022-09-03,15:30,Leverkusen,1.8,2–3,1.9,Freiburg,26853.0,BayArena,Sascha Stegemann,Match Report,
5.0,Sat,2022-09-03,15:30,Wolfsburg,1.0,2–4,2.7,Köln,25654.0,Volkswagen Arena,Matthias Jöllenbeck,Match Report,
5.0,Sat,2022-09-03,15:30,Bochum,0.8,0–2,2.0,Werder Bremen,25800.0,Vonovia Ruhrstadion,Robert Schröder,Match Report,
5.0,Sat,2022-09-03,15:30,Stuttgart,0.6,1–1,2.3,Schalke 04,47500.0,Mercedes-Benz Arena,Florian Badstübner,Match Report,
5.0,Sat,2022-09-03,15:30,Union Berlin,0.3,1–1,1.5,Bayern Munich,22012.0,Stadion An der Alten Försterei,Frank Willenborg,Match Report,
5.0,Sat,2022-09-03,18:30,Eint Frankfurt,3.1,4–0,0.2,RB Leipzig,49700.0,Deutsche Bank Park,Felix Brych,Match Report,
5.0,Sun,2022-09-04,15:30,Augsburg,0.4,0–2,2.1,Hertha BSC,25789.0,WWK Arena,Harm Osmers,Match Report,
5.0,Sun,2022-09-04,17:30,Gladbach,1.2,0–1,0.6,Mainz 05,51210.0,Stadion im Borussia-Park,Deniz Aytekin,Match Report,
,,,,,,,,,,,,,
6.0,Fri,2022-09-09,20:30,Werder Bremen,1.3,0–1,1.0,Augsburg,41000.0,Wohninvest Weserstadion,Martin Petersen,Match Report,
6.0,Sat,2022-09-10,15:30,Eint Frankfurt,0.7,0–1,1.0,Wolfsburg,49000.0,Deutsche Bank Park,Tobias Reichel,Match Report,
