Rk,Squad,Comp,#_Pl,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial_Duels_Won,Aerial_Duels_Lost,Aerial_Duels_Won%
1,Alavés,es La Liga,33,38.0,93,4,3,529,455,72,758,376,324,6,9,0,1910,869,674,56.3
2,Angers,fr Ligue 1,30,38.0,70,4,3,471,461,46,572,423,370,7,5,3,2051,408,509,44.5
3,Arminia,de Bundesliga,26,34.0,55,2,1,433,307,54,487,421,311,2,7,2,1907,658,734,47.3
4,Arsenal,eng Premier League,27,38.0,67,4,3,365,357,66,633,296,311,6,6,1,1861,463,572,44.7
5,Aston Villa,eng Premier League,31,38.0,81,2,1,401,504,52,670,339,382,2,6,2,1850,538,561,49.0
6,Atalanta,it Serie A,32,38.0,87,2,1,513,454,68,661,441,341,3,6,3,2292,685,518,56.9
7,Athletic Club,es La Liga,26,38.0,90,4,3,487,483,89,798,339,292,5,3,1,2098,585,572,50.6
8,Atlético Madrid,es La Liga,26,38.0,111,7,3,473,503,85,703,365,346,4,8,3,2002,559,539,50.9
9,Augsburg,de Bundesliga,26,34.0,74,0,0,448,357,73,592,363,335,4,5,2,1927,557,604,48.0
10,Barcelona,es La Liga,38,38.0,97,5,3,499,489,99,798,325,331,6,3,0,2066,454,410,52.5
11,Bayern Munich,de Bundesliga,30,34.0,36,2,0,305,354,76,656,349,338,1,2,1,2220,422,394,51.7
12,Betis,es La Liga,31,38.0,87,6,1,485,470,71,547,361,392,4,3,2,1908,505,511,49.7
13,Bochum,de Bundesliga,28,34.0,55,2,0,424,391,75,600,429,353,4,8,4,2088,609,599,50.4
14,Bologna,it Serie A,36,38.0,92,7,4,443,497,56,601,370,298,3,9,2,1972,492,520,48.6
15,Bordeaux,fr Ligue 1,39,38.0,91,5,2,460,391,58,611,454,377,2,9,3,2134,488,506,49.1
16,Brentford,eng Premier League,29,38.0,65,3,2,371,363,66,640,393,342,6,5,2,2061,717,728,49.6
17,Brest,fr Ligue 1,25,38.0,59,2,0,427,417,47,710,469,400,4,4,2,2006,618,540,53.4
18,Brighton,eng Premier League,26,38.0,72,2,0,393,355,53,728,358,403,4,4,0,2154,569,498,53.3
19,Burnley,eng Premier League,23,38.0,68,2,0,394,332,101,747,410,324,2,5,2,2027,827,733,53.0
20,Cádiz,es La Liga,33,38.0,105,3,3,488,449,69,865,413,380,5,13,0,2077,601,693,46.4
21,Cagliari,it Serie A,33,38.0,96,5,3,549,490,70,675,397,303,3,10,1,1995,696,742,48.4
22,Celta Vigo,es La Liga,25,38.0,87,3,1,507,463,83,768,376,409,3,8,2,2144,603,696,46.4
23,Chelsea,eng Premier League,26,38.0,63,1,0,409,392,69,745,347,348,8,6,1,2084,538,486,52.5
24,Clermont Foot,fr Ligue 1,28,38.0,65,8,3,387,482,53,713,386,361,2,5,3,2137,432,466,48.1
25,Crystal Palace,eng Premier League,24,38.0,69,1,1,414,481,63,643,333,374,6,4,2,2103,610,618,49.7
26,Dortmund,de Bundesliga,33,34.0,63,1,1,362,398,73,491,347,322,6,6,2,2052,419,363,53.6
27,Eint Frankfurt,de Bundesliga,27,34.0,61,1,1,422,299,53,697,377,330,1,4,1,2251,552,644,46.2
28,Elche,es La Liga,28,38.0,104,6,1,518,471,74,720,305,325,1,10,0,1982,527,515,50.6
29,Empoli,it Serie A,28,38.0,87,5,3,506,463,83,704,352,327,6,10,6,1998,427,549,43.8
30,Espanyol,es La Liga,34,38.0,99,7,3,440,516,70,627,326,338,3,5,2,1736,447,574,43.8
31,Everton,eng Premier League,33,38.0,82,6,2,368,388,53,653,365,402,7,2,5,2023,634,725,46.7
32,Fiorentina,it Serie A,28,38.0,89,8,6,464,565,57,776,244,301,8,5,2,1885,469,456,50.7
33,Freiburg,de Bundesliga,26,34.0,34,0,0,392,375,58,633,355,299,4,2,1,1920,675,638,51.4
34,Genoa,it Serie A,40,38.0,92,3,2,566,499,72,661,449,416,4,5,2,2228,635,743,46.1
35,Getafe,es La Liga,31,38.0,121,8,1,559,481,53,621,401,360,1,4,1,1924,721,717,50.1
36,Gladbach,de Bundesliga,26,34.0,67,1,0,359,472,73,440,326,345,6,5,0,1850,464,419,52.5
37,Granada,es La Liga,32,38.0,105,4,1,477,466,62,691,326,343,2,9,2,1867,602,743,44.8
38,Greuther Fürth,de Bundesliga,29,34.0,61,0,0,437,434,69,478,374,336,3,6,5,1878,468,602,43.7
39,Hellas Verona,it Serie A,31,38.0,100,7,5,560,429,97,593,392,308,6,4,2,2413,689,733,48.5
40,Hertha BSC,de Bundesliga,36,34.0,62,2,0,421,430,73,505,406,321,3,8,0,1830,556,575,49.2
41,Hoffenheim,de Bundesliga,32,34.0,75,0,0,429,348,70,703,285,291,0,4,1,1905,485,574,45.8
42,Inter,it Serie A,27,38.0,71,0,0,466,412,57,809,332,332,7,4,1,2004,549,476,53.6
43,Juventus,it Serie A,32,38.0,77,2,1,508,503,74,550,332,316,5,7,1,2008,550,440,55.6
44,Köln,de Bundesliga,26,34.0,68,1,1,419,459,67,829,426,361,1,1,2,2137,597,590,50.3
45,Lazio,it Serie A,27,38.0,88,5,3,441,450,44,574,315,339,6,6,1,1941,411,427,49.0
46,Leeds United,eng Premier League,29,38.0,101,3,0,469,368,63,648,395,437,4,5,1,2260,470,626,42.9
