Squad,#_Pl,90s,Att,Pass_Types_Live,Pass_Types_Dead,Pass_Types_FK,Pass_Types_TB,Pass_Types_Sw,Pass_Types_Crs,Pass_Types_TI,Pass_Types_CK,Corner_Kicks_In,Corner_Kicks_Out,Corner_Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks
gr AEK Athens,20,6.0,2510,2207,292,77,3,30,65,120,22,9,7,0,1920,11,62
nl Ajax,22,12.0,6458,5863,553,157,18,32,161,234,52,7,35,0,5137,42,129
es Atlético Madrid,21,8.0,4276,3884,373,91,11,35,130,157,48,19,22,0,3398,19,94
es Barcelona,23,12.0,8522,7923,577,193,41,46,112,216,67,29,5,0,7437,22,129
de Bayern Munich,20,8.0,5025,4646,357,95,9,69,127,147,49,30,13,0,4168,22,71
pt Benfica,20,6.0,2775,2487,285,95,5,24,83,112,29,10,13,0,2163,3,57
be Club Brugge,25,6.0,2717,2446,257,62,1,32,87,114,15,8,4,1,2117,14,49
ru CSKA Moscow,22,6.0,2660,2356,293,76,3,25,78,105,34,3,22,0,2055,11,59
de Dortmund,24,8.0,6024,5663,342,85,19,40,96,157,40,11,16,2,5255,19,84
tr Galatasaray,21,6.0,3003,2664,325,109,6,28,111,122,32,20,9,0,2394,14,65
de Hoffenheim,25,6.0,2713,2406,284,66,7,30,110,107,36,17,17,0,2151,23,39
it Inter,17,6.0,3077,2784,285,91,12,34,143,107,32,15,9,0,2489,8,64
it Juventus,22,10.0,5657,5156,488,152,8,63,221,193,53,13,35,0,4714,13,85
eng Liverpool,20,13.0,7191,6509,653,164,31,81,225,305,75,30,31,2,5613,29,125
ru Loko Moscow,19,6.0,2670,2363,295,92,3,11,74,112,32,18,3,0,1958,12,79
fr Lyon,21,8.0,3842,3464,353,109,19,27,89,123,26,12,5,1,3153,25,54
eng Manchester City,21,10.0,6793,6385,382,96,34,62,158,158,58,14,24,0,5976,26,90
eng Manchester Utd,26,10.0,5034,4562,444,117,10,48,171,185,38,19,10,4,4134,28,94
fr Monaco,29,6.0,3024,2728,284,90,8,48,116,104,22,4,11,2,2437,12,55
it Napoli,18,6.0,4138,3835,286,85,6,38,107,116,33,10,18,0,3465,17,59
fr Paris S-G,20,8.0,5144,4755,365,133,23,32,125,117,41,15,9,2,4469,24,58
pt Porto,25,10.3,4932,4361,553,161,10,55,180,245,46,26,17,1,3769,18,95
nl PSV Eindhoven,18,6.0,1993,1721,260,76,13,10,83,74,19,8,7,0,1452,12,29
es Real Madrid,24,8.0,5445,5033,390,104,22,105,191,140,69,17,28,1,4682,22,93
rs Red Star,20,6.0,2028,1734,278,79,6,7,64,93,17,3,8,2,1409,16,42
it Roma,24,8.3,4125,3699,411,108,17,28,156,163,49,25,15,2,3282,15,88
de Schalke 04,27,8.0,3273,2868,383,108,8,25,128,167,34,11,21,0,2440,22,79
ua Shakhtar,20,6.0,3167,2848,315,105,10,22,68,107,23,5,11,0,2630,4,66
eng Tottenham,24,13.0,7075,6410,636,156,35,53,231,267,80,32,31,1,5730,29,128
es Valencia,22,6.0,3051,2718,312,125,4,21,87,105,22,8,8,1,2480,21,62
cz Viktoria Plzeň,21,6.0,2384,2073,298,101,2,14,72,93,25,14,1,0,1780,13,58
ch Young Boys,20,6.0,2538,2243,283,97,3,12,111,82,30,18,10,0,1939,12,38
