Squad,#_Pl,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att_GK,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal_Kicks_Att,Goal_Kicks_Launch%,Goal_Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist
gr AEK Athens,1,6.0,13,2,1,3,0,15.2,0.34,+2.2,+0.37,66,145,45.5,155,16,69.0,44.5,54,70.4,49.0,116,5,4.3,2,0.33,10.6
nl Ajax,1,12.0,13,1,0,2,0,18.1,0.33,+5.1,+0.42,40,177,22.6,303,49,41.9,35.0,85,58.8,47.8,142,6,4.2,7,0.58,12.6
es Atlético Madrid,1,8.0,9,1,0,0,0,7.8,0.36,-1.2,-0.15,37,107,34.6,102,9,50.0,38.0,60,93.3,56.4,110,0,0.0,0,0.00,11.8
es Barcelona,2,12.0,10,0,0,2,0,12.4,0.31,+2.4,+0.20,57,109,52.3,337,71,21.7,30.6,79,45.6,39.1,145,7,4.8,8,0.67,11.3
de Bayern Munich,1,8.0,8,1,0,1,0,8.4,0.25,+0.4,+0.06,43,102,42.2,293,47,28.3,30.1,50,38.0,36.5,80,1,1.3,9,1.13,17.9
pt Benfica,1,6.0,11,0,0,3,0,13.5,0.40,+2.5,+0.42,41,94,43.6,151,19,50.3,38.2,32,56.3,42.2,47,1,2.1,7,1.17,18.4
be Club Brugge,2,6.0,5,0,0,1,0,5.9,0.27,+0.9,+0.15,36,105,34.3,118,33,52.5,41.3,55,78.2,53.0,81,3,3.7,3,0.50,10.1
ru CSKA Moscow,3,6.0,9,0,0,2,0,14.6,0.35,+5.6,+0.93,45,154,29.2,153,33,67.3,49.3,63,81.0,62.1,108,4,3.7,4,0.67,11.7
de Dortmund,2,8.0,6,0,0,1,0,7.2,0.33,+1.2,+0.15,27,78,34.6,219,41,26.5,33.1,46,43.5,38.7,99,1,1.0,6,0.75,14.6
tr Galatasaray,1,6.0,8,1,0,1,1,9.2,0.34,+2.2,+0.36,42,107,39.3,174,24,44.8,37.2,48,60.4,46.4,74,10,13.5,7,1.17,13.8
