Squad,#_Pl,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err
nl Ajax,19,6.0,146,74,53,63,30,60,143,42.0,83,48,18,30,85,231,92,4
it Atalanta,23,9.0,161,87,78,75,8,91,213,42.7,122,86,23,63,106,267,166,3
es Atlético Madrid,21,9.3,150,82,85,41,24,63,167,37.7,104,80,27,53,101,251,234,4
es Barcelona,24,9.0,118,75,49,51,18,57,147,38.8,90,93,34,59,108,226,140,7
de Bayern Munich,20,11.0,189,122,60,93,36,92,226,40.7,134,94,14,80,109,298,110,6
pt Benfica,23,6.0,119,70,60,46,13,60,149,40.3,89,64,23,41,60,179,138,1
eng Chelsea,22,8.0,119,62,56,49,14,50,125,40.0,75,74,13,61,75,194,143,6
be Club Brugge,22,6.0,115,74,56,39,20,52,114,45.6,62,61,15,46,65,180,90,3
hr Dinamo Zagreb,21,6.0,107,60,56,43,8,35,98,35.7,63,63,18,45,69,176,136,3
de Dortmund,24,8.0,135,77,76,43,16,62,153,40.5,91,73,19,54,98,233,125,3
tr Galatasaray,20,6.0,91,56,55,32,4,36,90,40.0,54,64,17,47,69,160,106,3
be Genk,20,6.0,101,60,48,41,12,43,97,44.3,54,75,35,40,67,168,144,4
it Inter,20,6.0,114,54,60,46,8,44,113,38.9,69,76,20,56,89,203,105,2
it Juventus,23,8.0,110,67,52,42,16,39,110,35.5,71,68,24,44,86,196,146,3
de Leverkusen,20,6.0,105,67,55,44,6,42,108,38.9,66,55,8,47,62,167,87,8
fr Lille,21,6.0,106,67,54,39,13,39,127,30.7,88,69,19,50,84,190,120,4
eng Liverpool,20,8.3,146,94,60,66,20,61,122,50.0,61,64,6,58,76,222,82,3
ru Loko Moscow,20,6.0,91,49,47,32,12,39,116,33.6,77,79,33,46,98,189,170,3
fr Lyon,24,10.0,139,82,66,55,18,56,139,40.3,83,123,38,85,110,249,237,3
eng Manchester City,23,9.0,144,83,59,60,25,81,181,44.8,100,59,16,43,110,254,91,5
it Napoli,24,8.0,134,90,78,38,18,73,175,41.7,102,98,27,71,96,230,165,5
gr Olympiacos,17,6.0,99,61,57,35,7,56,110,50.9,54,50,24,26,57,156,127,5
fr Paris S-G,24,11.0,194,111,100,72,22,82,196,41.8,114,122,36,86,121,315,188,1
de RB Leipzig,25,10.0,197,115,99,80,18,86,215,40.0,129,98,19,79,99,296,186,4
at RB Salzburg,21,6.0,127,75,67,46,14,66,170,38.8,104,70,23,47,63,190,134,4
es Real Madrid,25,8.0,123,78,59,46,18,46,131,35.1,85,72,27,45,92,215,110,7
rs Red Star,19,6.0,119,70,65,44,10,63,166,38.0,103,68,25,43,74,193,140,7
ua Shakhtar,18,6.0,91,52,55,29,7,39,114,34.2,75,54,17,37,64,155,120,6
cz Slavia Prague,20,6.0,83,46,35,30,18,37,119,31.1,82,73,14,59,77,160,73,2
eng Tottenham,28,8.0,122,74,53,55,14,59,147,40.1,88,82,30,52,68,190,152,3
es Valencia,23,8.0,123,74,56,60,7,56,148,37.8,92,92,32,60,92,215,185,2
ru Zenit,19,6.0,106,68,63,34,9,40,124,32.3,84,68,26,42,95,201,156,0
