Rk,Squad,Comp,#_Pl,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att_GK,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal_Kicks_Att,Goal_Kicks_Launch%,Goal_Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist
1,Ajaccio,fr Ligue 1,3,38.0,74,9,1,11,2,57.6,0.31,-14.4,-0.38,238,633,37.6,784,90,53.3,40.7,261,82.4,51.6,507,26,5.1,60,1.58,11.5
2,Almería,es La Liga,3,38.0,65,4,1,5,1,63.4,0.29,-0.6,-0.01,204,572,35.7,990,220,39.2,35.7,356,51.7,42.6,642,40,6.2,28,0.74,7.0
3,Angers,fr Ligue 1,2,38.0,81,9,1,9,4,67.8,0.3,-9.2,-0.24,127,416,30.5,733,194,38.1,33.6,256,53.5,42.1,500,38,7.6,27,0.71,11.8
4,Arsenal,eng Premier League,1,38.0,43,3,0,6,1,40.0,0.28,-2.0,-0.05,109,429,25.4,924,174,36.6,33.3,185,49.2,42.8,381,22,5.8,43,1.13,16.1
5,Aston Villa,eng Premier League,2,38.0,46,5,1,9,4,42.8,0.25,0.8,0.02,214,585,36.6,1247,153,37.0,37.6,265,46.8,38.3,528,65,12.3,76,2.0,14.2
6,Atalanta,it Serie A,3,38.0,48,3,1,5,2,41.3,0.25,-4.7,-0.12,161,425,37.9,863,237,28.9,32.1,307,57.3,44.7,454,32,7.0,42,1.11,15.6
7,Athletic Club,es La Liga,2,38.0,43,3,1,1,3,37.2,0.29,-2.8,-0.07,171,452,37.8,925,187,30.9,30.5,264,62.9,48.3,451,29,6.4,50,1.32,15.4
8,Atlético Madrid,es La Liga,3,38.0,33,4,1,5,0,36.3,0.26,3.3,0.09,166,525,31.6,812,165,39.8,34.1,334,60.5,46.3,575,48,8.3,26,0.68,9.2
9,Augsburg,de Bundesliga,2,34.0,63,1,2,4,2,63.4,0.31,2.4,0.07,262,677,38.7,1327,175,34.8,36.5,333,64.6,49.7,539,31,5.8,67,1.97,16.8
10,Auxerre,fr Ligue 1,3,38.0,63,4,0,3,1,57.8,0.3,-4.2,-0.11,268,698,38.4,978,145,48.4,46.4,289,77.9,53.5,599,17,2.8,26,0.68,12.9
11,Barcelona,es La Liga,2,38.0,20,3,0,2,3,25.1,0.22,8.1,0.21,169,338,50.0,1216,190,22.3,25.2,223,30.0,32.5,375,18,4.8,43,1.13,16.5
12,Bayern Munich,de Bundesliga,3,34.0,38,9,1,2,0,40.8,0.3,2.8,0.08,96,223,43.0,1190,185,16.0,26.0,193,17.1,25.7,349,18,5.2,54,1.59,17.5
