Rk,Player,Nation,Pos,Squad,Age,Born,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G-PK,Per_90_Minutes_G+A-PK,Per_90_Minutes_xG,Per_90_Minutes_xAG,Per_90_Minutes_xG+xAG,Per_90_Minutes_npxG,Per_90_Minutes_npxG+xAG,Matches
1,Pape Abou Cissé,sn SEN,DF,gr Olympiacos,24,1995,6,5,451,5.0,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,0,10,0,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06,Matches
2,Tammy Abraham,eng ENG,FW,eng Chelsea,22,1997,5,3,230,2.6,1,1,2,1,0,0,0,0,1.4,1.4,0.1,1.5,0,2,14,0.39,0.39,0.78,0.39,0.78,0.54,0.03,0.57,0.54,0.57,Matches
3,Francesco Acerbi,it ITA,DF,it Lazio,32,1988,8,8,720,8.0,0,1,1,0,0,0,2,0,0.6,0.6,1.1,1.8,12,25,27,0.00,0.12,0.12,0.00,0.12,0.08,0.14,0.22,0.08,0.22,Matches
4,Marcos Acuña,ar ARG,DF,es Sevilla,28,1991,4,3,327,3.6,0,1,1,0,0,0,3,0,0.0,0.0,1.4,1.4,14,26,19,0.00,0.28,0.28,0.00,0.28,0.00,0.39,0.39,0.00,0.39,Matches
5,Tyler Adams,us USA,"FW,MF",de RB Leipzig,21,1999,6,2,289,3.2,0,0,0,0,0,0,1,0,0.0,0.0,0.5,0.5,1,9,5,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.16,0.00,0.16,Matches
6,Karim Adeyemi,de GER,FW,at RB Salzburg,18,2002,3,0,52,0.6,1,0,1,1,0,0,0,0,0.3,0.3,0.0,0.3,2,0,4,1.73,0.00,1.73,1.73,1.73,0.58,0.00,0.58,0.58,0.58,Matches
7,Adrián,es ESP,GK,eng Liverpool,33,1987,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
8,Nayef Aguerd,ma MAR,DF,fr Rennes,24,1996,4,2,275,3.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,5,0,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
9,Sergio Agüero,ar ARG,FW,eng Manchester City,32,1988,7,1,152,1.7,2,0,2,1,1,1,0,0,1.6,0.9,0.0,0.9,1,1,5,1.18,0.00,1.18,0.59,0.59,0.98,0.00,0.98,0.51,0.51,Matches
10,Manuel Akanji,ch SUI,DF,de Dortmund,25,1995,7,7,630,7.0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,7,25,1,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.04,0.03,0.04,Matches
