Squad,#_Pl,Age,Playing_Time_MP,Playing_Time_Min,Playing_Time_Mn/MP,Playing_Time_Min%,Playing_Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team_Success_PPM,Team_Success_onG,Team_Success_onGA,Team_Success_+/-,Team_Success_+/-90,Team_Success_xG_onxG,Team_Success_xG_onxGA,Team_Success_xG_xG+/-,Team_Success_xG_xG+/-90
nl Ajax,21,24.7,6,540,90,100,6.0,66,82,40,26,19,34,1.17,7,7,0,0.00,8.1,8.0,0.0,+0.01
it Atalanta,25,27.5,8,720,90,100,8.0,88,82,57,31,20,60,1.38,11,12,-1,-0.12,11.7,10.4,+1.3,+0.16
es Atlético Madrid,20,27.0,8,720,90,100,8.0,88,84,57,31,17,57,1.13,7,11,-4,-0.50,9.2,10.3,-1.1,-0.14
es Barcelona,27,26.0,8,720,90,100,8.0,88,80,48,39,23,43,2.00,18,10,+8,+1.00,20.4,12.9,+7.5,+0.94
tr Başakşehir,21,29.5,6,540,90,100,6.0,66,81,40,26,22,32,0.50,7,18,-11,-1.83,5.2,12.2,-7.0,-1.16
de Bayern Munich,26,27.0,10,900,90,100,10.0,110,82,69,40,21,48,2.50,27,10,+17,+1.70,21.8,14.0,+7.8,+0.78
eng Chelsea,24,26.2,13,1170,90,100,13.0,143,84,90,53,15,97,2.31,23,4,+19,+1.46,26.0,9.0,+17.0,+1.31
be Club Brugge,22,25.8,6,540,90,100,6.0,66,85,45,20,13,37,1.33,8,10,-2,-0.33,8.5,9.3,-0.8,-0.13
de Dortmund,26,25.8,10,900,90,100,10.0,110,84,71,39,16,71,1.70,19,13,+6,+0.60,14.4,13.6,+0.8,+0.08
ua Dynamo Kyiv,22,24.4,6,540,90,100,6.0,66,84,39,26,14,41,0.67,4,13,-9,-1.50,6.3,13.0,-6.7,-1.12
hu Ferencváros,20,27.8,6,540,90,100,6.0,66,83,38,28,18,32,0.17,5,17,-12,-2.00,5.6,12.7,-7.1,-1.19
de Gladbach,21,27.0,8,720,90,100,8.0,88,84,56,32,17,58,1.00,16,13,+3,+0.37,11.6,13.8,-2.3,-0.28
it Inter,21,28.3,6,540,90,100,6.0,66,83,42,23,17,40,1.00,7,9,-2,-0.33,8.3,6.5,+1.8,+0.30
it Juventus,22,27.6,8,750,94,100,8.3,88,85,53,34,23,50,2.25,18,8,+10,+1.20,15.8,9.8,+6.0,+0.73
ru Krasnodar,23,27.8,6,540,90,100,6.0,66,84,45,22,17,26,0.83,6,11,-5,-0.83,6.4,11.9,-5.5,-0.92
it Lazio,25,29.0,8,720,90,100,8.0,88,80,51,37,25,52,1.25,13,13,0,0.00,13.1,11.6,+1.5,+0.19
eng Liverpool,29,26.0,10,900,90,100,10.0,110,82,68,42,22,69,2.00,15,6,+9,+0.90,14.7,13.9,+0.8,+0.08
ru Loko Moscow,22,28.5,6,540,90,100,6.0,66,84,47,19,21,46,0.50,5,10,-5,-0.83,4.9,11.1,-6.2,-1.03
eng Manchester City,25,26.1,13,1170,90,100,13.0,143,85,104,40,18,113,2.62,25,5,+20,+1.54,22.5,7.2,+15.3,+1.18
eng Manchester Utd,23,25.7,6,540,90,100,6.0,66,81,38,27,22,43,1.50,15,10,+5,+0.83,11.5,8.4,+3.1,+0.51
fr Marseille,20,27.5,6,540,90,100,6.0,66,82,37,28,18,39,0.50,2,13,-11,-1.83,5.9,10.1,-4.3,-0.71
dk Midtjylland,22,25.5,6,540,90,100,6.0,66,83,39,26,17,46,0.33,4,13,-9,-1.50,7.1,11.3,-4.2,-0.71
gr Olympiacos,21,28.7,6,540,90,100,6.0,66,83,42,23,19,46,0.50,2,10,-8,-1.33,4.1,9.5,-5.4,-0.90
fr Paris S-G,23,27.3,12,1080,90,100,12.0,132,82,78,50,19,91,1.58,22,15,+7,+0.58,21.4,18.8,+2.6,+0.22
pt Porto,26,27.0,10,930,93,100,10.3,110,86,63,45,16,75,1.90,15,9,+6,+0.58,12.5,15.1,-2.6,-0.25
de RB Leipzig,20,24.8,8,720,90,100,8.0,88,82,57,31,24,57,1.50,11,16,-5,-0.62,10.6,12.8,-2.2,-0.27
at RB Salzburg,19,24.9,6,540,90,100,6.0,66,84,45,22,18,36,0.67,10,17,-7,-1.17,11.2,9.3,+2.0,+0.33
es Real Madrid,25,27.9,12,1080,90,100,12.0,132,85,96,36,19,81,1.75,19,14,+5,+0.42,19.2,15.6,+3.7,+0.30
fr Rennes,26,25.7,6,540,90,100,6.0,66,81,38,27,21,45,0.17,3,11,-8,-1.33,7.6,12.4,-4.8,-0.80
es Sevilla,25,27.9,8,720,90,100,8.0,88,79,49,38,24,50,1.75,13,13,0,0.00,12.1,11.1,+1.0,+0.12
ua Shakhtar,23,24.7,6,540,90,100,6.0,66,82,45,22,25,42,1.33,5,12,-7,-1.17,4.7,11.0,-6.3,-1.05
ru Zenit,21,27.8,6,540,90,100,6.0,66,81,40,26,24,29,0.17,4,13,-9,-1.50,5.6,11.3,-5.7,-0.95
