Squad,#_Pl,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att_GK,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal_Kicks_Att,Goal_Kicks_Launch%,Goal_Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist
nl Ajax,1,6.0,7,1,0,0,1,8.4,0.27,+2.4,+0.41,22,77,28.6,283,34,25.4,29.3,32,15.6,26.8,64,2,3.1,5,0.83,15.9
it Atalanta,2,8.0,12,2,0,1,0,10.9,0.24,-1.1,-0.14,51,95,53.7,150,31,39.3,28.3,48,75.0,51.5,81,5,6.2,8,1.00,16.8
es Atlético Madrid,1,8.0,11,2,0,0,1,9.7,0.32,-0.3,-0.04,41,119,34.5,147,30,55.8,38.8,61,60.7,41.9,93,3,3.2,4,0.50,14.3
es Barcelona,2,8.0,10,4,0,0,0,12.8,0.32,+2.8,+0.35,15,32,46.9,168,29,12.5,23.3,51,21.6,28.8,67,0,0.0,9,1.13,20.7
tr Başakşehir,1,6.0,18,2,0,2,0,12.1,0.28,-5.9,-0.98,37,92,40.2,141,29,48.9,39.4,43,53.5,43.8,71,3,4.2,12,2.00,15.5
de Bayern Munich,2,10.0,10,0,0,1,0,15.2,0.33,+5.2,+0.52,32,68,47.1,341,68,17.3,27.5,57,15.8,28.8,111,3,2.7,28,2.80,21.1
eng Chelsea,2,13.0,4,0,0,2,0,7.3,0.20,+3.3,+0.25,48,115,41.7,315,53,24.4,25.1,81,46.9,37.4,158,7,4.4,5,0.38,8.0
be Club Brugge,2,6.0,10,1,1,1,1,8.4,0.29,-0.6,-0.10,55,120,45.8,223,28,44.8,45.8,43,46.5,40.6,60,3,5.0,13,2.17,10.0
de Dortmund,2,10.0,13,3,0,2,1,14.9,0.30,+2.9,+0.29,27,96,28.1,250,39,30.4,32.5,64,31.3,34.0,150,7,4.7,3,0.30,9.3
ua Dynamo Kyiv,3,6.0,13,2,0,2,0,16.0,0.38,+3.0,+0.51,26,58,44.8,147,26,27.2,28.1,48,37.5,36.4,81,2,2.5,1,0.17,8.5
hu Ferencváros,1,6.0,17,3,0,0,1,14.2,0.31,-1.8,-0.30,39,76,51.3,202,33,29.7,31.0,40,40.0,34.7,48,0,0.0,4,0.67,15.1
de Gladbach,1,8.0,13,0,0,1,0,14.1,0.42,+1.1,+0.14,33,86,38.4,292,29,27.1,29.2,50,14.0,23.8,107,6,5.6,4,0.50,12.6
it Inter,1,6.0,9,2,0,1,1,6.8,0.21,-1.2,-0.20,14,29,48.3,151,21,18.5,26.8,24,4.2,19.3,48,1,2.1,10,1.67,20.5
it Juventus,2,8.3,8,2,1,0,0,10.4,0.25,+2.4,+0.29,10,21,47.6,146,31,9.6,22.2,53,13.2,23.7,67,3,4.5,10,1.20,17.2
ru Krasnodar,2,6.0,11,3,0,1,0,10.3,0.17,-0.7,-0.12,46,116,39.7,147,31,55.8,41.6,49,69.4,46.8,107,4,3.7,2,0.33,13.5
it Lazio,2,8.0,13,2,0,0,1,9.9,0.23,-2.1,-0.26,28,64,43.8,256,48,22.3,35.0,47,14.9,21.6,104,2,1.9,4,0.50,
eng Liverpool,3,10.0,6,1,0,0,0,12.2,0.30,+6.2,+0.62,49,120,40.8,307,50,30.0,37.9,80,35.0,35.0,120,6,5.0,15,1.50,13.0
ru Loko Moscow,1,6.0,10,0,0,3,0,9.4,0.27,-0.6,-0.11,50,107,46.7,177,29,41.8,35.2,70,47.1,35.0,143,10,7.0,5,0.83,12.6
eng Manchester City,2,13.0,5,0,0,1,0,6.5,0.28,+1.5,+0.12,31,71,43.7,307,58,18.9,21.8,51,25.5,32.2,85,4,4.7,19,1.46,
eng Manchester Utd,2,6.0,10,0,1,1,1,7.8,0.34,-1.2,-0.19,24,51,47.1,95,21,35.8,32.4,45,37.8,30.5,70,2,2.9,4,0.67,14.5
fr Marseille,1,6.0,13,2,0,2,1,10.4,0.36,-1.6,-0.27,26,95,27.4,209,18,36.8,31.7,38,47.4,37.0,50,1,2.0,5,0.83,16.2
dk Midtjylland,2,6.0,13,1,0,0,0,12.2,0.33,-0.8,-0.13,54,149,36.2,245,23,45.3,38.9,48,79.2,53.9,68,1,1.5,4,0.67,11.2
gr Olympiacos,1,6.0,10,3,0,0,0,11.1,0.24,+1.1,+0.18,28,80,35.0,161,39,32.9,32.2,49,55.1,42.1,68,6,8.8,0,0.00,9.4
fr Paris S-G,1,12.0,15,3,1,2,0,18.7,0.22,+3.7,+0.31,47,140,33.6,334,62,32.3,32.7,101,31.7,31.8,181,5,2.8,8,0.67,12.5
pt Porto,2,10.3,9,1,1,1,0,13.0,0.31,+4.0,+0.39,69,247,27.9,366,44,57.9,40.5,68,51.5,41.9,191,5,2.6,8,0.77,5.0
de RB Leipzig,1,8.0,16,3,1,1,1,16.7,0.35,+1.7,+0.22,26,75,34.7,261,43,25.7,30.4,41,19.5,23.9,81,5,6.2,14,1.75,18.6
at RB Salzburg,1,6.0,17,2,0,3,1,12.4,0.33,-3.6,-0.60,11,36,30.6,94,19,34.0,32.1,31,12.9,24.9,67,3,4.5,3,0.50,13.4
es Real Madrid,1,12.0,14,0,1,0,1,15.3,0.40,+2.3,+0.19,27,109,24.8,370,68,22.2,30.3,85,31.8,33.4,116,11,9.5,21,1.75,18.2
fr Rennes,2,6.0,11,2,0,0,0,11.3,0.32,+0.3,+0.04,30,83,36.1,154,26,35.7,35.0,46,60.9,44.8,80,1,1.3,8,1.33,18.3
es Sevilla,3,8.0,13,4,1,0,0,12.1,0.24,-0.9,-0.11,28,64,43.8,183,26,24.0,25.5,37,54.1,40.1,80,3,3.8,9,1.13,14.0
ua Shakhtar,2,6.0,12,1,1,2,1,11.3,0.28,+0.3,+0.05,26,100,26.0,181,29,34.8,26.4,60,61.7,45.9,124,2,1.6,2,0.33,14.0
ru Zenit,1,6.0,13,3,0,1,0,12.7,0.35,-0.3,-0.05,25,60,41.7,151,43,29.8,32.6,39,38.5,34.2,90,4,4.4,2,0.33,10.6
