Rk,Squad,Comp,#_Pl,Age,Playing_Time_MP,Playing_Time_Min,Playing_Time_Mn/MP,Playing_Time_Min%,Playing_Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team_Success_PPM,Team_Success_onG,Team_Success_onGA,Team_Success_+/-,Team_Success_+/-90,Team_Success_xG_onxG,Team_Success_xG_onxGA,Team_Success_xG_xG+/-,Team_Success_xG_xG+/-90
1,Alavés,es La Liga,30,28.7,38,3420,90,100,38.0,418,82,248,163,20,254,1.0,36,57,-21,-0.55,42.6,49.9,-7.3,-0.19
2,Angers,fr Ligue 1,31,27.9,38,3420,90,100,38.0,418,81,247,170,21,168,1.16,40,58,-18,-0.47,41.6,52.3,-10.7,-0.28
3,Arminia,de Bundesliga,26,26.0,34,3060,90,100,34.0,374,83,227,147,17,157,1.03,26,52,-26,-0.76,32.9,56.8,-23.9,-0.7
4,Arsenal,eng Premier League,29,25.9,38,3420,90,100,38.0,418,84,301,114,19,201,1.61,55,39,16,0.42,51.7,43.0,8.8,0.23
5,Aston Villa,eng Premier League,24,25.2,38,3420,90,100,38.0,418,86,324,91,17,229,1.45,55,46,9,0.24,52.5,51.1,1.5,0.04
6,Atalanta,it Serie A,30,27.3,38,3420,90,100,38.0,418,80,240,176,23,253,2.05,90,47,43,1.13,74.7,41.0,33.7,0.89
7,Athletic Club,es La Liga,27,26.6,38,3420,90,100,38.0,418,81,240,177,22,242,1.21,46,42,4,0.11,42.8,37.5,5.3,0.14
8,Atlético Madrid,es La Liga,25,27.3,38,3420,90,100,38.0,418,82,272,148,23,231,2.26,67,25,42,1.11,52.8,37.1,15.7,0.41
9,Augsburg,de Bundesliga,25,27.0,34,3060,90,100,34.0,374,82,231,141,21,159,1.06,36,54,-18,-0.53,37.3,57.3,-20.0,-0.59
10,Barcelona,es La Liga,25,26.4,38,3420,90,100,38.0,418,82,260,158,22,260,2.08,85,38,47,1.24,73.5,40.8,32.7,0.86
11,Bayern Munich,de Bundesliga,29,27.3,34,3060,90,100,34.0,374,82,237,137,21,163,2.29,99,44,55,1.62,75.9,40.2,35.8,1.05
12,Benevento,it Serie A,29,28.7,38,3420,90,100,38.0,418,80,238,178,24,258,0.87,40,75,-35,-0.92,40.6,64.3,-23.6,-0.62
13,Betis,es La Liga,25,27.9,38,3420,90,100,38.0,418,82,258,155,21,276,1.61,50,50,0,0.0,49.1,46.8,2.3,0.06
14,Bologna,it Serie A,37,27.2,38,3420,90,100,38.0,418,81,243,172,21,275,1.08,51,65,-14,-0.37,54.6,62.6,-7.9,-0.21
15,Bordeaux,fr Ligue 1,28,27.6,38,3420,90,100,38.0,418,81,245,169,22,172,1.18,42,56,-14,-0.37,43.5,54.9,-11.4,-0.3
16,Brest,fr Ligue 1,26,24.9,38,3420,90,100,38.0,418,84,269,146,17,194,1.08,50,66,-16,-0.42,50.0,58.1,-8.1,-0.21
17,Brighton,eng Premier League,27,25.8,38,3420,90,100,38.0,418,85,305,108,20,208,1.08,40,46,-6,-0.16,50.9,35.3,15.6,0.41
18,Burnley,eng Premier League,25,28.3,38,3420,90,100,38.0,418,86,339,81,19,235,1.03,33,55,-22,-0.58,39.3,54.7,-15.4,-0.4
19,Cádiz,es La Liga,34,28.8,38,3420,90,100,38.0,418,80,236,180,23,262,1.16,36,58,-22,-0.58,34.7,55.4,-20.7,-0.54
20,Cagliari,it Serie A,32,26.5,38,3420,90,100,38.0,418,84,252,163,16,277,0.97,43,59,-16,-0.42,47.1,61.7,-14.6,-0.38
21,Celta Vigo,es La Liga,30,26.6,38,3420,90,100,38.0,418,83,280,137,20,238,1.39,55,57,-2,-0.05,50.4,51.0,-0.6,-0.02
22,Chelsea,eng Premier League,27,26.0,38,3420,90,100,38.0,418,84,308,108,22,208,1.76,58,36,22,0.58,62.4,30.3,32.1,0.85
23,Crotone,it Serie A,31,27.8,38,3420,90,100,38.0,418,83,277,138,21,304,0.61,45,92,-47,-1.24,40.4,70.8,-30.5,-0.8
24,Crystal Palace,eng Premier League,24,29.1,38,3420,90,100,38.0,418,86,321,95,17,208,1.16,41,66,-25,-0.66,34.1,58.2,-24.2,-0.64
25,Dijon,fr Ligue 1,33,25.7,38,3420,90,100,38.0,418,82,265,150,21,179,0.55,25,73,-48,-1.26,33.7,72.5,-38.8,-1.02
26,Dortmund,de Bundesliga,26,25.6,34,3060,90,100,34.0,374,83,234,139,19,163,1.88,75,46,29,0.85,66.2,41.6,24.6,0.72
27,Eibar,es La Liga,30,28.2,38,3420,90,100,38.0,418,82,266,149,21,266,0.79,29,52,-23,-0.61,45.2,45.7,-0.5,-0.01
28,Eint Frankfurt,de Bundesliga,25,27.2,34,3060,90,100,34.0,374,84,238,136,18,165,1.76,69,53,16,0.47,58.5,46.9,11.6,0.34
29,Elche,es La Liga,30,28.1,38,3420,90,100,38.0,418,82,267,152,21,298,0.95,34,55,-21,-0.55,29.9,60.9,-31.0,-0.82
30,Everton,eng Premier League,29,26.3,38,3420,90,100,38.0,418,85,310,106,19,206,1.55,47,48,-1,-0.03,45.7,50.1,-4.5,-0.12
31,Fiorentina,it Serie A,30,26.6,38,3420,90,100,38.0,418,82,256,158,19,287,1.05,47,59,-12,-0.32,44.9,61.5,-16.6,-0.44
32,Freiburg,de Bundesliga,24,26.2,34,3060,90,100,34.0,374,82,223,152,19,151,1.32,52,52,0,0.0,45.5,52.4,-6.9,-0.2
33,Fulham,eng Premier League,28,25.2,38,3420,90,100,38.0,418,85,306,110,19,203,0.74,27,53,-26,-0.68,40.5,52.6,-12.1,-0.32
34,Genoa,it Serie A,34,28.3,38,3420,90,100,38.0,418,79,238,180,24,272,1.11,47,58,-11,-0.29,38.8,60.4,-21.6,-0.57
35,Getafe,es La Liga,31,26.7,38,3420,90,100,38.0,418,83,270,141,19,228,1.0,28,43,-15,-0.39,34.4,40.3,-5.9,-0.16
36,Gladbach,de Bundesliga,23,26.9,34,3060,90,100,34.0,374,83,230,142,18,159,1.44,64,56,8,0.24,54.9,45.7,9.2,0.27
