Rk,Player,Nation,Pos,Squad,Age,Born,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G-PK,Per_90_Minutes_G+A-PK,Per_90_Minutes_xG,Per_90_Minutes_xAG,Per_90_Minutes_xG+xAG,Per_90_Minutes_npxG,Per_90_Minutes_npxG+xAG,Matches
1,Vincent Aboubakar,cm CMR,FW,pt Porto,25,1992,6,6,495,5.5,5,2,7,5,0,0,0,0,2.8,2.8,1.0,3.8,4,7,38,0.91,0.36,1.27,0.91,1.27,0.51,0.19,0.70,0.51,0.70,Matches
2,Marcos Acuña,ar ARG,"FW,DF",pt Sporting CP,25,1991,5,5,433,4.8,0,1,1,0,0,0,2,0,0.0,0.0,0.5,0.5,12,13,19,0.00,0.21,0.21,0.00,0.21,0.00,0.11,0.11,0.00,0.11,Matches
3,Tosin Adarabioyo,eng ENG,DF,eng Manchester City,19,1997,2,1,91,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
4,Adriano,br BRA,DF,tr Beşiktaş,32,1984,6,5,486,5.4,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.2,14,25,11,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches
5,Luiz Adriano,br BRA,"FW,MF",ru Spartak Moscow,30,1987,6,6,540,6.0,1,0,1,1,0,0,1,0,1.0,1.0,0.9,1.9,8,16,35,0.17,0.00,0.17,0.17,0.17,0.16,0.15,0.32,0.16,0.32,Matches
6,Ansi Agolli,al ALB,DF,az Qarabağ,34,1982,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.2,6,12,14,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches
7,Sergio Agüero,ar ARG,FW,eng Manchester City,29,1988,7,5,440,4.9,4,1,5,3,1,2,0,0,3.9,2.4,0.4,2.8,17,6,37,0.82,0.20,1.02,0.61,0.82,0.80,0.08,0.88,0.49,0.57,Matches
8,Karim El Ahmadi,ma MAR,MF,nl Feyenoord,32,1985,4,4,360,4.0,0,0,0,0,0,0,3,0,0.1,0.1,0.3,0.4,1,13,1,0.00,0.00,0.00,0.00,0.00,0.03,0.08,0.11,0.03,0.11,Matches
9,Valon Ahmedi,al ALB,"MF,FW",si NK Maribor,22,1994,4,3,226,2.5,0,0,0,0,0,0,0,0,0.2,0.2,0.5,0.8,9,6,12,0.00,0.00,0.00,0.00,0.00,0.10,0.21,0.31,0.10,0.31,Matches
10,Albian Ajeti,ch SUI,FW,ch Basel,20,1997,3,1,98,1.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,2,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12,Matches
