Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA_SCA,SCA_SCA90,SCA_Types_PassLive,SCA_Types_PassDead,SCA_Types_TO,SCA_Types_Sh,SCA_Types_Fld,SCA_Types_Def,GCA_GCA,GCA_GCA90,GCA_Types_PassLive,GCA_Types_PassDead,GCA_Types_TO,GCA_Types_Sh,GCA_Types_Fld,GCA_Types_Def,Matches
1,Vincent Aboubakar,cm CMR,FW,pt Porto,26,1992,0.7,1,1.53,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2,Michel Aebischer,ch SUI,MF,ch Young Boys,21,1997,2.5,4,1.58,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
3,Sergio Agüero,ar ARG,FW,eng Manchester City,30,1988,5.6,16,2.84,13,0,3,0,0,0,3,0.53,3,0,0,0,0,0,Matches
4,Jean-Eudes Aholou,ci CIV,"MF,FW",fr Monaco,24,1994,2.0,2,1.02,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
5,Youssef Aït Bennasser,ma MAR,MF,fr Monaco,22,1996,2.7,4,1.46,3,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
6,Manuel Akanji,ch SUI,DF,de Dortmund,23,1995,5.0,3,0.60,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
7,Emre Akbaba,tr TUR,FW,tr Galatasaray,25,1992,1.0,5,5.00,2,0,0,1,2,0,3,3.00,1,0,0,0,2,0,Matches
8,Yunus Akgün,tr TUR,MF,tr Galatasaray,18,2000,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
9,Ilzat Akhmetov,ru RUS,MF,ru CSKA Moscow,20,1997,3.3,7,2.10,6,0,0,1,0,0,1,0.30,1,0,0,0,0,0,Matches
10,Igor Akinfeev,ru RUS,GK,ru CSKA Moscow,32,1986,5.0,2,0.40,0,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
11,Kevin Akpoguma,ng NGA,DF,de Hoffenheim,23,1995,2.0,1,0.50,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
12,David Alaba,at AUT,DF,de Bayern Munich,26,1992,7.0,10,1.43,9,1,0,0,0,0,4,0.57,4,0,0,0,0,0,Matches
13,Jordi Alba,es ESP,DF,es Barcelona,29,1989,11.0,33,3.00,31,1,0,0,0,1,6,0.55,5,0,0,0,0,1,Matches
14,Raúl Albiol,es ESP,DF,it Napoli,32,1985,5.5,5,0.91,5,0,0,0,0,0,1,0.18,1,0,0,0,0,0,Matches
15,Paco Alcácer,es ESP,FW,de Dortmund,24,1993,4.0,9,2.28,7,0,1,1,0,0,2,0.51,1,0,1,0,0,0,Matches
16,Thiago Alcántara,es ESP,MF,de Bayern Munich,27,1991,4.3,13,3.01,8,1,1,1,1,1,3,0.69,1,0,1,0,1,0,Matches
17,Toby Alderweireld,be BEL,DF,eng Tottenham,29,1989,12.0,9,0.75,8,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
18,Alef,br BRA,MF,gr AEK Athens,23,1995,2.2,1,0.45,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
19,Carles Aleñá,es ESP,MF,es Barcelona,20,1998,1.0,4,3.91,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
20,Trent Alexander-Arnold,eng ENG,DF,eng Liverpool,19,1998,10.2,33,3.23,23,8,1,0,0,1,5,0.49,3,1,0,0,0,1,Matches
21,Alisson,br BRA,GK,eng Liverpool,25,1992,13.0,2,0.15,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
22,Allan,br BRA,MF,it Napoli,27,1991,5.7,12,2.12,11,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
23,Dele Alli,eng ENG,MF,eng Tottenham,22,1996,7.9,32,4.07,27,0,3,2,0,0,4,0.51,4,0,0,0,0,0,Matches
24,André Almeida,pt POR,DF,pt Benfica,27,1990,6.0,11,1.83,7,0,0,1,2,1,1,0.17,1,0,0,0,0,0,Matches
25,Dani Alves,br BRA,"FW,DF",fr Paris S-G,35,1983,2.3,8,3.51,6,0,0,1,1,0,1,0.44,1,0,0,0,0,0,Matches
26,Mohamed Aly Camara,gn GUI,DF,ch Young Boys,20,1997,3.9,3,0.78,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
27,Nadiem Amiri,de GER,MF,de Hoffenheim,21,1996,0.3,1,3.21,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
28,Sofyan Amrabat,ma MAR,"DF,MF",be Club Brugge,21,1996,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
29,Angeliño,es ESP,DF,nl PSV Eindhoven,21,1997,6.0,11,1.83,9,2,0,0,0,0,1,0.17,1,0,0,0,0,0,Matches
30,Houssem Aouar,dz ALG,"MF,FW",fr Lyon,20,1998,7.0,25,3.57,19,0,3,2,0,1,3,0.43,3,0,0,0,0,0,Matches
31,Alphonse Areola,fr FRA,GK,fr Paris S-G,25,1993,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
32,Santiago Arias,co COL,"DF,FW",es Atlético Madrid,26,1992,3.8,5,1.30,4,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
33,Kwadwo Asamoah,gh GHA,DF,it Inter,29,1988,5.8,13,2.26,11,0,0,2,0,0,1,0.17,1,0,0,0,0,0,Matches
34,Marco Asensio,es ESP,"FW,MF",es Real Madrid,22,1996,3.4,20,5.88,14,1,1,3,0,1,0,0.00,0,0,0,0,0,0,Matches
35,Roger Assalé,ci CIV,"FW,MF",ch Young Boys,24,1993,4.2,14,3.32,11,0,1,1,1,0,0,0.00,0,0,0,0,0,0,Matches
36,Serge Aurier,ci CIV,DF,eng Tottenham,25,1992,4.8,9,1.87,5,0,2,0,1,1,1,0.21,1,0,0,0,0,0,Matches
37,Chidozie Awaziem,ng NGA,MF,pt Porto,21,1997,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
38,Serdar Aziz,tr TUR,DF,tr Galatasaray,27,1990,4.0,3,0.75,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
39,Srđan Babić,rs SRB,DF,rs Red Star,22,1996,2.5,1,0.40,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
40,Benoît Badiashile,fr FRA,DF,fr Monaco,17,2001,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
41,Loic Badiashile,fr FRA,GK,fr Monaco,20,1998,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
42,Eric Bailly,ci CIV,DF,eng Manchester Utd,24,1994,3.4,2,0.59,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
43,Michalis Bakakis,gr GRE,"DF,FW",gr AEK Athens,27,1991,5.8,8,1.39,7,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
44,Anastasios Bakasetas,gr GRE,FW,gr AEK Athens,25,1993,2.0,4,2.00,3,1,0,0,0,0,1,0.50,1,0,0,0,0,0,Matches
45,Keita Baldé,sn SEN,"FW,MF",it Inter,23,1995,0.8,7,8.29,4,0,2,0,1,0,0,0.00,0,0,0,0,0,0,Matches
46,Gareth Bale,wls WAL,FW,es Real Madrid,29,1989,5.4,20,3.70,15,0,1,2,1,1,3,0.56,3,0,0,0,0,0,Matches
47,David von Ballmoos,ch SUI,GK,ch Young Boys,23,1994,4.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
48,Dmitri Barinov,ru RUS,MF,ru Loko Moscow,21,1996,3.2,7,2.22,4,0,1,1,0,1,0,0.00,0,0,0,0,0,0,Matches
49,Vasilios Barkas,gr GRE,GK,gr AEK Athens,24,1994,6.0,1,0.17,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
50,Antonio Barreca,it ITA,DF,fr Monaco,23,1995,1.0,1,1.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
51,Andrea Barzagli,it ITA,DF,it Juventus,37,1981,1.2,3,2.50,3,0,0,0,0,0,1,0.83,1,0,0,0,0,0,Matches
52,Michy Batshuayi,be BEL,FW,es Valencia,24,1993,3.8,9,2.35,6,0,2,0,1,0,1,0.26,0,0,1,0,0,0,Matches
