Squad,#_Pl,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,A-xAG,KP,1/3,PPA,CrsPA
eng Arsenal,21,8.0,,,,,,,,,,,,,,,13,,,,,
es Atlético Madrid,20,12.0,,,,,,,,,,,,,,,9,,,,,
es Barcelona,23,10.0,,,,,,,,,,,,,,,17,,,,,
ch Basel,18,6.0,,,,,,,,,,,,,,,2,,,,,
de Bayern Munich,21,10.3,,,,,,,,,,,,,,,13,,,,,
pt Benfica,25,8.0,,,,,,,,,,,,,,,6,,,,,
tr Beşiktaş,21,6.0,,,,,,,,,,,,,,,3,,,,,
sct Celtic,22,6.0,,,,,,,,,,,,,,,2,,,,,
be Club Brugge,21,6.0,,,,,,,,,,,,,,,2,,,,,
ru CSKA Moscow,19,6.0,,,,,,,,,,,,,,,4,,,,,
hr Dinamo Zagreb,24,6.0,,,,,,,,,,,,,,,0,,,,,
de Dortmund,25,10.0,,,,,,,,,,,,,,,21,,,,,
ua Dynamo Kyiv,24,6.0,,,,,,,,,,,,,,,5,,,,,
dk FC Copenhagen,19,6.0,,,,,,,,,,,,,,,5,,,,,
de Gladbach,19,6.0,,,,,,,,,,,,,,,4,,,,,
it Juventus,25,13.0,,,,,,,,,,,,,,,10,,,,,
pl Legia Warsaw,22,6.0,,,,,,,,,,,,,,,8,,,,,
eng Leicester City,26,10.0,,,,,,,,,,,,,,,5,,,,,
de Leverkusen,26,8.0,,,,,,,,,,,,,,,5,,,,,
bg Ludogorets,19,6.0,,,,,,,,,,,,,,,4,,,,,
fr Lyon,21,6.0,,,,,,,,,,,,,,,5,,,,,
eng Manchester City,22,8.0,,,,,,,,,,,,,,,14,,,,,
fr Monaco,23,12.0,,,,,,,,,,,,,,,14,,,,,
it Napoli,21,8.0,,,,,,,,,,,,,,,9,,,,,
fr Paris S-G,24,8.0,,,,,,,,,,,,,,,14,,,,,
pt Porto,23,8.0,,,,,,,,,,,,,,,7,,,,,
nl PSV Eindhoven,20,6.0,,,,,,,,,,,,,,,2,,,,,
es Real Madrid,23,13.3,,,,,,,,,,,,,,,30,,,,,
ru Rostov,18,6.0,,,,,,,,,,,,,,,4,,,,,
es Sevilla,22,8.0,,,,,,,,,,,,,,,8,,,,,
pt Sporting CP,21,6.0,,,,,,,,,,,,,,,2,,,,,
eng Tottenham,21,6.0,,,,,,,,,,,,,,,5,,,,,
