Squad,#_Pl,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att_GK,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal_Kicks_Att,Goal_Kicks_Launch%,Goal_Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist
eng Arsenal,1,8.0,16,1,,,,,,,,,,,,,,,,,,,,,,,
es Atlético Madrid,2,12.0,9,0,,,,,,,,,,,,,,,,,,,,,,,
es Barcelona,2,10.0,12,0,,,,,,,,,,,,,,,,,,,,,,,
ch Basel,1,6.0,12,1,,,,,,,,,,,,,,,,,,,,,,,
de Bayern Munich,2,10.3,12,1,,,,,,,,,,,,,,,,,,,,,,,
pt Benfica,1,8.0,10,2,,,,,,,,,,,,,,,,,,,,,,,
tr Beşiktaş,1,6.0,1,2,,,,,,,,,,,,,,,,,,,,,,,
sct Celtic,2,6.0,16,1,,,,,,,,,,,,,,,,,,,,,,,
be Club Brugge,1,6.0,14,3,,,,,,,,,,,,,,,,,,,,,,,
ru CSKA Moscow,1,6.0,11,0,,,,,,,,,,,,,,,,,,,,,,,
hr Dinamo Zagreb,2,6.0,15,0,,,,,,,,,,,,,,,,,,,,,,,
de Dortmund,2,10.0,16,0,,,,,,,,,,,,,,,,,,,,,,,
ua Dynamo Kyiv,2,6.0,6,2,,,,,,,,,,,,,,,,,,,,,,,
dk FC Copenhagen,1,6.0,2,0,,,,,,,,,,,,,,,,,,,,,,,
de Gladbach,1,6.0,12,2,,,,,,,,,,,,,,,,,,,,,,,
it Juventus,2,13.0,7,0,,,,,,,,,,,,,,,,,,,,,,,
pl Legia Warsaw,2,6.0,24,0,,,,,,,,,,,,,,,,,,,,,,,
eng Leicester City,3,10.0,10,2,,,,,,,,,,,,,,,,,,,,,,,
de Leverkusen,2,8.0,8,2,,,,,,,,,,,,,,,,,,,,,,,
bg Ludogorets,2,6.0,15,0,,,,,,,,,,,,,,,,,,,,,,,
fr Lyon,1,6.0,3,1,,,,,,,,,,,,,,,,,,,,,,,
eng Manchester City,2,8.0,16,0,,,,,,,,,,,,,,,,,,,,,,,
fr Monaco,2,12.0,20,1,,,,,,,,,,,,,,,,,,,,,,,
it Napoli,1,8.0,14,1,,,,,,,,,,,,,,,,,,,,,,,
fr Paris S-G,2,8.0,9,3,,,,,,,,,,,,,,,,,,,,,,,
pt Porto,1,8.0,6,1,,,,,,,,,,,,,,,,,,,,,,,
nl PSV Eindhoven,2,6.0,16,1,,,,,,,,,,,,,,,,,,,,,,,
es Real Madrid,2,13.3,18,4,,,,,,,,,,,,,,,,,,,,,,,
ru Rostov,1,6.0,12,1,,,,,,,,,,,,,,,,,,,,,,,
es Sevilla,1,8.0,6,1,,,,,,,,,,,,,,,,,,,,,,,
pt Sporting CP,1,6.0,8,0,,,,,,,,,,,,,,,,,,,,,,,
eng Tottenham,1,6.0,6,0,,,,,,,,,,,,,,,,,,,,,,,
