Squad,#_Pl,90s,SCA_SCA,SCA_SCA90,SCA_Types_PassLive,SCA_Types_PassDead,SCA_Types_TO,SCA_Types_Sh,SCA_Types_Fld,SCA_Types_Def,GCA_GCA,GCA_GCA90,GCA_Types_PassLive,GCA_Types_PassDead,GCA_Types_TO,GCA_Types_Sh,GCA_Types_Fld,GCA_Types_Def
nl Ajax,21,8.0,237,29.62,199,16,9,7,5,1,38,4.75,33,0,2,2,1,0
it Atalanta,21,6.0,152,25.33,119,11,7,8,4,3,23,3.83,19,1,1,1,1,0
es Atlético Madrid,22,10.0,154,15.40,113,9,10,13,6,3,15,1.50,11,1,1,2,0,0
es Barcelona,23,6.0,116,19.33,90,13,5,3,4,1,2,0.33,2,0,0,0,0,0
de Bayern Munich,24,10.0,342,34.20,261,16,30,18,12,5,54,5.40,39,0,6,5,3,1
pt Benfica,24,10.0,159,15.90,106,18,9,15,7,4,21,2.10,14,1,2,3,1,0
tr Beşiktaş,26,6.0,86,14.33,55,12,5,7,6,1,5,0.83,1,2,0,1,1,0
eng Chelsea,24,10.3,298,28.84,229,29,12,15,11,2,39,3.77,29,3,2,2,2,1
be Club Brugge,21,6.0,106,17.67,77,5,11,6,5,2,9,1.50,7,0,1,1,0,0
de Dortmund,23,6.0,154,25.67,111,9,21,7,6,0,18,3.00,11,1,3,1,2,0
ua Dynamo Kyiv,23,6.0,84,14.00,58,9,5,4,7,1,2,0.33,2,0,0,0,0,0
it Inter,22,8.0,224,28.00,168,24,7,15,7,3,16,2.00,10,2,2,2,0,0
it Juventus,28,8.0,186,23.25,151,11,10,8,5,1,18,2.25,13,0,2,1,2,0
fr Lille,23,8.0,149,18.62,94,15,10,14,15,1,13,1.62,9,0,1,1,2,0
eng Liverpool,28,13.0,390,30.00,276,31,33,28,17,5,46,3.54,25,4,7,6,3,1
se Malmö,21,6.0,62,10.33,43,4,5,3,3,4,2,0.33,2,0,0,0,0,0
eng Manchester City,26,12.3,348,28.22,273,19,17,18,16,5,51,4.14,43,1,1,4,1,1
eng Manchester Utd,31,8.0,150,18.75,119,9,4,5,12,1,21,2.62,19,1,0,0,1,0
it Milan,23,6.0,80,13.33,51,9,5,4,11,0,9,1.50,8,0,0,1,0,0
fr Paris S-G,21,8.0,165,20.62,135,4,12,6,7,1,28,3.50,19,1,3,2,2,1
pt Porto,22,6.0,104,17.33,73,15,6,4,5,1,7,1.17,5,0,1,0,1,0
de RB Leipzig,23,6.0,156,26.00,116,10,5,10,12,3,27,4.50,21,0,2,2,2,0
at RB Salzburg,21,8.0,137,17.12,94,9,9,13,11,1,16,2.00,11,0,0,2,3,0
es Real Madrid,25,13.7,327,23.93,270,13,18,11,14,1,46,3.37,38,0,2,2,4,0
es Sevilla,22,6.0,121,20.17,81,16,8,6,10,0,9,1.50,5,0,1,1,2,0
ua Shakhtar,25,6.0,144,24.00,108,10,14,9,1,2,4,0.67,4,0,0,0,0,0
md Sheriff Tiraspol,19,6.0,88,14.67,63,9,4,4,6,2,13,2.17,7,2,1,1,2,0
pt Sporting CP,27,8.0,136,17.00,97,18,7,7,4,3,24,3.00,17,3,1,2,1,0
es Villarreal,25,12.0,196,16.33,131,22,15,14,9,5,30,2.50,20,2,0,5,2,1
de Wolfsburg,21,6.0,69,11.50,49,11,1,1,7,0,7,1.17,4,2,0,1,0,0
ch Young Boys,24,6.0,129,21.50,95,11,8,8,2,5,11,1.83,8,2,0,0,0,1
ru Zenit,21,6.0,143,23.83,111,13,4,6,7,2,17,2.83,13,0,2,1,1,0
