Squad,#_Pl,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_npG-xG
nl Ajax,21,8.0,21,128,48,37.5,16.00,6.00,0.16,0.42,15.6,1,1,1,18.6,17.8,0.14,+2.4,+2.2
it Atalanta,21,6.0,12,82,31,37.8,13.67,5.17,0.15,0.39,18.0,3,0,0,10.2,10.2,0.13,+1.8,+1.8
es Atlético Madrid,22,10.0,9,95,25,26.3,9.50,2.50,0.08,0.32,17.9,4,1,1,12.2,11.4,0.13,-3.2,-3.4
es Barcelona,23,6.0,2,60,11,18.3,10.00,1.83,0.03,0.18,16.8,0,0,0,6.5,6.5,0.11,-4.5,-4.5
de Bayern Munich,24,10.0,30,186,66,35.5,18.60,6.60,0.15,0.41,18.4,9,3,4,26.3,23.3,0.13,+3.7,+3.7
pt Benfica,24,10.0,13,92,34,37.0,9.20,3.40,0.13,0.35,16.5,2,1,1,11.5,10.8,0.12,+1.5,+1.2
tr Beşiktaş,26,6.0,3,48,11,22.9,8.00,1.83,0.04,0.18,16.0,1,1,1,6.2,5.4,0.11,-3.2,-3.4
eng Chelsea,24,10.3,21,166,54,32.5,16.06,5.23,0.11,0.35,17.2,8,2,2,19.0,17.4,0.11,+2.0,+1.6
be Club Brugge,21,6.0,5,61,26,42.6,10.17,4.33,0.08,0.19,16.6,3,0,0,6.1,6.1,0.10,-1.1,-1.1
de Dortmund,23,6.0,10,83,27,32.5,13.83,4.50,0.10,0.30,17.3,3,2,2,11.5,9.9,0.12,-1.5,-1.9
ua Dynamo Kyiv,23,6.0,1,48,17,35.4,8.00,2.83,0.02,0.06,17.6,2,0,0,4.3,4.3,0.09,-3.3,-3.3
it Inter,22,8.0,9,133,38,28.6,16.62,4.75,0.07,0.24,16.2,4,0,0,12.8,12.8,0.11,-3.8,-3.8
it Juventus,28,8.0,11,102,34,33.3,12.75,4.25,0.09,0.26,17.6,1,2,2,13.3,11.7,0.12,-2.3,-2.7
fr Lille,23,8.0,8,88,20,22.7,11.00,2.50,0.07,0.30,19.1,8,2,2,10.5,8.9,0.10,-2.5,-2.9
eng Liverpool,28,13.0,28,222,79,35.6,17.08,6.08,0.12,0.34,18.0,6,1,2,27.3,25.8,0.12,+0.7,+1.2
se Malmö,21,6.0,1,36,7,19.4,6.00,1.17,0.03,0.14,21.3,1,0,0,1.6,1.6,0.05,-0.6,-0.6
eng Manchester City,26,12.3,28,190,65,34.2,15.41,5.27,0.14,0.40,16.2,10,2,2,26.1,24.6,0.14,+1.9,+1.4
eng Manchester Utd,31,8.0,12,87,40,46.0,10.87,5.00,0.14,0.30,17.7,5,0,0,9.4,9.4,0.11,+2.6,+2.6
it Milan,23,6.0,5,48,16,33.3,8.00,2.67,0.10,0.31,18.9,5,0,0,5.8,5.8,0.13,-0.8,-0.8
fr Paris S-G,21,8.0,15,85,35,41.2,10.62,4.37,0.15,0.37,17.2,2,2,4,14.5,11.3,0.14,+0.5,+1.7
pt Porto,22,6.0,4,64,17,26.6,10.67,2.83,0.05,0.18,16.5,0,1,1,8.0,7.2,0.11,-4.0,-4.2
de RB Leipzig,23,6.0,15,87,31,35.6,14.50,5.17,0.15,0.42,17.3,3,2,3,13.1,10.8,0.13,+1.9,+2.2
at RB Salzburg,21,8.0,10,84,34,40.5,10.50,4.25,0.08,0.21,21.3,6,3,5,12.3,8.4,0.10,-2.3,-1.4
es Real Madrid,25,13.7,28,179,66,36.9,13.10,4.83,0.14,0.38,18.0,9,3,3,21.6,19.2,0.11,+6.4,+5.8
es Sevilla,22,6.0,5,69,20,29.0,11.50,3.33,0.04,0.15,18.6,5,2,2,7.2,5.6,0.08,-2.2,-2.6
ua Shakhtar,25,6.0,2,79,20,25.3,13.17,3.33,0.03,0.10,19.2,1,0,0,6.8,6.8,0.09,-4.8,-4.8
md Sheriff Tiraspol,19,6.0,7,54,21,38.9,9.00,3.50,0.13,0.33,21.0,3,0,0,4.4,4.4,0.08,+2.6,+2.6
pt Sporting CP,27,8.0,14,75,30,40.0,9.37,3.75,0.16,0.40,17.0,0,2,3,12.2,9.8,0.13,+1.8,+2.2
es Villarreal,25,12.0,20,115,44,38.3,9.58,3.67,0.16,0.41,15.5,2,2,2,19.4,18.0,0.17,+0.6,0.0
de Wolfsburg,21,6.0,5,42,11,26.2,7.00,1.83,0.12,0.45,18.2,3,0,0,4.8,4.8,0.12,+0.2,+0.2
ch Young Boys,24,6.0,7,82,25,30.5,13.67,4.17,0.09,0.28,18.8,0,0,0,7.4,7.4,0.09,-0.4,-0.4
ru Zenit,21,6.0,9,79,25,31.6,13.17,4.17,0.10,0.32,17.9,3,1,2,9.8,8.3,0.11,-0.8,-0.3
