Squad,#_Pl,90s,Att,Pass_Types_Live,Pass_Types_Dead,Pass_Types_FK,Pass_Types_TB,Pass_Types_Sw,Pass_Types_Crs,Pass_Types_TI,Pass_Types_CK,Corner_Kicks_In,Corner_Kicks_Out,Corner_Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks
nl Ajax,21,8.0,4952,4542,389,92,18,29,146,192,38,7,5,1,4186,21,76
it Atalanta,21,6.0,3168,2855,300,85,6,49,102,136,27,12,15,0,2537,13,50
es Atlético Madrid,22,10.0,3955,3460,472,125,15,76,113,199,32,11,14,0,2953,23,86
es Barcelona,23,6.0,3747,3438,290,84,4,26,118,119,36,9,10,0,3185,19,58
de Bayern Munich,24,10.0,6637,6208,401,106,18,46,201,175,57,22,20,1,5697,28,72
pt Benfica,24,10.0,4035,3515,500,170,10,30,107,179,32,12,11,0,3125,20,80
tr Beşiktaş,26,6.0,2680,2399,262,78,13,24,77,84,20,13,5,1,2092,19,61
eng Chelsea,24,10.3,6826,6350,468,103,11,25,202,217,71,23,41,0,5889,8,93
be Club Brugge,21,6.0,2466,2149,296,69,9,24,94,119,37,19,6,0,1798,21,56
de Dortmund,23,6.0,3376,3092,266,58,7,20,92,119,34,15,14,0,2759,18,64
ua Dynamo Kyiv,23,6.0,2713,2396,291,87,6,20,64,112,22,6,2,1,2161,26,44
it Inter,22,8.0,4237,3906,313,88,12,41,178,114,51,26,21,0,3535,18,86
it Juventus,28,8.0,4501,4166,320,85,18,44,131,136,27,7,11,1,3798,15,66
fr Lille,23,8.0,3691,3270,399,118,5,45,110,182,29,14,9,0,2837,22,81
eng Liverpool,28,13.0,8675,8043,606,165,25,68,266,266,92,16,65,0,7308,26,119
se Malmö,21,6.0,2400,2114,282,74,6,21,50,116,8,3,4,0,1838,4,61
eng Manchester City,26,12.3,8008,7460,510,136,28,70,213,204,83,32,18,2,6979,38,99
eng Manchester Utd,31,8.0,4474,4083,378,104,12,54,109,153,30,6,17,0,3690,13,66
it Milan,23,6.0,2651,2338,293,91,13,39,79,115,17,6,8,0,2056,20,51
fr Paris S-G,21,8.0,4901,4534,350,116,21,21,60,126,29,3,7,0,4292,17,71
pt Porto,22,6.0,2550,2240,304,101,8,26,86,126,27,7,13,1,1925,6,56
de RB Leipzig,23,6.0,2923,2650,259,88,11,12,85,107,22,9,8,1,2288,14,56
at RB Salzburg,21,8.0,3368,2954,397,93,9,22,113,186,38,21,12,0,2457,17,85
es Real Madrid,25,13.7,7907,7316,573,172,26,85,177,220,55,15,15,1,6773,18,134
es Sevilla,22,6.0,3515,3188,318,97,6,72,150,141,37,13,14,0,2825,9,70
ua Shakhtar,25,6.0,3823,3568,246,69,18,8,73,82,34,20,10,0,3389,9,45
md Sheriff Tiraspol,19,6.0,1834,1566,256,56,3,12,72,82,16,7,3,1,1368,12,33
pt Sporting CP,27,8.0,3338,2939,388,151,14,28,97,147,27,1,19,2,2626,11,80
es Villarreal,25,12.0,5187,4580,590,161,22,30,120,224,41,14,13,1,4060,17,103
de Wolfsburg,21,6.0,2472,2196,273,81,3,18,70,103,15,11,0,0,1840,3,54
ch Young Boys,24,6.0,2925,2652,261,55,6,20,131,124,29,12,12,0,2337,12,45
ru Zenit,21,6.0,2956,2679,267,67,8,33,112,96,39,10,15,0,2433,10,47
