Squad,#_Pl,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty_Kicks_PKatt,Penalty_Kicks_PKA,Penalty_Kicks_PKsv,Penalty_Kicks_PKm,Penalty_Kicks_Save%
nl Ajax,2,8,8,720,8.0,8,1.00,22,15,72.7,6,1,1,2,25.0,2,2,0,0,0.0
it Atalanta,1,6,6,540,6.0,13,2.17,34,21,61.8,1,3,2,1,16.7,0,0,0,0,
es Atlético Madrid,1,10,10,900,10.0,10,1.00,36,26,77.8,3,3,4,3,30.0,2,2,0,0,0.0
es Barcelona,1,6,6,540,6.0,9,1.50,25,16,68.0,2,1,3,3,50.0,1,1,0,0,0.0
de Bayern Munich,2,10,10,900,10.0,7,0.70,25,18,72.0,7,2,1,4,40.0,0,0,0,0,
pt Benfica,1,10,10,900,10.0,17,1.70,52,35,67.3,3,4,3,5,50.0,1,0,1,0,100.0
tr Beşiktaş,2,6,6,540,6.0,19,3.17,43,24,62.8,0,0,6,0,0.0,3,3,0,0,0.0
eng Chelsea,2,10,10,930,10.3,10,0.97,23,13,60.9,7,1,2,5,50.0,1,1,0,0,0.0
be Club Brugge,1,6,6,540,6.0,20,3.33,47,27,63.8,1,1,4,0,0.0,3,3,0,0,0.0
de Dortmund,1,6,6,540,6.0,11,1.83,23,12,52.2,3,0,3,2,33.3,1,0,1,0,100.0
ua Dynamo Kyiv,2,6,6,540,6.0,11,1.83,28,17,64.3,0,1,5,1,16.7,1,1,0,0,0.0
it Inter,1,8,8,720,8.0,7,0.87,19,12,63.2,4,1,3,3,37.5,0,0,0,0,
it Juventus,2,8,8,720,8.0,10,1.25,24,15,66.7,5,1,2,4,50.0,2,2,0,0,0.0
fr Lille,2,8,8,720,8.0,8,1.00,24,16,75.0,3,2,3,3,37.5,2,2,0,0,0.0
eng Liverpool,1,13,13,1170,13.0,14,1.08,28,14,50.0,10,1,2,4,30.8,0,0,0,0,
se Malmö,2,6,6,540,6.0,14,2.33,44,29,77.3,0,1,5,0,0.0,5,4,1,0,20.0
eng Manchester City,3,12,12,1110,12.3,16,1.30,34,19,58.8,7,2,3,4,33.3,2,2,0,0,0.0
eng Manchester Utd,3,8,8,720,8.0,10,1.25,33,23,69.7,3,3,2,1,12.5,0,0,0,0,
it Milan,2,6,6,540,6.0,9,1.50,29,20,72.4,1,1,4,1,16.7,2,1,1,0,50.0
fr Paris S-G,2,8,8,720,8.0,11,1.37,41,29,75.6,4,2,2,2,25.0,2,1,1,0,50.0
pt Porto,1,6,6,540,6.0,11,1.83,28,18,60.7,1,2,3,2,33.3,0,0,0,0,
de RB Leipzig,2,6,6,540,6.0,14,2.33,27,14,55.6,2,1,3,1,16.7,3,2,0,1,0.0
at RB Salzburg,1,8,8,720,8.0,14,1.75,30,16,63.3,3,2,3,1,12.5,3,3,0,0,0.0
es Real Madrid,1,13,13,1230,13.7,14,1.02,72,57,80.6,9,0,4,5,38.5,1,0,1,0,100.0
es Sevilla,1,6,6,540,6.0,5,0.83,19,14,84.2,1,3,2,2,33.3,4,2,0,2,0.0
ua Shakhtar,3,6,6,540,6.0,12,2.00,35,24,65.7,0,2,4,1,16.7,0,0,0,0,
md Sheriff Tiraspol,2,6,6,540,6.0,11,1.83,43,32,76.7,2,1,3,1,16.7,1,1,0,0,0.0
pt Sporting CP,2,8,8,720,8.0,17,2.12,36,19,55.6,3,1,4,2,25.0,1,1,0,0,0.0
es Villarreal,1,12,12,1080,12.0,16,1.33,55,40,70.9,5,3,4,3,25.0,0,0,0,0,
de Wolfsburg,2,6,6,540,6.0,10,1.67,33,23,72.7,1,2,3,1,16.7,1,1,0,0,0.0
ch Young Boys,2,6,6,540,6.0,12,2.00,32,20,62.5,1,2,3,0,0.0,0,0,0,0,
ru Zenit,2,6,6,540,6.0,10,1.67,26,16,65.4,1,2,3,1,16.7,1,1,0,0,0.0
