Squad,#_Pl,Poss,90s,Touches_Touches,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR
nl Ajax,21,61.4,8.0,5809,416,1413,2600,1844,305,5808,157,82,52.2,74,47.1,3720,17436,9212,179,117,39,119,66,4140,505
it Atalanta,21,52.0,6.0,3891,301,1142,1646,1137,148,3891,108,50,46.3,58,53.7,2151,11339,5609,133,101,40,134,65,2514,259
es Atlético Madrid,22,40.6,10.0,4965,573,1717,2207,1092,177,4964,134,78,58.2,56,41.8,2580,13669,7225,161,111,40,135,90,2925,283
es Barcelona,23,57.8,6.0,4303,331,1036,2168,1140,144,4303,113,77,68.1,36,31.9,2723,13501,7284,142,124,35,91,80,3166,305
de Bayern Munich,24,62.9,10.0,7713,559,2009,3459,2308,348,7709,236,162,68.6,74,31.4,5223,25172,13674,238,195,63,158,86,5656,701
pt Benfica,24,38.9,10.0,5209,751,2013,2190,1059,157,5208,201,108,53.7,93,46.3,2906,15265,7457,155,124,45,146,101,3102,277
tr Beşiktaş,26,44.2,6.0,3409,434,1210,1647,581,86,3408,125,77,61.6,48,38.4,1719,8959,4483,98,69,23,112,73,2071,177
eng Chelsea,24,61.0,10.3,7885,440,1665,3731,2560,309,7883,195,108,55.4,87,44.6,4657,23506,12819,226,237,39,152,93,5853,568
be Club Brugge,21,38.8,6.0,3160,423,1183,1180,829,122,3160,130,83,63.8,47,36.2,1532,8348,4016,83,68,26,98,50,1779,204
de Dortmund,23,51.8,6.0,4022,341,1092,1933,1040,155,4020,141,92,65.2,49,34.8,2566,13434,7220,137,97,40,78,59,2735,252
ua Dynamo Kyiv,23,41.2,6.0,3389,486,1411,1293,715,96,3389,77,37,48.1,40,51.9,1730,8816,4542,82,63,18,95,32,2147,173
it Inter,22,49.1,8.0,5033,573,1670,2147,1254,213,5033,93,44,47.3,49,52.7,3117,15325,8012,146,92,33,105,49,3493,386
it Juventus,28,51.5,8.0,5368,490,1566,2628,1211,179,5366,106,67,63.2,39,36.8,3045,14874,7748,153,116,37,123,66,3768,312
fr Lille,23,46.8,8.0,4567,417,1404,2209,1005,133,4565,172,99,57.6,73,42.4,2247,12562,6140,129,81,32,155,70,2811,281
eng Liverpool,28,61.8,13.0,10137,637,2450,5012,2772,403,10135,304,164,53.9,139,45.7,5949,28807,14815,291,244,96,249,125,7272,734
se Malmö,21,38.0,6.0,2992,442,1201,1369,441,36,2992,71,40,56.3,31,43.7,1900,8357,3417,53,36,8,78,80,1827,128
eng Manchester City,26,60.1,12.3,9140,613,2050,4436,2720,383,9138,226,135,59.7,91,40.3,6632,33504,18944,338,275,85,157,92,6905,750
eng Manchester Utd,31,53.9,8.0,5302,451,1556,2571,1222,137,5302,131,68,51.9,63,48.1,2712,14508,7451,133,101,27,140,56,3657,314
it Milan,23,46.8,6.0,3367,425,1288,1478,648,94,3367,136,78,57.4,58,42.6,1684,10201,5178,91,86,20,118,68,2037,160
fr Paris S-G,21,54.9,8.0,5796,717,1998,2661,1183,171,5792,188,113,60.1,75,39.9,3146,17376,9071,166,137,61,115,85,4265,274
pt Porto,22,47.8,6.0,3226,403,1106,1349,813,123,3225,102,51,50.0,51,50.0,1673,8807,4311,90,68,25,113,50,1911,155
de RB Leipzig,23,49.0,6.0,3582,389,1174,1494,939,170,3579,79,45,57.0,34,43.0,1591,8855,4394,88,81,29,80,58,2270,242
at RB Salzburg,21,44.4,8.0,4325,419,1457,1857,1068,119,4320,140,69,49.3,71,50.7,2162,11009,6036,127,79,39,158,59,2433,292
es Real Madrid,25,51.1,13.7,9305,1023,3127,3737,2521,348,9302,239,136,56.9,103,43.1,5287,29734,15396,289,223,79,154,115,6725,547
es Sevilla,22,60.5,6.0,4134,350,1404,1741,1013,115,4132,134,65,48.5,69,51.5,2445,10226,4994,87,75,19,95,48,2807,295
ua Shakhtar,25,58.8,6.0,4405,442,1191,2165,1078,140,4405,123,71,57.7,52,42.3,2989,15395,8760,146,119,39,86,59,3350,290
md Sheriff Tiraspol,19,29.8,6.0,2580,526,1279,869,467,65,2580,85,51,60.0,34,40.0,1487,8270,4384,89,59,19,87,59,1354,99
pt Sporting CP,27,41.4,8.0,4220,609,1690,1905,676,128,4217,127,70,55.1,57,44.9,2342,12181,6159,126,79,35,131,68,2610,227
es Villarreal,25,43.2,12.0,6547,934,2523,2569,1516,208,6545,211,94,44.5,117,55.5,3473,18876,10004,184,130,51,191,104,3982,315
de Wolfsburg,21,43.2,6.0,3196,412,1303,1371,567,66,3196,124,64,51.6,60,48.4,1608,8039,4222,79,54,15,121,42,1822,156
ch Young Boys,24,50.0,6.0,3613,352,1295,1553,806,117,3613,118,54,45.8,64,54.2,2339,11515,5793,111,78,20,119,54,2323,241
ru Zenit,21,45.7,6.0,3580,372,1149,1587,881,146,3579,71,44,62.0,27,38.0,2196,10438,5408,87,81,20,100,33,2421,224
