Squad,#_Pl,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial_Duels_Won,Aerial_Duels_Lost,Aerial_Duels_Won%
nl Ajax,21,8.0,15,0,0,116,79,21,146,63,95,1,2,1,445,101,88,53.4
it Atalanta,21,6.0,9,0,0,68,74,13,102,74,66,0,0,0,371,87,63,58.0
es Atlético Madrid,22,10.0,24,4,1,128,113,23,113,110,107,0,2,0,504,121,145,45.5
es Barcelona,23,6.0,13,1,1,83,66,19,118,63,61,0,1,0,315,79,54,59.4
de Bayern Munich,24,10.0,12,0,0,115,94,28,201,112,98,2,0,0,588,109,92,54.2
pt Benfica,24,10.0,20,0,0,110,127,20,107,107,84,0,1,1,490,128,136,48.5
tr Beşiktaş,26,6.0,16,2,1,63,69,19,77,83,80,0,3,0,375,54,61,47.0
eng Chelsea,24,10.3,14,0,0,134,92,8,202,84,95,2,1,0,534,137,120,53.3
be Club Brugge,21,6.0,11,0,0,62,57,21,94,90,61,0,3,0,356,70,44,61.4
de Dortmund,23,6.0,8,2,0,64,46,18,92,61,66,2,1,1,377,57,62,47.9
ua Dynamo Kyiv,23,6.0,10,0,0,54,80,26,64,73,54,0,1,0,305,55,78,41.4
it Inter,22,8.0,12,2,1,85,77,18,178,84,76,0,0,0,402,82,80,50.6
it Juventus,28,8.0,10,0,0,78,85,15,131,93,84,2,2,1,413,92,83,52.6
fr Lille,23,8.0,26,0,0,89,115,22,110,57,86,1,2,0,444,120,111,51.9
eng Liverpool,28,13.0,15,0,0,151,122,26,266,139,127,1,0,0,813,178,159,52.8
se Malmö,21,6.0,14,1,0,74,64,4,50,68,41,0,5,0,279,53,80,39.8
eng Manchester City,26,12.3,22,1,0,126,119,38,213,140,99,1,2,1,637,119,100,54.3
eng Manchester Utd,31,8.0,17,1,0,80,97,13,109,85,74,0,0,0,416,98,77,56.0
it Milan,23,6.0,17,1,1,73,85,20,79,58,65,0,2,1,352,96,82,53.9
fr Paris S-G,21,8.0,21,0,0,76,105,17,60,55,63,4,2,0,370,31,51,37.8
pt Porto,22,6.0,17,3,0,88,74,6,86,53,67,1,0,1,326,86,115,42.8
de RB Leipzig,23,6.0,13,1,1,96,65,14,85,70,52,3,3,1,353,61,78,43.9
at RB Salzburg,21,8.0,16,0,0,129,89,17,113,96,94,4,3,0,506,94,134,41.2
es Real Madrid,25,13.7,25,0,0,120,153,18,177,132,141,2,1,0,666,119,106,52.9
es Sevilla,22,6.0,20,2,2,75,91,9,150,64,42,2,4,0,391,94,85,52.5
ua Shakhtar,25,6.0,5,0,0,63,53,9,73,48,45,0,0,1,274,53,47,53.0
md Sheriff Tiraspol,19,6.0,13,0,0,64,50,12,72,67,58,0,1,0,275,58,70,45.3
pt Sporting CP,27,8.0,21,0,0,85,115,11,97,115,72,2,1,0,385,69,79,46.6
es Villarreal,25,12.0,26,2,2,115,115,17,120,114,110,1,0,1,589,119,156,43.3
de Wolfsburg,21,6.0,25,2,2,89,66,3,70,64,61,0,1,0,350,99,80,55.3
ch Young Boys,24,6.0,11,0,0,87,44,12,131,87,63,0,0,0,369,56,64,46.7
ru Zenit,21,6.0,9,1,1,50,65,10,112,56,46,2,1,0,317,77,72,51.7
