Squad,#_Pl,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att_GK,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal_Kicks_Att,Goal_Kicks_Launch%,Goal_Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist
nl Ajax,2,8.0,8,2,0,0,1,9.2,0.33,+2.2,+0.27,21,56,37.5,246,21,20.3,22.4,51,11.8,23.8,71,0,0.0,6,0.75,20.2
it Atalanta,1,6.0,13,0,0,3,0,12.0,0.35,-1.0,-0.16,22,58,37.9,134,28,23.9,30.4,33,78.8,55.4,61,2,3.3,7,1.17,17.9
es Atlético Madrid,1,10.0,10,2,0,1,0,13.3,0.33,+3.3,+0.33,45,178,25.3,193,36,60.1,41.4,97,63.9,45.1,116,9,7.8,7,0.70,13.2
es Barcelona,1,6.0,9,1,0,0,0,8.4,0.31,-0.6,-0.10,19,43,44.2,183,25,18.6,27.3,36,25.0,29.6,36,4,11.1,5,0.83,14.8
de Bayern Munich,2,10.0,7,0,0,0,0,7.9,0.31,+0.9,+0.09,41,67,61.2,351,50,17.4,27.4,46,13.0,24.5,72,3,4.2,26,2.60,23.1
pt Benfica,1,10.0,17,0,1,2,1,19.8,0.37,+3.8,+0.38,54,153,35.3,265,50,41.9,36.8,92,45.7,39.9,152,4,2.6,5,0.50,13.6
tr Beşiktaş,2,6.0,19,3,0,3,0,16.7,0.33,-2.3,-0.38,41,90,45.6,139,31,38.1,33.7,56,66.1,47.1,75,7,9.3,13,2.17,23.4
eng Chelsea,2,10.3,10,1,0,0,0,9.1,0.35,-0.9,-0.09,13,46,28.3,197,43,16.2,33.3,56,25.0,25.9,76,1,1.3,9,0.87,13.0
be Club Brugge,1,6.0,20,3,0,0,0,20.4,0.38,+0.4,+0.07,53,98,54.1,176,19,44.3,35.4,47,42.6,36.4,43,4,9.3,13,2.17,16.5
de Dortmund,1,6.0,11,0,0,0,1,7.9,0.30,-2.1,-0.35,23,42,54.8,141,17,24.1,28.0,38,21.1,29.2,65,2,3.1,6,1.00,15.8
ua Dynamo Kyiv,2,6.0,11,1,0,1,0,9.3,0.31,-1.7,-0.29,37,102,36.3,178,33,41.0,40.0,53,54.7,45.6,86,5,5.8,1,0.17,7.0
it Inter,1,8.0,7,0,1,2,0,5.2,0.27,-1.8,-0.23,17,41,41.5,217,45,17.5,25.2,45,6.7,17.4,81,2,2.5,3,0.38,12.2
it Juventus,2,8.0,10,2,0,2,1,8.6,0.28,-0.4,-0.04,18,50,36.0,151,36,24.5,30.3,54,24.1,26.3,115,5,4.3,5,0.63,13.4
fr Lille,2,8.0,8,2,0,1,0,8.0,0.26,0.0,0.00,30,115,26.1,156,35,48.1,29.9,54,74.1,51.1,113,7,6.2,1,0.13,4.0
eng Liverpool,1,13.0,14,0,0,2,0,14.5,0.52,+0.5,+0.04,39,84,46.4,432,74,15.5,26.6,56,30.4,32.6,99,7,7.1,18,1.38,18.2
se Malmö,2,6.0,14,4,0,2,0,16.9,0.28,+2.9,+0.49,27,96,28.1,110,20,49.1,41.5,64,65.6,49.5,89,1,1.1,3,0.50,7.2
eng Manchester City,3,12.3,16,2,0,0,1,12.7,0.31,-2.3,-0.19,33,76,43.4,296,42,19.9,13.0,58,29.3,33.9,88,2,2.3,16,1.30,18.0
eng Manchester Utd,3,8.0,10,0,0,2,0,8.9,0.27,-1.1,-0.13,27,79,34.2,137,27,36.5,30.3,73,39.7,39.0,94,1,1.1,10,1.25,
it Milan,2,6.0,9,1,0,1,1,7.6,0.20,-0.4,-0.06,23,66,34.8,160,42,29.4,32.6,55,34.5,35.8,99,4,4.0,4,0.67,15.4
fr Paris S-G,2,8.0,11,1,0,0,0,13.3,0.28,+2.3,+0.28,15,49,30.6,197,48,16.2,26.2,60,28.3,26.0,114,4,3.5,11,1.38,10.6
pt Porto,1,6.0,11,0,0,1,1,10.4,0.37,+0.4,+0.06,56,149,37.6,247,26,53.0,40.8,33,54.5,43.0,72,6,8.3,12,2.00,19.6
de RB Leipzig,2,6.0,14,2,0,3,1,10.9,0.37,-2.1,-0.36,26,71,36.6,193,25,33.7,50.6,22,27.3,26.4,65,5,7.7,8,1.33,15.2
at RB Salzburg,1,8.0,14,3,1,1,0,11.5,0.29,-2.5,-0.31,32,97,33.0,173,35,37.0,35.3,59,55.9,43.9,103,5,4.9,10,1.25,17.3
es Real Madrid,1,13.7,14,0,0,1,0,18.6,0.25,+4.6,+0.34,43,160,26.9,399,74,30.3,31.4,97,40.2,35.0,155,8,5.2,12,0.88,16.0
