Squad,#_Pl,Age,Playing_Time_MP,Playing_Time_Min,Playing_Time_Mn/MP,Playing_Time_Min%,Playing_Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team_Success_PPM,Team_Success_onG,Team_Success_onGA,Team_Success_+/-,Team_Success_+/-90,Team_Success_xG_onxG,Team_Success_xG_onxGA,Team_Success_xG_xG+/-,Team_Success_xG_xG+/-90
nl Ajax,21,26.0,8,720,90,100,8.0,88,84,60,28,19,61,2.38,22,8,+14,+1.75,18.6,9.8,+8.9,+1.11
it Atalanta,21,28.2,6,540,90,100,6.0,66,80,40,26,25,40,1.00,12,13,-1,-0.17,10.2,9.1,+1.1,+0.18
es Atlético Madrid,22,27.9,10,900,90,100,10.0,110,80,65,42,24,55,1.20,9,10,-1,-0.10,12.2,13.2,-1.1,-0.11
es Barcelona,23,25.9,6,540,90,100,6.0,66,81,40,25,24,44,1.17,2,9,-7,-1.17,6.5,9.5,-3.0,-0.51
de Bayern Munich,24,26.9,10,900,90,100,10.0,110,83,68,43,17,62,2.30,31,7,+24,+2.40,26.3,7.7,+18.6,+1.86
pt Benfica,24,27.7,10,900,90,100,10.0,110,82,63,47,18,72,1.30,14,17,-3,-0.30,11.5,21.1,-9.6,-0.96
tr Beşiktaş,26,28.0,6,540,90,100,6.0,66,82,43,22,22,31,0.00,3,19,-16,-2.67,6.2,19.7,-13.5,-2.26
eng Chelsea,24,27.4,10,930,93,100,10.3,110,83,68,42,26,68,2.20,21,10,+11,+1.06,19.0,11.0,+8.0,+0.77
be Club Brugge,21,26.2,6,540,90,100,6.0,66,83,43,23,20,34,0.67,6,20,-14,-2.33,6.1,19.5,-13.4,-2.23
de Dortmund,23,26.2,6,540,90,100,6.0,66,78,38,27,27,28,1.50,10,11,-1,-0.17,11.5,7.6,+3.8,+0.64
ua Dynamo Kyiv,23,25.5,6,540,90,100,6.0,66,82,42,24,21,48,0.17,1,11,-10,-1.67,4.3,9.2,-4.9,-0.82
it Inter,22,29.0,8,720,90,100,8.0,88,81,46,40,19,53,1.63,9,7,+2,+0.25,12.8,7.8,+5.0,+0.62
it Juventus,28,27.3,8,720,90,100,8.0,88,84,53,35,16,35,2.00,11,10,+1,+0.12,13.3,10.6,+2.7,+0.34
fr Lille,23,26.4,8,720,90,100,8.0,88,84,58,30,16,36,1.38,8,8,0,0.00,10.5,7.5,+2.9,+0.37
eng Liverpool,28,27.3,13,1170,90,100,13.0,143,82,84,60,20,94,2.38,30,14,+16,+1.23,27.3,13.1,+14.2,+1.09
se Malmö,21,28.4,6,540,90,100,6.0,66,81,41,24,24,37,0.17,1,14,-13,-2.17,1.6,15.1,-13.5,-2.25
eng Manchester City,26,27.2,12,1110,93,100,12.3,132,84,88,43,25,80,1.92,29,16,+13,+1.05,26.1,11.2,+15.0,+1.22
eng Manchester Utd,31,27.2,8,720,90,100,8.0,88,82,50,37,18,50,1.50,12,10,+2,+0.25,9.4,10.6,-1.2,-0.15
it Milan,23,26.0,6,540,90,100,6.0,66,79,37,28,25,29,0.67,6,9,-3,-0.50,5.8,10.2,-4.5,-0.74
fr Paris S-G,21,27.3,8,720,90,100,8.0,88,85,63,25,19,64,1.75,15,11,+4,+0.50,14.5,13.9,+0.6,+0.08
pt Porto,22,26.3,6,540,90,100,6.0,66,79,35,30,24,41,0.83,4,11,-7,-1.17,8.0,8.8,-0.8,-0.13
de RB Leipzig,23,25.0,6,540,90,100,6.0,66,80,36,29,23,20,1.17,15,14,+1,+0.17,13.1,10.5,+2.6,+0.43
at RB Salzburg,21,22.9,8,720,90,100,8.0,88,82,57,31,21,61,1.38,10,14,-4,-0.50,12.3,12.7,-0.5,-0.06
es Real Madrid,25,28.0,13,1230,95,100,13.7,143,87,89,54,19,101,2.08,29,14,+15,+1.10,21.6,20.1,+1.5,+0.11
es Sevilla,22,28.9,6,540,90,100,6.0,66,78,35,29,25,41,1.00,5,5,0,0.00,7.2,7.8,-0.6,-0.09
ua Shakhtar,25,25.2,6,540,90,100,6.0,66,80,40,26,24,46,0.33,2,12,-10,-1.67,6.8,10.1,-3.3,-0.55
md Sheriff Tiraspol,19,26.0,6,540,90,100,6.0,66,84,47,19,21,34,1.17,7,11,-4,-0.67,4.4,12.2,-7.9,-1.32
pt Sporting CP,27,26.7,8,720,90,100,8.0,88,81,49,39,20,47,1.25,14,17,-3,-0.37,12.2,12.7,-0.5,-0.07
es Villarreal,25,28.0,12,1080,90,100,12.0,132,84,79,52,15,88,1.50,20,16,+4,+0.33,19.4,18.6,+0.9,+0.07
de Wolfsburg,21,26.1,6,540,90,100,6.0,66,82,40,24,20,35,0.83,5,10,-5,-0.83,4.8,11.1,-6.2,-1.04
ch Young Boys,24,25.5,6,540,90,100,6.0,66,83,40,26,17,45,0.83,7,12,-5,-0.83,7.4,10.3,-3.0,-0.50
ru Zenit,21,27.9,6,540,90,100,6.0,66,83,37,28,17,32,0.83,10,10,0,0.00,9.8,8.0,+1.9,+0.31
