Rk,Squad,Comp,#_Pl,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty_Kicks_PKatt,Penalty_Kicks_PKA,Penalty_Kicks_PKsv,Penalty_Kicks_PKm,Penalty_Kicks_Save%
1,Alavés,es La Liga,2,38,38,3420,38.0,43,1.13,156,119,75.0,14,13,11,12,31.6,6,4,2,0,33.3
2,Angers,fr Ligue 1,3,38,38,3420,38.0,49,1.29,127,78,63.0,13,7,18,9,23.7,2,2,0,0,0.0
3,Arsenal,eng Premier League,3,38,38,3420,38.0,44,1.16,167,123,79.6,23,6,9,13,34.2,10,10,0,0,0.0
4,Atalanta,it Serie A,3,38,38,3420,38.0,41,1.08,122,81,69.7,21,9,8,16,42.1,4,4,0,0,0.0
5,Athletic Club,es La Liga,2,38,38,3420,38.0,43,1.13,119,79,64.7,19,6,13,10,26.3,3,1,2,0,66.7
6,Atlético Madrid,es La Liga,2,38,38,3420,38.0,27,0.71,111,87,78.4,23,9,6,20,52.6,4,3,1,0,25.0
7,Augsburg,de Bundesliga,2,34,34,3060,34.0,51,1.5,176,125,73.3,9,11,14,8,23.5,5,4,0,1,0.0
8,Barcelona,es La Liga,3,38,38,3420,38.0,37,0.97,160,123,76.9,28,6,4,13,34.2,0,0,0,0,
9,Bastia,fr Ligue 1,4,38,38,3419,38.0,54,1.42,180,126,72.2,8,10,20,9,23.7,8,4,3,1,42.9
10,Bayern Munich,de Bundesliga,3,34,34,3060,34.0,22,0.65,100,78,80.0,25,7,2,17,50.0,3,2,1,0,33.3
11,Betis,es La Liga,2,38,38,3420,38.0,64,1.68,187,128,67.9,10,9,19,10,26.3,5,4,1,0,20.0
12,Bologna,it Serie A,2,38,38,3420,38.0,58,1.53,188,130,71.3,11,8,19,9,23.7,6,4,1,1,20.0
13,Bordeaux,fr Ligue 1,2,38,38,3420,38.0,43,1.13,139,96,71.9,15,14,9,13,34.2,4,4,0,0,0.0
14,Bournemouth,eng Premier League,3,38,38,3420,38.0,67,1.76,189,122,65.6,12,10,16,10,26.3,5,2,2,1,50.0
15,Burnley,eng Premier League,2,38,38,3420,38.0,55,1.45,208,153,75.5,11,7,20,10,26.3,5,4,1,0,20.0
16,Caen,fr Ligue 1,3,38,38,3420,38.0,65,1.71,171,106,66.7,10,7,21,9,23.7,8,8,0,0,0.0
17,Cagliari,it Serie A,4,38,38,3418,38.0,74,1.95,214,140,68.7,14,5,19,4,10.5,12,7,3,2,30.0
18,Celta Vigo,es La Liga,3,38,38,3420,38.0,69,1.82,181,121,66.9,13,6,19,7,18.4,10,9,0,1,0.0
19,Chelsea,eng Premier League,2,38,38,3420,38.0,33,0.87,105,72,70.5,30,3,5,16,42.1,2,2,0,0,0.0
20,Chievo,it Serie A,2,38,38,3420,38.0,61,1.61,188,127,69.7,12,7,19,10,26.3,6,4,0,2,0.0
21,Crotone,it Serie A,2,38,38,3420,38.0,58,1.53,216,158,75.9,9,7,22,4,10.5,10,6,2,2,25.0
22,Crystal Palace,eng Premier League,2,38,38,3420,38.0,63,1.66,176,113,65.3,12,5,21,7,18.4,2,2,0,0,0.0
23,Darmstadt 98,de Bundesliga,2,34,34,3060,34.0,63,1.85,187,124,69.5,7,4,23,3,8.8,8,6,1,1,14.3
24,Dijon,fr Ligue 1,2,38,38,3420,38.0,58,1.53,200,142,75.5,8,13,17,10,26.3,12,9,1,2,10.0
25,Dortmund,de Bundesliga,2,34,34,3060,34.0,40,1.18,125,85,69.6,18,10,6,9,26.5,2,2,0,0,0.0
26,Eibar,es La Liga,3,38,38,3413,38.0,51,1.34,152,107,69.7,15,9,14,10,26.3,6,5,1,0,16.7
