Rk,Squad,Comp,#_Pl,90s,SCA_SCA,SCA_SCA90,SCA_Types_PassLive,SCA_Types_PassDead,SCA_Types_TO,SCA_Types_Sh,SCA_Types_Fld,SCA_Types_Def,GCA_GCA,GCA_GCA90,GCA_Types_PassLive,GCA_Types_PassDead,GCA_Types_TO,GCA_Types_Sh,GCA_Types_Fld,GCA_Types_Def
1,Alavés,es La Liga,25,38.0,,,,,,,,,,,,,,,,
2,Angers,fr Ligue 1,29,38.0,,,,,,,,,,,,,,,,
3,Arsenal,eng Premier League,29,38.0,,,,,,,,,,,,,,,,
4,Atalanta,it Serie A,32,38.0,,,,,,,,,,,,,,,,
5,Athletic Club,es La Liga,25,38.0,,,,,,,,,,,,,,,,
6,Atlético Madrid,es La Liga,22,38.0,,,,,,,,,,,,,,,,
7,Augsburg,de Bundesliga,28,34.0,,,,,,,,,,,,,,,,
8,Barcelona,es La Liga,25,38.0,,,,,,,,,,,,,,,,
9,Bastia,fr Ligue 1,29,38.0,,,,,,,,,,,,,,,,
10,Bayern Munich,de Bundesliga,22,34.0,,,,,,,,,,,,,,,,
11,Betis,es La Liga,27,38.0,,,,,,,,,,,,,,,,
12,Bologna,it Serie A,28,38.0,,,,,,,,,,,,,,,,
13,Bordeaux,fr Ligue 1,27,38.0,,,,,,,,,,,,,,,,
14,Bournemouth,eng Premier League,27,38.0,,,,,,,,,,,,,,,,
15,Burnley,eng Premier League,27,38.0,,,,,,,,,,,,,,,,
16,Caen,fr Ligue 1,27,38.0,,,,,,,,,,,,,,,,
17,Cagliari,it Serie A,34,38.0,,,,,,,,,,,,,,,,
18,Celta Vigo,es La Liga,27,38.0,,,,,,,,,,,,,,,,
19,Chelsea,eng Premier League,24,38.0,,,,,,,,,,,,,,,,
20,Chievo,it Serie A,29,38.0,,,,,,,,,,,,,,,,
21,Crotone,it Serie A,31,38.0,,,,,,,,,,,,,,,,
22,Crystal Palace,eng Premier League,31,38.0,,,,,,,,,,,,,,,,
23,Darmstadt 98,de Bundesliga,31,34.0,,,,,,,,,,,,,,,,
24,Dijon,fr Ligue 1,27,38.0,,,,,,,,,,,,,,,,
