Rk,Squad,Comp,#_Pl,Age,Poss,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G-PK,Per_90_Minutes_G+A-PK
1,Alavés,es La Liga,25,25.4,44.4,38,418,3420,38.0,41,27,68,37,4,4,120,5.0,1.08,0.71,1.79,0.97,1.68
2,Angers,fr Ligue 1,29,26.7,46.1,38,418,3420,38.0,39,25,64,36,3,4,60,1.0,1.03,0.66,1.68,0.95,1.61
3,Arsenal,eng Premier League,29,26.9,58.9,38,418,3420,38.0,73,55,128,69,4,6,69,0.0,1.92,1.45,3.37,1.82,3.26
4,Atalanta,it Serie A,32,25.2,50.2,38,417,3420,38.0,62,43,105,57,5,5,90,2.0,1.63,1.13,2.76,1.5,2.63
5,Athletic Club,es La Liga,25,26.8,51.1,38,418,3420,38.0,53,31,84,45,8,8,89,2.0,1.39,0.82,2.21,1.18,2.0
6,Atlético Madrid,es La Liga,22,26.9,48.4,38,418,3420,38.0,70,54,124,68,2,7,85,3.0,1.84,1.42,3.26,1.79,3.21
7,Augsburg,de Bundesliga,28,27.1,41.9,34,374,3060,34.0,35,22,57,32,3,4,71,2.0,1.03,0.65,1.68,0.94,1.59
8,Barcelona,es La Liga,25,26.9,66.1,38,418,3420,38.0,113,71,184,105,8,9,75,1.0,2.97,1.87,4.84,2.76,4.63
9,Bastia,fr Ligue 1,29,26.9,43.4,38,418,3420,38.0,28,18,46,28,0,1,85,7.0,0.74,0.47,1.21,0.74,1.21
10,Bayern Munich,de Bundesliga,22,28.0,69.0,34,374,3060,34.0,88,64,152,83,5,5,47,0.0,2.59,1.88,4.47,2.44,4.32
11,Betis,es La Liga,27,26.1,47.9,38,418,3420,38.0,41,27,68,39,2,2,106,5.0,1.08,0.71,1.79,1.03,1.74
12,Bologna,it Serie A,28,26.3,46.3,38,418,3420,38.0,39,29,68,38,1,2,87,2.0,1.03,0.76,1.79,1.0,1.76
13,Bordeaux,fr Ligue 1,27,25.9,48.3,38,418,3420,38.0,51,35,86,47,4,7,67,1.0,1.34,0.92,2.26,1.24,2.16
14,Bournemouth,eng Premier League,27,27.0,51.5,38,418,3420,38.0,53,33,86,46,7,10,56,2.0,1.39,0.87,2.26,1.21,2.08
15,Burnley,eng Premier League,27,27.7,40.3,38,418,3420,38.0,39,24,63,33,6,6,67,1.0,1.03,0.63,1.66,0.87,1.5
16,Caen,fr Ligue 1,27,28.7,45.8,38,418,3420,38.0,35,28,63,31,4,5,61,1.0,0.92,0.74,1.66,0.82,1.55
17,Cagliari,it Serie A,34,28.7,43.2,38,418,3420,38.0,53,30,83,49,4,6,104,3.0,1.39,0.79,2.18,1.29,2.08
18,Celta Vigo,es La Liga,27,26.1,53.2,38,418,3420,38.0,52,33,85,45,7,7,111,8.0,1.37,0.87,2.24,1.18,2.05
19,Chelsea,eng Premier League,24,27.2,55.1,38,418,3420,38.0,83,53,136,81,2,4,72,0.0,2.18,1.39,3.58,2.13,3.53
20,Chievo,it Serie A,29,31.3,46.7,38,418,3420,38.0,42,29,71,38,4,5,88,3.0,1.11,0.76,1.87,1.0,1.76
21,Crotone,it Serie A,31,26.0,37.1,38,418,3420,38.0,34,22,56,30,4,5,93,3.0,0.89,0.58,1.47,0.79,1.37
22,Crystal Palace,eng Premier League,31,27.7,45.4,38,418,3420,38.0,48,32,80,44,4,7,79,0.0,1.26,0.84,2.11,1.16,2.0
23,Darmstadt 98,de Bundesliga,31,27.6,38.3,34,374,3060,34.0,28,16,44,23,5,7,76,5.0,0.82,0.47,1.29,0.68,1.15
24,Dijon,fr Ligue 1,27,27.7,46.4,38,418,3420,38.0,42,29,71,39,3,4,74,3.0,1.11,0.76,1.87,1.03,1.79
25,Dortmund,de Bundesliga,27,25.3,62.0,34,374,3060,34.0,71,49,120,66,5,7,57,,2.09,1.44,3.53,1.94,3.38
26,Eibar,es La Liga,24,26.9,47.8,38,418,3420,38.0,53,34,87,47,6,8,96,7.0,1.39,0.89,2.29,1.24,2.13
27,Eint Frankfurt,de Bundesliga,26,25.9,49.9,34,374,3060,34.0,35,24,59,33,2,6,86,1.0,1.03,0.71,1.74,0.97,1.68
28,Empoli,it Serie A,29,26.8,49.0,38,418,3420,38.0,29,19,48,25,4,5,107,0.0,0.76,0.5,1.26,0.66,1.16
29,Espanyol,es La Liga,27,27.2,44.0,38,418,3420,38.0,48,36,84,46,2,4,82,2.0,1.26,0.95,2.21,1.21,2.16
30,Everton,eng Premier League,27,27.5,52.1,38,418,3420,38.0,58,45,103,55,3,4,74,1.0,1.53,1.18,2.71,1.45,2.63
31,Fiorentina,it Serie A,30,27.3,58.3,38,418,3420,38.0,62,46,108,56,6,10,98,3.0,1.63,1.21,2.84,1.47,2.68
32,Freiburg,de Bundesliga,25,24.7,46.7,34,374,3060,34.0,42,28,70,36,6,8,56,0.0,1.24,0.82,2.06,1.06,1.88
33,Genoa,it Serie A,33,26.9,48.8,38,418,3420,38.0,36,30,66,34,2,3,97,4.0,0.95,0.79,1.74,0.89,1.68
34,Gladbach,de Bundesliga,24,25.3,53.9,34,374,3060,34.0,44,27,71,43,1,4,50,2.0,1.29,0.79,2.09,1.26,2.06
35,Granada,es La Liga,35,24.7,45.1,38,418,3420,38.0,30,19,49,30,0,1,116,6.0,0.79,0.5,1.29,0.79,1.29
36,Guingamp,fr Ligue 1,25,27.6,47.5,38,418,3420,38.0,46,33,79,42,4,4,63,3.0,1.21,0.87,2.08,1.11,1.97
37,Hamburger SV,de Bundesliga,29,25.8,43.8,34,374,3060,34.0,32,26,58,32,0,2,77,2.0,0.94,0.76,1.71,0.94,1.71
38,Hertha BSC,de Bundesliga,26,27.1,48.5,34,374,3060,34.0,42,26,68,37,5,5,67,2.0,1.24,0.76,2.0,1.09,1.85
39,Hoffenheim,de Bundesliga,23,25.0,56.2,34,374,3060,34.0,64,47,111,59,5,5,63,0.0,1.88,1.38,3.26,1.74,3.12
40,Hull City,eng Premier League,28,27.4,45.9,38,418,3420,38.0,36,24,60,33,3,3,67,0.0,0.95,0.63,1.58,0.87,1.5
41,Ingolstadt 04,de Bundesliga,22,26.9,45.9,34,374,3060,34.0,35,20,55,29,6,8,75,3.0,1.03,0.59,1.62,0.85,1.44
42,Inter,it Serie A,29,27.5,56.4,38,418,3420,38.0,70,55,125,67,3,5,81,3.0,1.84,1.45,3.29,1.76,3.21
43,Juventus,it Serie A,27,29.1,57.0,38,418,3420,38.0,72,49,121,69,3,3,70,0.0,1.89,1.29,3.18,1.82,3.11
44,Köln,de Bundesliga,26,26.2,43.4,34,374,3060,34.0,49,36,85,46,3,4,74,1.0,1.44,1.06,2.5,1.35,2.41
45,La Coruña,es La Liga,28,27.7,47.0,38,418,3420,38.0,42,29,71,39,3,7,97,4.0,1.11,0.76,1.87,1.03,1.79
46,Las Palmas,es La Liga,29,27.3,59.0,38,418,3420,38.0,52,34,86,46,6,6,106,6.0,1.37,0.89,2.26,1.21,2.11
47,Lazio,it Serie A,30,26.0,51.0,38,418,3420,38.0,73,47,120,61,12,14,96,3.0,1.92,1.24,3.16,1.61,2.84
48,Leganés,es La Liga,31,26.3,44.7,38,418,3420,38.0,36,24,60,33,3,4,107,3.0,0.95,0.63,1.58,0.87,1.5
49,Leicester City,eng Premier League,25,27.8,41.9,38,418,3420,38.0,46,32,78,42,4,6,73,0.0,1.21,0.84,2.05,1.11,1.95
50,Leverkusen,de Bundesliga,24,24.2,54.3,34,374,3060,34.0,53,39,92,49,4,9,56,3.0,1.56,1.15,2.71,1.44,2.59
51,Lille,fr Ligue 1,31,26.9,51.1,38,418,3420,38.0,40,26,66,34,6,7,64,3.0,1.05,0.68,1.74,0.89,1.58
52,Liverpool,eng Premier League,23,26.1,62.0,38,418,3420,38.0,77,52,129,70,7,8,54,0.0,2.03,1.37,3.39,1.84,3.21
53,Lorient,fr Ligue 1,30,26.8,50.5,38,418,3420,38.0,43,30,73,39,4,6,68,0.0,1.13,0.79,1.92,1.03,1.82
54,Lyon,fr Ligue 1,27,25.0,59.1,38,418,3420,38.0,74,44,118,62,12,14,65,2.0,1.95,1.16,3.11,1.63,2.79
55,Mainz 05,de Bundesliga,28,25.1,46.0,34,374,3060,34.0,43,28,71,36,7,7,73,3.0,1.26,0.82,2.09,1.06,1.88
