Rk,Squad,Comp,#_Pl,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att_GK,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal_Kicks_Att,Goal_Kicks_Launch%,Goal_Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist
1,Alavés,es La Liga,2,38.0,57,3,0,5,0,51.1,0.35,-5.9,-0.16,309,615,50.2,792,116,53.7,40.3,306,62.1,44.8,545,19,3.5,37,0.97,14.5
2,Angers,fr Ligue 1,1,38.0,58,7,0,5,1,53.5,0.33,-3.5,-0.09,143,456,31.4,712,214,37.5,35.2,269,70.3,50.9,516,19,3.7,17,0.45,11.3
3,Arminia,de Bundesliga,1,34.0,52,5,0,5,1,54.1,0.29,3.1,0.09,436,938,46.5,1698,121,45.9,38.6,250,63.2,49.1,525,17,3.2,44,1.29,16.8
4,Arsenal,eng Premier League,3,38.0,39,2,0,3,4,36.0,0.26,1.0,0.03,81,303,26.7,1021,206,16.7,21.9,238,55.5,42.3,518,24,4.6,37,0.97,14.3
5,Aston Villa,eng Premier League,1,38.0,46,5,2,4,1,49.2,0.24,4.2,0.11,247,639,38.7,1056,177,45.0,37.1,256,64.1,46.9,613,42,6.9,34,0.89,14.2
6,Atalanta,it Serie A,2,38.0,47,5,0,5,1,42.3,0.31,-3.7,-0.1,132,323,40.9,868,161,24.8,28.3,173,62.4,47.7,377,14,3.7,66,1.74,16.3
7,Athletic Club,es La Liga,2,38.0,42,5,1,6,1,37.5,0.29,-3.5,-0.09,206,493,41.8,817,210,36.5,26.2,270,72.2,52.2,555,24,4.3,36,0.95,30.5
8,Atlético Madrid,es La Liga,1,38.0,25,1,0,5,3,33.1,0.25,11.1,0.29,202,539,37.5,709,131,49.6,39.1,294,63.6,45.9,513,14,2.7,27,0.71,15.7
9,Augsburg,de Bundesliga,1,34.0,54,6,0,2,3,53.2,0.26,2.2,0.07,193,565,34.2,1087,214,36.6,34.1,297,56.2,44.7,619,33,5.3,36,1.06,16.0
10,Barcelona,es La Liga,2,38.0,38,5,1,5,2,36.0,0.24,0.0,0.0,92,207,44.4,1068,193,14.8,24.8,215,22.8,29.3,369,19,5.1,40,1.05,13.9
11,Bayern Munich,de Bundesliga,2,34.0,44,1,0,6,0,45.4,0.35,1.4,0.04,124,259,47.9,1159,190,20.3,28.8,194,12.4,26.9,361,6,1.7,105,3.09,23.6
12,Benevento,it Serie A,2,38.0,75,4,0,9,6,63.2,0.34,-5.8,-0.15,205,583,35.2,972,187,43.4,25.6,296,54.4,41.3,639,21,3.3,24,0.63,13.0
13,Betis,es La Liga,2,38.0,50,8,1,4,3,46.9,0.28,-0.1,0.0,212,606,35.0,953,163,48.1,37.8,250,59.2,45.1,505,21,4.2,48,1.26,19.0
14,Bologna,it Serie A,3,38.0,65,7,2,9,2,63.3,0.3,0.3,0.01,127,333,38.1,1071,209,24.6,27.6,304,23.0,23.4,562,28,5.0,39,1.03,15.0
15,Bordeaux,fr Ligue 1,1,38.0,56,7,2,6,1,48.2,0.26,-6.8,-0.18,264,610,43.3,1034,144,40.0,35.3,292,67.1,47.6,560,16,2.9,30,0.79,13.2
16,Brest,fr Ligue 1,2,38.0,66,9,1,5,2,57.5,0.27,-6.5,-0.17,195,434,44.9,1036,185,32.2,35.8,304,32.9,34.6,599,27,4.5,27,0.71,17.4
17,Brighton,eng Premier League,2,38.0,46,6,0,8,2,35.9,0.24,-8.1,-0.21,193,522,37.0,1280,179,32.1,28.8,233,47.6,39.1,476,28,5.9,33,0.87,10.6
18,Burnley,eng Premier League,3,38.0,55,3,0,8,1,49.1,0.26,-4.9,-0.13,317,841,37.7,846,143,69.1,54.5,298,85.9,59.7,600,34,5.7,78,2.05,10.0
19,Cádiz,es La Liga,3,38.0,58,9,2,4,1,53.8,0.3,-3.2,-0.09,396,998,39.7,846,72,78.7,54.1,349,95.1,65.0,606,33,5.4,26,0.68,27.0
20,Cagliari,it Serie A,2,38.0,59,5,1,9,0,59.1,0.27,0.1,0.0,201,483,41.6,756,156,39.2,33.5,312,59.9,42.5,601,20,3.3,22,0.58,14.2
21,Celta Vigo,es La Liga,2,38.0,57,7,2,4,1,49.7,0.32,-6.3,-0.17,194,607,32.0,1025,156,40.0,32.7,315,62.5,46.6,553,10,1.8,45,1.18,15.7
22,Chelsea,eng Premier League,3,38.0,36,3,1,5,1,31.4,0.26,-3.6,-0.1,93,253,36.8,1066,169,17.7,21.6,231,27.7,26.6,412,20,4.9,31,0.82,28.0
